descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AÇUCAR REFINADO;",0,1800,VENCEU," ",16125.01,8.95834
ARROZ;,0,3600,VENCEU," ",33314.4,9.254
"BISCOITO DOCE.",0,3600,VENCEU," ",7513.56,2.0871
"BOLACHA ÁGUA E SAL.",0,3600,VENCEU," ",7513.56,2.0871
CAFÉ;,0,3600,VENCEU," ",20484.72,5.6902
"Doce de Leite",0,1800,VENCEU," ",3384.54,1.8803
"EXTRATO DE TOMATE",0,3600,VENCEU," ",5635.08,1.5653
"Farinha de mandioca",0,1800,VENCEU," ",2693.52,1.4964
"FARINHA DE MILHO",0,1800,VENCEU," ",2480.76,1.3782
"FARINHA DE TRIGO",0,5400,VENCEU," ",9835.02,1.8213
"FEIJAO PRETO",0,5400,VENCEU," ",18819,3.485
LEITE,0,10800,VENCEU," ",24241.68,2.2446
"MACARRÃO .",0,7200,VENCEU," ",9923.04,1.3782
MARGARINA;,0,1800,VENCEU," ",5404.68,3.0026
"ÓLEO DE SOJA;",0,5400,VENCEU," ",16373.34,3.0321
"OVOS  DE GALINHA",0,1800,VENCEU," ",7034.94,3.9083
"sal refinado iodado",0,1800,VENCEU," ",1736.64,0.9648
SARDINHA,0,9000,VENCEU," ",17986.5,1.9985
