descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AÇUCAR BRANCO REFINADO",4334257,600,DESCLASSIFICADO,KG,1314,2.19
"Azeite de oliva tipo extra virgem",4334258,48,PERDEU,EMB,782.4,16.3
"ARROZ PARBONIZADO, tipo 1",4334259,360,DESCLASSIFICADO,KG,788.4,2.19
"Condimento colorífíco em pó",4334260,48,PERDEU,EMB,57.12,1.19
"Cominho em pó.",4334261,72,NAO_COTOU,UND,0,0
"Doce de frutas.",4334262,240,PERDEU,UND,669.6,2.79
"Extrato de tomate.",4334263,120,VENCEU,UND,208.8,1.74
"MARGARINA CREMOSA.",4334264,300,PERDEU,POT,1497,4.99
"Farinha de mandioca",4334265,120,VENCEU,KG,232.8,1.94
"FEIJAO PRETO",4334266,180,PERDEU,KG,700.2,3.89
"Leite líquido integral",4334267,2880,VENCEU,CX,6998.4,2.43
MACARRÃO.,4334268,360,PERDEU,EMB,673.2,1.87
"Óleo de soja refinado.",4334269,288,PERDEU,UND,976.32,3.39
Orégano.,4334270,36,NAO_COTOU,UND,0,0
SAL,4334271,180,PERDEU,KG,187.2,1.04
"Suco em pó",4334272,1200,PERDEU,GR,1548,1.29
"Vinagre de álcool.",4334273,144,PERDEU,UND,200.16,1.39
ALFACE.,4334274,648,NAO_COTOU,MA,0,0
Alho,4334275,48,NAO_COTOU,KG,0,0
"Banana caturra",4334276,600,NAO_COTOU,KG,0,0
BATATA,4334277,648,NAO_COTOU,KG,0,0
CEBOLA,4334278,360,NAO_COTOU,KG,0,0
"CEBOLINHA VERDE PARA TEMPERO",4334279,240,NAO_COTOU,MA,0,0
"CENOURA EXTRA ESPECIAL",4334280,240,NAO_COTOU,KG,0,0
"LARANJA PERA",4334281,480,NAO_COTOU,KG,0,0
"Maçã nacional Gala ou Fugi",4334282,480,NAO_COTOU,KG,0,0
"Repolho Verde",4334283,72,NAO_COTOU,KG,0,0
"Salsa verde para tempero",4334284,240,NAO_COTOU,MA,0,0
"TOMATE EXTRA",4334285,600,NAO_COTOU,KG,0,0
BACON,4334286,60,NAO_COTOU,KG,0,0
"Carne Suína",4334287,240,NAO_COTOU,KG,0,0
"LINGUIÇA SUÍNA",4334288,180,NAO_COTOU,KG,0,0
"CARNE BOVINA",4334289,960,NAO_COTOU,KG,0,0
"CARNE DEFUMADA",4334290,120,NAO_COTOU,KG,0,0
"Sobrecoxa de frango",4334291,840,NAO_COTOU,KG,0,0
"PRESUNTO SUÍNO",4334292,600,NAO_COTOU,KG,0,0
Queijo,4334293,600,NAO_COTOU,KG,0,0
"Achocolatado em pó.",4334294,144,VENCEU,UND,927.36,6.44
CAFÉ;,4334295,360,PERDEU,UND,2527.2,7.02
"PÃO DE TRIGO",4334296,960,NAO_COTOU,KG,0,0
"CREME DE LEITE.",4334297,240,VENCEU,UND,355.2,1.48
"Gelatina em pó",4334298,240,PERDEU,EMB,237.6,0.99
"BISCOITO DOCE.",4334299,240,PERDEU,UND,717.6,2.99
"FARINHA DE TRIGO ESPECIAL",4334300,72,PERDEU,KG,139.68,1.94
"OVOS CLASSE A",4334301,120,NAO_COTOU,CX,0,0
"Maionese Tradicional",4334302,144,PERDEU,POT,372.96,2.59
"Fermento em Pó Químico;",4334303,60,NAO_COTOU,PCT,0,0
"Fermento Biológico.",4334304,24,NAO_COTOU,UND,0,0
"TEMPERO PRONTO",4334305,180,NAO_COTOU,UND,0,0
"Fuba Mimoso de milho",4334306,48,VENCEU,UND,95.52,1.99
"CARNE BOVINA MOIDA",4334307,180,NAO_COTOU,KG,0,0
"Milho Verde pré-cozido",4334308,180,PERDEU,LAT,304.2,1.69
ERVILHA,4334309,180,PERDEU,LAT,322.2,1.79
"FARINHA DE ROSCA",4334310,144,NAO_COTOU,KG,0,0
"MANDIOCA, AIPIM",4334311,72,NAO_COTOU,KG,0,0
"ABÓBORA MORANGA.",4334312,144,NAO_COTOU,KG,0,0
"CHUCHU EXTRA",4334313,240,NAO_COTOU,KG,0,0
BETERRABA,4334314,192,NAO_COTOU,KG,0,0
"COUVE FOLHA",4334315,360,NAO_COTOU,UND,0,0
Couve-flor,4334316,192,NAO_COTOU,KG,0,0
Brócolis.,4334317,192,NAO_COTOU,KG,0,0
"CARNE BOVINA, COSTELA DE BOI",4334318,240,NAO_COTOU,KG,0,0
"Filé de Peito de Frango",4334319,200,NAO_COTOU,KG,0,0
"MASSA PARA LASANHA",4334320,96,PERDEU,KG,470.4,4.9
"ERVA MATE",4334321,60,PERDEU,EMB,534,8.9
Chá,4334322,60,PERDEU,UND,174,2.9
"BACON DEFUMADO",4334323,60,NAO_COTOU,KG,0,0
"SABAO EM PO",4334324,120,PERDEU,KG,573.6,4.78
"AGUÁ MINERAL, SEM GÁS 20 litros",4334325,240,NAO_COTOU,UND,0,0
"AGUÁ MINERAL, SEM GÁS 500 ML",4334326,600,PERDEU,UND,774,1.29
"Suco Integral",4334327,360,NAO_COTOU,UND,0,0
"CARNE BOVINA, CORTE ACÉM",4334328,276,NAO_COTOU,KG,0,0
"GALINHA CAIPIRA",4334329,96,NAO_COTOU,KG,0,0
"CARNE SUÍNA, CORTE COSTELA DE PORCO",4334330,240,NAO_COTOU,KG,0,0
"CARNE BOVINA, CORTE RABADA",4334331,288,NAO_COTOU,KG,0,0
"Salsicha Tipo Hot Dog",4334332,144,NAO_COTOU,KG,0,0
VAGEM,4334333,288,NAO_COTOU,KG,0,0
PIMENTAO,4334334,48,NAO_COTOU,KG,0,0
RADICHE,4334335,288,NAO_COTOU,UND,0,0
RÚCULA.,4334336,144,NAO_COTOU,KG,0,0
"REFRIGERANTE: SABOR GUARANÁ",4334337,80,NAO_COTOU,UND,0,0
"REFRIGERANTE: SABOR LIMÃO",4334338,80,NAO_COTOU,UND,0,0
"REFRIGERANTE: SABOR COLA",4334339,80,NAO_COTOU,UND,0,0
