descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Agua sanitária com 1 Litro",4338690,4400,VENCEU,UND,7480,1.7
"Agua Sanitária com 5 Litros",4338691,9150,DESCLASSIFICADO,UND,69540,7.6
"Alccol Etílico em Gel 500 gr",4338692,9990,PERDEU,FRA,55944,5.6
"Álcool etílico hidratado 01 litro",4338693,6200,DESCLASSIFICADO,LT,34720,5.6
"Amaciante 05 Litros",4338694,2200,DESCLASSIFICADO,GAL,27280,12.4
"Balde Plástico Resistente",4338695,370,DESCLASSIFICADO,UND,6907.9,18.67
"Cabo de aluminio para suporte de Mop Úmido",4338696,540,PERDEU,UND,9342,17.3
"Carro Funcional para limpeza",4338697,53,DESCLASSIFICADO,KIT,48442,914
"Cera auto-brilho",4338698,1450,VENCEU,CX,73950,51
"Cera em pasta",4338699,150,DESCLASSIFICADO,LAT,33450,223
"Conjunto Balde/Espremedor",4338700,180,DESCLASSIFICADO,CJT,88020,489
"Copo Plástico 50 ml",4338701,145,DESCLASSIFICADO,CX,9744,67.2
"Copo Plástico 180 ml.",4338702,2210,DESCLASSIFICADO,CX,169065,76.5
DESINCRUSTANTE,4338703,520,PERDEU,UND,7800,15
"Desinfetante 500 ML",4338704,3100,VENCEU,UND,4278,1.38
"Desinfetante 05 Lt",4338705,4270,DESCLASSIFICADO,GAL,46543,10.9
"DESINFETANTE LIMPADOR - 5 lts",4338706,286,PERDEU,UND,20020,70
"Desodorizador de ambientes.",4338707,2020,DESCLASSIFICADO,FRA,19998,9.9
"DETERGENTE DESENGRAXANTE DE 5 LTS.",4338708,555,PERDEU,UND,36630,66
"DETERGENTE LIQUIDO 500 ML",4338709,11600,VENCEU,UND,18792,1.62
"Detergente Líquido 05 Lt",4338710,7800,VENCEU,GAL,113880,14.6
"Dispenser (água/café),duplo.",4338711,33,DESCLASSIFICADO,UND,1176.45,35.65
"Dispenser para sabonete líquido",4338712,204,DESCLASSIFICADO,UND,8629.2,42.3
"Dispenser para Toalha interfolhada",4338713,39,DESCLASSIFICADO,UND,1521,39
"Escova para higienização de mãos e unhas",4338714,1500,DESCLASSIFICADO,UND,6600,4.4
"Escova para limpeza em vaso sanitário",4338715,637,DESCLASSIFICADO,UND,4267.9,6.7
"Escovão para Limpeza de chão",4338716,350,DESCLASSIFICADO,UND,3115,8.9
"Esfregão de Aço Nº 1",4338717,8150,DESCLASSIFICADO,UND,6357,0.78
"Esponja 100mmX180mmX25mm",4338718,1100,DESCLASSIFICADO,UND,1595,1.45
"Esponja 110mmX75mmX20mm",4338719,14480,DESCLASSIFICADO,UND,9412,0.65
"Esponja de lã de Aço",4338720,6420,DESCLASSIFICADO,PCT,8988,1.4
"Flanela para limpeza",4338721,2100,DESCLASSIFICADO,UND,5670,2.7
fosforo.,4338722,5550,DESCLASSIFICADO,CX,12210,2.2
"Garrafa Térmica 1,8L",4338723,106,DESCLASSIFICADO,UND,7992.4,75.4
"Garrafa Térmica 1L",4338724,106,DESCLASSIFICADO,UND,7632,72
"Guardanapo 20x23cm",4338725,3150,DESCLASSIFICADO,PCT,6300,2
"hipoclorito de sodio",4338726,8855,DESCLASSIFICADO,GAL,146107.5,16.5
"LIMPADOR BACTERICIDA CONCENTRADO",4338727,1290,INABILITADO,UND,147705,114.5
"LIMPADOR E DESINFETANTE DE USO GERAL A BASE DE QUARTENARIO D",4338728,1000,PERDEU,UND,12000,12
"Lixeira 33x60cm/20litros.",4338729,195,DESCLASSIFICADO,UND,41925,215
"Lixeira 50X77/50litros.",4338730,245,VENCEU,UND,33393.5,136.3
"Lixeira com tampa basculante",4338731,350,DESCLASSIFICADO,UND,5936,16.96
"Lixeira retangular com tampa basculante",4338732,400,PERDEU,UND,11520,28.8
"Lixeira produzida em polietileno",4338733,295,DESCLASSIFICADO,UND,2625.5,8.9
"lixeira retangular com tampa basculante 71xx44x37",4338734,75,DESCLASSIFICADO,UND,11235,149.8
"lixeira retangular com tampa basculante 71xx49x37",4338735,30,DESCLASSIFICADO,UND,4479,149.3
"Lixeira pra coleta seletiva de lixo em áreas externas",4338736,100,DESCLASSIFICADO,UND,15250,152.5
"Lustra móveis.",4338737,480,DESCLASSIFICADO,FRA,2496,5.2
"Luva Látex não Estéril  - Tamanho PP",4338738,200,DESCLASSIFICADO,CX,6320,31.6
"Luva Látex não Estéril Tamanho G",4338739,650,DESCLASSIFICADO,CX,20540,31.6
"Luva Látex não Estéril  Tamanho M",4338740,650,DESCLASSIFICADO,CX,20540,31.6
"Luva Látex não Estéril Tamanho P",4338741,1050,DESCLASSIFICADO,CX,33180,31.6
"Luva para Limpeza Tamanho Grande cano 3/4",4338742,2310,DESCLASSIFICADO,PAR,8085,3.5
"Luva para Limpeza Tamanho Medio cano 3/4",4338743,5610,DESCLASSIFICADO,PAR,19635,3.5
"Luva para Limpeza Tamanho Pequeno cano 3/4",4338744,3610,DESCLASSIFICADO,PAR,12635,3.5
