descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ALICATE UNIVERSAL 8",0,5,VENCEU," ",56.3,11.26
"Araldite Hobby 10 minutos 16 Gr",0,8,VENCEU," ",85.2,10.65
"Areia Lavada Fina",0,17,VENCEU," ",643.62,37.86
"Areia Lavada Grossa.",0,20,VENCEU," ",757.2,37.86
"Argamassa AC-2 20 Kg",0,48,VENCEU," ",455.52,9.49
"Argamassa AC-3 Piso sobre piso  interno 20kg",0,13,VENCEU," ",186.81,14.37
"Azulejo Branco 31x57cm (parede)",0,40,VENCEU," ",230,5.75
"ANEL CERA",0,1,VENCEU," ",5.17,5.17
"Assento Sanitário Almofadado Convencional",0,14,VENCEU," ",283.92,20.28
"Bardela de Eucalipto Tratada 3,5 x 5 Cm",0,200,VENCEU," ",238,1.19
"Basculante de Alumínio com Vidro 100 x 80 Cm",0,1,VENCEU," ",68.97,68.97
"Basculante de Alumínio com Vidro 80 x 60 Cm",0,1,VENCEU," ",46.84,46.84
"Bocal P/ Lâmpada Fixo Plafon PVC Simples",0,35,VENCEU," ",74.55,2.13
"Broca de Videa 10 mm",0,1,VENCEU," ",7.19,7.19
"Bloco de concreto maciço 50cmx20cmx15cm",0,500,VENCEU," ",1495,2.99
"Broca de Videa 12 mm",0,1,VENCEU," ",10.92,10.92
"Broca de Videa 06 mm",0,5,VENCEU," ",18.7,3.74
"Broca de Videa 08 mm",0,5,VENCEU," ",25.85,5.17
"Cano branco PVC 40 mm X 6 m esgoto",0,4,VENCEU," ",34.48,8.62
"Cano branco PVC 100 mm X 6 m esgoto",0,4,VENCEU," ",86.88,21.72
"Cano marron PVC agua fria 25 mm X 6 m",0,10,VENCEU," ",65.2,6.52
"Caixa de gordura completa PVC-410mm c balde p limpeza.",0,1,VENCEU," ",88.58,88.58
"Compensado 10mmx2,20mx1,10m",0,30,VENCEU," ",475.2,15.84
"Caibro pinus tratado 10cmX5cmX2,70m",0,20,VENCEU," ",753.6,37.68
"Caibros 5cmX15cmX5,40m eucalipto tratado",0,20,VENCEU," ",1126.4,56.32
"Cabo Flexível 1,5 mm",0,500,VENCEU," ",210,0.42
"CABO FLEXIVEL 2,5 MM",0,900,VENCEU," ",540,0.6
"Cabo Flexível 4 mm",0,400,VENCEU," ",392,0.98
"Cabo Flexível 10 mm",0,200,VENCEU," ",538,2.69
"Caixa dagua fibra 3.000 Lts",0,2,VENCEU," ",1046.02,523.01
"Carrinho de Mão Ferro Pneu/Câmara",0,5,VENCEU," ",255.35,51.07
"Chave de Fenda 04 3/16 x 6",0,3,VENCEU," ",10.35,3.45
"Chave de Fenda 08 1/4 x 6",0,5,VENCEU," ",21.55,4.31
"Chave de Phillips 04 3/16 x 6",0,10,VENCEU," ",37.4,3.74
"Chave de Phillips 07 1/4 x 6",0,5,VENCEU," ",21.55,4.31
"Cimento CP-IV 32 50 Kg",0,135,VENCEU," ",2620.35,19.41
"Disco Diamantado 4 Segmentado Seco",0,5,VENCEU," ",54.6,10.92
"Disjuntor Mono B10A 3KA Curva B Branco",0,15,VENCEU," ",79.95,5.33
"Disjuntor Mono B16A 3KA Curva B Branco",0,15,VENCEU," ",69.75,4.65
"Disjuntor Mono B25A 3KA Curva B Branco",0,15,VENCEU," ",75.45,5.03
"Disjuntor Mono B32A 3KA Curva B Branco",0,15,VENCEU," ",77.55,5.17
"Dobradiça Inox Simples 3 1/2 85 x 56 mm",0,75,VENCEU," ",386.25,5.15
"1 Interruptor Simples + Tomada EMB BR",0,50,VENCEU," ",258.5,5.17
"1 Interruptor Simples EMB BR",0,50,VENCEU," ",164,3.28
"TOMADA NBR 20A EMB BRANCA",0,100,VENCEU," ",512,5.12
"TOMADA TELEFONE RJ11 4 X 2 EMB BRANCA",0,30,VENCEU," ",168.3,5.61
"Ducha Hydra Eletrônica 7700 W",0,10,VENCEU," ",549.8,54.98
"Engate Rápido Bronze para Jardim (Fêmea)",0,5,VENCEU," ",63.2,12.64
"Engate Rápido Bronze para Jardim (Macho)",0,5,VENCEU," ",43.05,8.61
"Enxada 9 com Cabo",0,3,VENCEU," ",27.03,9.01
"Esguicho Revolver Metálico Prata",0,2,VENCEU," ",21.84,10.92
"Estribo 7cmx14cm arame 4.2- conjunto com 10 pçs",0,20,VENCEU," ",40.2,2.01
"Exaustor Comercial 40 Cm 220v cinza com chave",0,1,VENCEU," ",96.56,96.56
"FECHADURA INOX EXTERNA",0,25,VENCEU," ",553.25,22.13
"Fita crepe larga 19mmx50m",0,20,VENCEU," ",40.2,2.01
"Ferro ¼ x 12 m",0,12,VENCEU," ",99.36,8.28
"Forro de PVC Branco 10cm.",0,10,VENCEU," ",94.7,9.47
"Fossa concreto redondo 90cmx60cm",0,1,VENCEU," ",43.11,43.11
"Fundo a óleo 3,6 Lt (1ª Linha)",0,4,VENCEU," ",71.28,17.82
"Janela Alumínio, basculante 60cm x 40cm com vidro",0,2,VENCEU," ",52.3,26.15
"JOELHO 45 GRAUS SOLDÁVEL 25MM",0,15,VENCEU," ",8.25,0.55
"Joelho 45 graus soldável 50mm",0,10,VENCEU," ",21.6,2.16
"Joelho 90 Gr sold e com bucha de latão 25mm X 1/2",0,5,VENCEU," ",7.8,1.56
"Joelho 90 Gr sold e com bucha de latão 25mm X 3/4",0,5,VENCEU," ",8.6,1.72
"Kit Eletrônico Luz Branca Espiral 85w",0,35,VENCEU," ",1367.8,39.08
"Linha Nylon Quadrada Laranja 3,0 mm- 1 Kg",0,8,VENCEU," ",367.84,45.98
"Liquido Convertedor de Ferrugem 500ml",0,20,VENCEU," ",156.4,7.82
"LIXA AMARELA METRO G-100",0,90,VENCEU," ",140.4,1.56
"LIXA AMARELA METRO G-220",0,90,VENCEU," ",134.1,1.49
"LIXA AMARELA METRO G-80",0,90,VENCEU," ",165.6,1.84
"Lona Preta PVC 4 Mt Largura 100 Micras",0,200,VENCEU," ",368,1.84
"MANGUEIRA JARDIM BORRACHA TRANCADA 1/2",0,100,VENCEU," ",228,2.28
"Massa corrida acrilica 18 litros",0,2,VENCEU," ",73.56,36.78
"Pá de Cavar com Cabo",0,5,VENCEU," ",51.75,10.35
"Pá de juntar quadrada com cabo",0,7,VENCEU," ",76.44,10.92
"Parafuso Chipboard Chata Bicromatizado 4 X 25",0,500,VENCEU," ",25,0.05
