descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ABAIXADOR DE LINGUA",4428106,860,INABILITADO,PCT,2855.2,3.32
AVENTAL,4428108,3000,DESCLASSIFICADO,UNI,4080,1.36
"Ataduras de Crepom",4428109,40000,DESCLASSIFICADO,UNI,31200,0.78
"ÁLCOOL ETÍLICO.",4428110,2500,INABILITADO,CX,13775,5.51
"Agulhas hipodérmicas 13mmX4,5mm",4428111,145000,INABILITADO,CX,8410,0.058
"Agulhas hipodérmicas 20mmX5,5mm",4428112,11000,DESCLASSIFICADO,CX,748,0.068
"Agulhas hipodérmicas 25mmX6mm",4428113,40000,DESCLASSIFICADO,UNI,2720,0.068
"Agulhas hipodérmicas 25mmX7mm",4428114,120000,INABILITADO,UNI,6960,0.058
"Agulhas hipodérmicas 25mmX8mm",4428115,1200000,INABILITADO,UNI,69600,0.058
"Agulhas hipodérmicas 30mmX7mm",4428116,60000,INABILITADO,UNI,3480,0.058
"Agulhas hipodérmicas 30mmX8mm",4428117,60000,INABILITADO,UNI,3480,0.058
"Agulhas hipodérmicas 40mmX12mm",4428118,130000,DESCLASSIFICADO,UNI,8840,0.068
"Cateter venoso de segurança nº 16G",4428119,1000,INABILITADO,UNI,1350,1.35
"Cateter venoso de segurança nº 18G",4428120,4000,INABILITADO,UNI,5440,1.36
"Cateter venoso de segurança nº 20G",4428121,3200,INABILITADO,UNI,4640,1.45
"Cateter venoso de segurança nº 24G",4428123,2500,INABILITADO,UNI,3950,1.58
"Dispositivo para infusão endovenosa, n° 19 (apelido scalp).",4428124,13000,INABILITADO,UNI,2340,0.18
"Dispositivo para infusão endovenosa, n° 21 (apelido scalp).",4428125,60000,INABILITADO,UNI,10800,0.18
"Dispositivo para infusão endovenosa, n° 23 (apelido scalp).",4428126,60000,INABILITADO,UNI,10800,0.18
"Dispositivo para infusão endovenosa, n° 25 (apelido scalp).",4428127,10000,INABILITADO,UNI,1800,0.18
"Dispositivo para infusão endovenosa, n° 27 (apelido scalp).",4428128,1000,INABILITADO,UNI,180,0.18
"Equipo  tipo microgotas para solução parenteral",4428129,50000,INABILITADO,UNI,102000,2.04
"Filme para Ultrassonografia",4428130,300,VENCEU,ROLO,22800,76
"Luva Cirúrgica estéril nº. 6.5",4428133,3000,DESCLASSIFICADO,PAR,4170,1.39
"Seringas descartáveis para Insulina com agulha fixa 1 ml",4428134,1000000,INABILITADO,UNI,350000,0.35
"Seringas descartáveis com agulha desconectável (13 x 0,45mm)",4428136,30000,INABILITADO,UNI,33300,1.11
"Seringa com trava de segurança, 3ml, sem agulha",4428137,63000,INABILITADO,UNI,55755,0.885
"Seringa com trava de segurança, 5ml, sem agulha",4428138,70500,INABILITADO,UNI,65494.5,0.929
"Seringa 10ml, sem agulha",4428139,16000,INABILITADO,UNI,16960,1.06
"Seringa 20ml, sem agulha",4428140,48500,INABILITADO,UNI,77115,1.59
"Bateria de Líthium 123ª, para uso no desfribilador DEA-Zoll",4428142,5,PERDEU,JGO,3293.35,658.67
"Estetoscópio Adulto.",4428143,200,INABILITADO,UNI,12116,60.58
"Eletrodo adulto (Pás descartáveis) para uso no DEA-Zoll, mod",4428144,20,INABILITADO,PAR,25350,1267.5
