descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para quadro branco",4338825,250,NAO_COTOU,UND,0,0
"Apagador quadro negro escolar",4338826,700,NAO_COTOU,UND,0,0
"Apontador de lápis.",4338827,550,NAO_COTOU,CX,0,0
"Barbante de algodão fio numera 08",4338828,250,NAO_COTOU,RL,0,0
"Borracha  branca escolar",4338829,500,NAO_COTOU,CX,0,0
"Caderno Pequeno brochura não reciclado",4338830,40000,NAO_COTOU,UND,0,0
"Caderno universitário capa dura 10 matérias",4338831,8000,NAO_COTOU,UND,0,0
"Caderno de desenho capa dura",4338832,2000,NAO_COTOU,UND,0,0
"CANETA DESTACA TEXTO",4338833,300,NAO_COTOU,CX,0,0
"Caneta ponta esférica cor azul",4338834,1000,NAO_COTOU,CX,0,0
"Caneta ponta esférica cor Vermelha",4338835,100,NAO_COTOU,CX,0,0
"Cartolina 50x66",4338836,2000,NAO_COTOU,PCT,0,0
"CARTOLINA TAMANHO OFICIO",4338837,30000,NAO_COTOU,UND,0,0
"Clips tamanho 2/0",4338838,4000,NAO_COTOU,CX,0,0
"Clips 8/0",4338839,1800,NAO_COTOU,CX,0,0
"Cola Bastão",4338840,300,NAO_COTOU,UND,0,0
"Cola Branca 1 kg",4338841,2500,NAO_COTOU,UND,0,0
"Cola Branca 110g",4338842,7000,NAO_COTOU,UND,0,0
"Cola colorida.",4338843,1500,NAO_COTOU,CX,0,0
"Canetas hidrográficas",4338844,400,NAO_COTOU,UND,0,0
"Fita Adesiva de papelão marrom",4338845,4200,NAO_COTOU,UND,0,0
"Fita adesiva plástica transparente 12mm x 50 mt",4338846,3000,NAO_COTOU,UND,0,0
"Fita adesiva plástica transparente 48 mm x 40 MT",4338847,4000,NAO_COTOU,UND,0,0
"Fita crepe na cor bege",4338848,5000,NAO_COTOU,UND,0,0
"Folha de Isopor 1,5",4338849,200,NAO_COTOU,FL,0,0
"Folha de Isopor 2,5",4338850,200,NAO_COTOU,FL,0,0
"Folha em EVA 600x400x2mm",4338851,35000,NAO_COTOU,UND,0,0
"Folha em EVA 600x400x2mm estampas variadas",4338852,5000,NAO_COTOU,UND,0,0
"Grampeador médio de mesa metálico 26/6.",4338853,600,NAO_COTOU,UND,0,0
"Grampo para grampeador em aço galvanizado 26/6",4338854,1000,NAO_COTOU,CX,0,0
"Giz branco plastificado",4338855,5000,NAO_COTOU,CX,0,0
"Giz colorido plastificado",4338856,3500,NAO_COTOU,CX,0,0
"Giz de cera.",4338857,8500,NAO_COTOU,CX,0,0
"Guache Cores básicas",4338858,6000,NAO_COTOU,UND,0,0
"Lápis colorido.",4338859,20000,NAO_COTOU,CX,0,0
"Lápis preto de grafite nº 2",4338860,1000,NAO_COTOU,CX,0,0
"MARCADOR PARA QUADRO BRANCO",4338861,400,NAO_COTOU,UND,0,0
"Massa de modelar macia",4338862,6000,NAO_COTOU,CX,0,0
"Papel Almaço;",4338863,100,NAO_COTOU,RES,0,0
"papel cartão 180 Gr/m2",4338864,4000,NAO_COTOU,UND,0,0
"PAPEL CERA",4338865,5000,NAO_COTOU,UND,0,0
"papel colorset",4338866,15000,NAO_COTOU,UND,0,0
"PAPEL DUPLEX",4338867,14000,NAO_COTOU,UND,0,0
"Papel Off-Set",4338868,2500,VENCEU,CX,243750,97.5
"papel pardo Kraft  natural 40 mt",4338869,1000,VENCEU,RL,43000,43
Percejevo,4338870,150,NAO_COTOU,CX,0,0
"Perfurador de papel para 20 folhas",4338871,90,NAO_COTOU,UND,0,0
"PINCEL ATOMICO",4338872,1500,NAO_COTOU,UND,0,0
"Reabastecedor de Pincel para Quadro Branco",4338873,300,NAO_COTOU,UND,0,0
"PINCEL PARA QUADRO BRANCO",4338874,1000,NAO_COTOU,UND,0,0
"Pincel chato - numero 4",4338875,2000,NAO_COTOU,UND,0,0
"Pincel chato - numero 6",4338876,2000,NAO_COTOU,UND,0,0
"Pincel chato - numero 8",4338877,2000,NAO_COTOU,UND,0,0
"Pistola grande 40 ww",4338878,90,NAO_COTOU,UND,0,0
"Régua escritório",4338879,12000,NAO_COTOU,UND,0,0
"Tesoura de ponta arredondada",4338880,9000,NAO_COTOU,UND,0,0
"Tesoura Doméstica",4338881,150,NAO_COTOU,UND,0,0
