descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Mesa Escrivaninha em MDF",4427035,13,DESCLASSIFICADO,UNI,3770,290
"Balcão em MDF acoplado às bancadas de inox.",4427036,7,DESCLASSIFICADO,UN,15400,2200
"Bancada estrutura em madeira MDF",4427037,2,DESCLASSIFICADO,UN,4400,2200
"Cadeira giratória tipo executiva.",4427038,16,DESCLASSIFICADO,UNI,3040,190
"CADEIRA ESTOFADA",4427039,43,PERDEU,UN,2580,60
Poltrona,4427040,15,VENCEU,UND,3562.5,237.5
"Armário aberto 1,00 x 0,30 x 2,00m",4427041,2,PERDEU,UN,760,380
"Armário aberto 1,60 x 0,37 x 2,00m",4427042,3,DESCLASSIFICADO,UN,2460,820
"Painel liso",4427043,2,DESCLASSIFICADO,UN,1440,720
"Quadro de avisos",4427044,3,VENCEU,UNI,675,225
"Armário arquivo.",4427045,15,DESCLASSIFICADO,UN,6750,450
"Armário com 2 portas",4427046,15,DESCLASSIFICADO,UN,7950,530
"Armário tipo Vestiário .",4427047,2,DESCLASSIFICADO,UN,1600,800
"Balcão atendimento.",4427048,2,DESCLASSIFICADO,UN,11600,5800
GAVETEIRO,4427049,6,DESCLASSIFICADO,UND,1560,260
"MESA SIMPLES",4427050,1,PERDEU,UND,310,310
"Suporte para CPU com rodízios.",4427051,5,DESCLASSIFICADO,UN,455,91
"Mesa reunião oval",4427052,1,DESCLASSIFICADO,UN,1200,1200
"Armário com 2 portas",4427053,1,DESCLASSIFICADO,UN,830,830
