descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ADAPTADOR UNIVERSAL 3/8 P/PORCA 3.608.550.505",4334462,5,VENCEU,UND,242.5,48.5
"ADESIVO DE SILICONE 280ML ACÉTICO - INCOLOR",4334463,26,VENCEU,UND,261.04,10.04
"ADESIVO INSTANTÂNEO 793  20G - BICO ANTIENTUPIMENTO",4334464,50,VENCEU,UND,288.5,5.77
"ALAVANCA FERRO 1 X 1,50 MT",4334465,5,VENCEU,UND,334.15,66.83
"ALICATE AMPERÍMETRO ET - 3200A   1000A AC",4334466,5,VENCEU,UND,822.1,164.42
"ALICATE BOMBA D ÁGUA  10 14050",4334467,15,VENCEU,UND,880.35,58.69
"ALICATE DE PRESSÃO 10 25700",4334468,20,VENCEU,UND,812.8,40.64
"ALICATE MEIA-CANA BICO RETO  7.1/2 21570I",4334469,20,VENCEU,UND,1394.8,69.74
"ALICATE UNIVERSAL ELETRICISTA  8 219021BBR",4334470,40,VENCEU,UND,1614,40.35
"ARAME MIG 0,80MM CC - ER70S6",4334471,240,VENCEU,KG,1584,6.6
"AVENTAL RASPA S/COSTURA 1,00X0,60 CA16810",4334472,10,VENCEU,UND,320.1,32.01
"BETUMADEIRA  8CM CABO DE MADEIRA",4334473,10,PERDEU,UND,102.9,10.29
"BOTINA COM ELÁSTICO 90HEXTL600 Nº 40  CA28026",4334474,72,VENCEU,PAR,4435.2,61.6
"BROCA AR DIN 338 -  5,00MM - A114",4334475,50,VENCEU,UND,283,5.66
"BROCA AR DIN 338 -  6,00MM - A114",4334476,50,VENCEU,UND,354,7.08
"BROCA AR DIN 338 -  8,00MM - A114",4334477,80,VENCEU,UND,939.2,11.74
"BROCA PARA CONCRETO NORMAL  6,0MM - 15/64",4334478,20,VENCEU,UND,126.2,6.31
"BROCA PARA CONCRETO NORMAL  8,0MM - 5/16",4334479,20,VENCEU,UND,186.2,9.31
"BROCA PARA CONCRETO NORMAL 10,0MM - 3/8",4334480,20,VENCEU,UND,262.4,13.12
"BROCA PARA CONCRETO NORMAL 12,0MM - 15/32",4334481,20,VENCEU,UND,329.8,16.49
"BROCA SDS/PLUS  6,0MM C  90 T 160",4334482,10,VENCEU,UND,115.4,11.54
"BROCA SDS/PLUS  8,0MM C 200 T 260",4334483,10,VENCEU,UND,160.1,16.01
"BROCA SDS/PLUS 10,0MM C 230 T 310",4334484,10,VENCEU,UND,237.7,23.77
"BROCA SDS/PLUS 12,0MM C 140 T 210",4334485,10,VENCEU,UND,235.7,23.57
"BROCA SDS/PLUS 22,0MM C240 T 310",4334486,3,PERDEU,UND,131.49,43.83
"CABO DE AÇO GALVANIZADO  7,94MM (5/16) 6 X 19 ALMA DE FI",4334487,50,VENCEU,M,230,4.6
"CABO DE AÇO GALVANIZADO  9,53MM (3/8) 6 X 19 ALMA DE FIB",4334488,50,VENCEU,M,351,7.02
"CABO MADEIRA P/ PICARETA",4334489,15,VENCEU,UND,136.05,9.07
"CAPACETE V-GARD ABA TOTAL LARANJA CA 365",4334490,50,PERDEU,UND,1305,26.1
"CARTELA DE SERRA TICO-TICO BU 224 - COM 05 PEÇAS",4334491,20,PERDEU,UND,303.4,15.17
"CAVADEIRA COM CABO ARTICULADA DUPLA",4334492,10,VENCEU,UND,303.1,30.31
"CHAVE AJUSTÁVEL 10",4334493,20,VENCEU,UND,795.4,39.77
"CHUMBADOR    5/16 X 3.1/4 CBA - 56314 / CAPA",4334494,200,PERDEU,UND,260,1.3
"CINTA DE ELEVACAO  2 TON. - 1,60M X   60MM - SLING (VERDE)",4334495,3,PERDEU,UND,132.99,44.33
"CINTA DE ELEVACAO  4 TON. - 2,00M X 120MM - SLING (CINZA)",4334496,3,PERDEU,UND,395.97,131.99
"CINTA DE ELEVACAO  4 TON. - 3,00M X 120MM - SLING (CINZA)",4334497,3,PERDEU,UND,562.92,187.64
"CINTA E CATRACA  2 9MTS 3000KG - GANCHO U AMARELA",4334498,3,PERDEU,UND,135.93,45.31
"CINTO PARAQUEDISTA 3 ARGOLAS TAM. 02 - CA 27477",4334499,5,VENCEU,UND,693.55,138.71
"COMP. CARNEIRA FASTRAC C/ JUGULAR 295517",4334500,50,PERDEU,UND,1133,22.66
"DIFUSOR DE GAS 05.001.101 // ROSCA QUADRADA -   TOCHAS N",4334501,5,PERDEU,UND,86.7,17.34
"DISCO DE CORTE PARA INOX 4.1/2 - 1,0MM  BNA12",4334502,100,VENCEU,UND,662,6.62
"DISCO DE CORTE PARA INOX 7 - 2,0MM  BNA22",4334503,100,VENCEU,UND,1320,13.2
"DISCO DE CORTE PARA MADEIRA 4.1/2 - USO SERRA MARMOR",4334504,20,VENCEU,UND,271.6,13.58
"DISCO DE DESBASTE PARA METAL   4.1/2 X 1/4 X 7/8  BDA 640",4334505,50,VENCEU,UND,267,5.34
"DISCO DE DESBASTE PARA METAL 7 X 1/4 X 7/8  BDA 640",4334506,70,VENCEU,UND,527.8,7.54
"DISCO DIAMANTADO  4.1/2 - SEGMENTADO (LINHA PRÓ) - VER",4334507,20,VENCEU,UND,310.4,15.52
"DISCO DIAMANTADO 14 - CLIPPER SEGMENTADO PARA CONC",4334508,5,VENCEU,UND,1202.8,240.56
"ELETRODO 46.00     2,50 MM OK - E6013   (RUTÍLICO)",4334509,90,VENCEU,KG,1441.8,16.02
"ESTOPA PANO TRAPO COLORIDA",4334510,160,VENCEU,KG,636.8,3.98
"FITA DE ANCORAGEM COM  1 ARGOLA - 1,50M DE COMPRIMEN",4334511,5,PERDEU,UND,605.8,121.16
"FITA ZEBRADA COMUM  50MM X +/- 150M - PRETA/AMARELA",4334512,30,VENCEU,UND,258.9,8.63
"JOGO DE CHAVES COMBINADAS   6,0 A 32,0MM - 15 PEÇAS",4334513,5,VENCEU,UND,1139.75,227.95
"JOGO DE CHAVES DE FENDA E PHILLIPS -  7 PEÇAS VDE 2170-2",4334514,10,VENCEU,UND,2468.7,246.87
"JOGO DE SERRA COPO 11 PEÇAS  COM MALETA - KS 11041-S",4334515,1,VENCEU,UND,543.2,543.2
"JOGO DE SOQUETES  1/2 ESTRIADO 10 A 32MM - 18 PEÇAS",4334516,5,VENCEU,UND,999.1,199.82
"LÂMINA DE SERRA MANUAL AÇO RÁPIDO KBS-1224",4334517,50,VENCEU,UND,230.5,4.61
"LANTERNA PARA MINEIRO 4,5 AH - BATERIA LITIO",4334518,5,PERDEU,UND,1837.05,367.41
