descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Suporte para Braçadeira",4427054,3,PERDEU,UNI,283.8,94.6
"Biombo triplo",4427057,2,VENCEU,UN,498.4,249.2
"Mesa Antropométrica com colchonete",4427059,1,PERDEU,UN,621.4,621.4
"Escadinha hospitalar",4427061,8,PERDEU,UN,1988.8,248.6
"MESA GINECOLOGICA",4427064,1,PERDEU,UN,592.6,592.6
"Mesa para exame clínico",4427065,6,VENCEU,UNI,1798.8,299.8
"MESA AUXILIAR",4427067,3,PERDEU,UN,1049.4,349.8
NEGATOSCOPIO,4427068,2,PERDEU,UNI,397.2,198.6
"Suporte de soro",4427070,2,PERDEU,UN,405.2,202.6
"Carro de curativos",4427076,1,DESCLASSIFICADO,UN,659.6,659.6
