descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Água sanitária 1L",0,20,DESCLASSIFICADO," ",707.8,35.39
"Água sanitária 5L",0,20,DESCLASSIFICADO," ",150,7.5
"Álcool Etílico concentração de 68% a 72%",0,10,DESCLASSIFICADO," ",749.9,74.99
"Álcool etílico hidratado 92,8° INPM",0,20,DESCLASSIFICADO," ",1499.8,74.99
"APLICADOR PARA BOWL CLEANSE",0,10,DESCLASSIFICADO," ",250,25
"Balde plástico 20L",0,20,DESCLASSIFICADO," ",434.8,21.74
"Balde plástico 8L",0,20,DESCLASSIFICADO," ",189.8,9.49
"Cabo de alumínio para mop úmido",0,10,DESCLASSIFICADO," ",273,27.3
CLORO,0,10,DESCLASSIFICADO," ",104.8,10.48
"Conjunto Balde/Espremedor;",0,3,DESCLASSIFICADO," ",1061.52,353.84
"COPO DESCARTÁVEL",0,20,DESCLASSIFICADO," ",2398,119.9
"Copo Plástico capacidade 180 ml",0,60,DESCLASSIFICADO," ",5801.4,96.69
DESENGRIPANTE,0,100,DESCLASSIFICADO," ",1949,19.49
DESINCRUSTANTE,0,30,DESCLASSIFICADO," ",1049.7,34.99
"DESINFETANTE LIMPADOR",0,10,DESCLASSIFICADO," ",1499.6,149.96
"Desinfetante 500ml.",0,20,DESCLASSIFICADO," ",1439,71.95
"Desinfetante 5L",0,20,DESCLASSIFICADO," ",189.8,9.49
"Detergente Desengraxante DE  5Lt",0,10,DESCLASSIFICADO," ",1250,125
"Detergente concentrado glicerinado",0,20,DESCLASSIFICADO," ",900,45
"Detergente de louças concentrado 500ml",0,20,DESCLASSIFICADO," ",1199.8,59.99
"Detergente de louças concentrado 5L",0,20,DESCLASSIFICADO," ",439.6,21.98
"Diluidor para líquidos concentrados",0,2,DESCLASSIFICADO," ",500,250
"Dispensador de copos de água c/ 2 tubos",0,3,DESCLASSIFICADO," ",148.5,49.5
"Dispenser copos 180/200ml",0,3,DESCLASSIFICADO," ",147,49
"Escova de nylon c/ cabo em L",0,20,DESCLASSIFICADO," ",203,10.15
"ESCOVA DE NYLON OVAL",0,20,DESCLASSIFICADO," ",100,5
"Escova de nylon para vaso sanitário com suporte",0,20,DESCLASSIFICADO," ",249.8,12.49
"ESPONJA DUPLA FACE;",0,50,DESCLASSIFICADO," ",500,10
"Esponja para lavação de veículos",0,50,DESCLASSIFICADO," ",474.5,9.49
"Estopa de limpeza branca (esfiapada).",0,10,DESCLASSIFICADO," ",150,15
"Estopa de limpeza tipo pastelão",0,5,DESCLASSIFICADO," ",400,80
"Flanela branca 0,30m x 0,40m",0,25,DESCLASSIFICADO," ",1562.25,62.49
"Garrafa Térmica com alça,capacidade 1,8L",0,5,DESCLASSIFICADO," ",490,98
"Garrafa Térmica com alça,capacidade 1L",0,5,DESCLASSIFICADO," ",325,65
"Guardanapo de papel folha dupla",0,15,DESCLASSIFICADO," ",900,60
"la de aco",0,15,DESCLASSIFICADO," ",37.35,2.49
"Limpador e desinfetante DE 1 LITRO.",0,30,DESCLASSIFICADO," ",1049.4,34.98
"LIXEIRA PLASTICA CESTO TELADO 9L",0,20,DESCLASSIFICADO," ",300,15
"Lixeira plástica com tampa cap 100L",0,20,DESCLASSIFICADO," ",2400,120
"Lixeira plástica com tampa cap 10L",0,20,DESCLASSIFICADO," ",400,20
"lixeira plastica com tampa cap 12L",0,20,DESCLASSIFICADO," ",390,19.5
"Lixeira plástica com tampa cap 23L",0,20,DESCLASSIFICADO," ",790,39.5
"Luva descartável latex  P M G (Procedimento Cirúrgico)",0,10,DESCLASSIFICADO," ",349.9,34.99
"Luvas de borracha p/ limpeza",0,60,DESCLASSIFICADO," ",447,7.45
"Multiuso DE 5LTS",0,10,DESCLASSIFICADO," ",1548,154.8
"Odorizante de ambiente perfumado aerosol",0,20,DESCLASSIFICADO," ",2351.2,117.56
"Pá de plástico para lixo",0,50,DESCLASSIFICADO," ",524,10.48
"Palito de dentes.",0,10,DESCLASSIFICADO," ",149,14.9
"Papel higiênico branco.",0,50,DESCLASSIFICADO," ",4924,98.48
"PAPEL TOALHA",0,200,DESCLASSIFICADO," ",998,4.99
"Papel toalha interfolhado",0,100,DESCLASSIFICADO," ",2048,20.48
