descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CONJUNTO SD.CIRC.REF.(75270332)",0,1,PERDEU," ",25750,25750
"CONJUNTO SAPATA GUIA CIRCULO - A",0,4,PERDEU," ",8400,2100
"SAPATA DE DESGASTE",0,4,PERDEU," ",332,83
CALCO,0,40,PERDEU," ",620,15.5
"PARAFUSO DE AÇO",0,1,PERDEU," ",39.3,39.3
"ARRUELA DE AÇO",0,1,PERDEU," ",20.15,20.15
"PARAFUSO ESP.1 3/4-12 UM",0,2,PERDEU," ",1800,900
"PINO GRAXEIRO RETO ACO",0,2,PERDEU," ",11.8,5.9
"RETENTOR BORR.VULC.",0,4,PERDEU," ",394,98.5
"ARRUELA DE AÇO",0,4,PERDEU," ",86,21.5
"PLACA DESGASTE  DE ACO",0,2,PERDEU," ",160.6,80.3
"ESPAÇADOR DE AÇO",0,3,PERDEU," ",123,41
"PLACA DE DESGASTE DE ACO",0,6,PERDEU," ",122.7,20.45
"Calco de aço",0,10,PERDEU," ",23.5,2.35
"PASTILHA DE FREIO EM AMIANT",0,2,PERDEU," ",280.4,140.2
"CONJUNTO CABO DE ACO DO FREIO E",0,1,PERDEU," ",523.45,523.45
"TIRANTE DE ACO",0,1,PERDEU," ",93.45,93.45
"MOLA DE ACO P/ACELERADOR",0,2,PERDEU," ",57.8,28.9
"TERMINAL DE ACO P/HASTE",0,1,PERDEU," ",69.25,69.25
"PINO DE ACO",0,1,PERDEU," ",24.35,24.35
"ROLAMENTO DE AGULHAS",0,4,PERDEU," ",62.8,15.7
JUNTA,0,1,PERDEU," ",90.5,90.5
"JUNTA CORTICA TAM.VALVU.",0,1,PERDEU," ",91,91
"JUNTA DE PAPEL TRATADO",0,1,PERDEU," ",422,422
"RETENTOR DE BORRACHA",0,1,PERDEU," ",200,200
"JUNTA METAL PLASTICA",0,1,PERDEU," ",305.2,305.2
RELE.,0,1,PERDEU," ",1280,1280
"BUCHA AÇO 65X50",0,2,PERDEU," ",704,352
"CAIXA DE PLASTICO PARA RELE",0,1,PERDEU," ",6250,6250
"MAO DE OBRA MECANICA",0,1,PERDEU," ",14500,14500
