descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Mesa Escrivaninha em MDF",4427150,13,DESCLASSIFICADO,UNI,5525,425
"Balcão em MDF acoplado às bancadas de inox.",4427151,7,INABILITADO,UN,2975,425
"Bancada estrutura em madeira MDF",4427152,2,INABILITADO,UN,850,425
"Cadeira giratória tipo executiva.",4427153,16,DESCLASSIFICADO,UNI,6720,420
"CADEIRA ESTOFADA",4427154,43,DESCLASSIFICADO,UN,3440,80
Poltrona,4427155,15,DESCLASSIFICADO,UND,5100,340
"Armário aberto 1,00 x 0,30 x 2,00m",4427156,2,INABILITADO,UN,900,450
"Armário aberto 1,60 x 0,37 x 2,00m",4427157,3,INABILITADO,UN,1020,340
"Painel liso",4427158,2,DESCLASSIFICADO,UN,1000,500
"Armário arquivo.",4427160,15,DESCLASSIFICADO,UN,9000,600
"Armário com 2 portas",4427161,15,DESCLASSIFICADO,UN,6375,425
"Armário tipo Vestiário .",4427162,2,INABILITADO,UN,760,380
"Balcão atendimento.",4427163,2,DESCLASSIFICADO,UN,12200,6100
GAVETEIRO,4427164,6,DESCLASSIFICADO,UND,1560,260
"MESA SIMPLES",4427165,1,DESCLASSIFICADO,UND,560,560
"Suporte para CPU com rodízios.",4427166,5,DESCLASSIFICADO,UN,750,150
"Mesa reunião oval",4427167,1,INABILITADO,UN,390,390
"Armário com 2 portas",4427168,1,INABILITADO,UN,400,400
"Suporte para Braçadeira",4427169,3,DESCLASSIFICADO,UNI,750,250
"Biombo triplo",4427172,2,INABILITADO,UN,1000,500
"Escadinha hospitalar",4427176,8,INABILITADO,UN,1200,150
"MESA GINECOLOGICA",4427179,1,DESCLASSIFICADO,UN,1690,1690
"Mesa para exame clínico",4427180,6,DESCLASSIFICADO,UNI,4140,690
"MESA AUXILIAR",4427182,3,DESCLASSIFICADO,UN,2520,840
"Carro de curativos",4427191,1,DESCLASSIFICADO,UN,950,950
"Fogão 4 bocas",4427256,1,PERDEU,UN,420,420
"APARELHO DVD",4427257,1,PERDEU,UNI,147,147
"Refrigerador tipo doméstico 1 porta.",4427258,1,DESCLASSIFICADO,UN,1490,1490
"Refrigerador tipo doméstico 2 portas",4427259,2,DESCLASSIFICADO,UN,3360,1680
"Televisor colorido 40 polegadas",4427260,1,PERDEU,UN,1750,1750
"Bebedouro elétrico de coluna",4427261,2,DESCLASSIFICADO,UN,1100,550
