descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Dispositivo para infusão endovenosa, n° 23 (apelido scalp).",1258666,21,60000,ATIVO,UNIDADE,9600,0.16
"ABAIXADOR DE LINGUA",1258691,1,860,ATIVO,PACOTE,8488.2,9.87
"Agulhas hipodérmicas 25mmX7mm",1258692,9,120000,ATIVO,UNIDADE,5880,0.049
"Agulhas hipodérmicas 40mmX12mm",1258694,13,130000,ATIVO,UNIDADE,7410,0.057
"Dispositivo para infusão endovenosa, n° 19 (apelido scalp).",1258695,19,13000,ATIVO,UNIDADE,2080,0.16
"Dispositivo para infusão endovenosa, n° 21 (apelido scalp).",1258696,20,60000,ATIVO,UNIDADE,9600,0.16
"Dispositivo para infusão endovenosa, n° 25 (apelido scalp).",1258697,22,10000,ATIVO,UNIDADE,1600,0.16
"Agulhas hipodérmicas 30mmX8mm",1258698,12,60000,ATIVO,UNIDADE,2874,0.0479
"Seringas descartáveis para Insulina com agulha fixa 1 ml",1258699,29,1000000,ATIVO,UNIDADE,290000,0.29
"Eletrodo adulto (Pás descartáveis) para uso no DEA-Zoll, mod",1258700,39,20,ATIVO,PAR,24000,1200
"Dispositivo para infusão endovenosa, n° 27 (apelido scalp).",1258706,23,1000,ATIVO,UNIDADE,162,0.162
