descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Lima Flex-file 1ª série nº 15 a 40 de 31 mm",1258992,191,10,ATIVO,CAIXA,255.3,25.53
"Lima Flex-file nº 15 de 21 mm",1258993,192,30,ATIVO,CAIXA,765.9,25.53
"Lima Flex-file nº 15 de 25 mm",1258994,193,30,ATIVO,CAIXA,765.9,25.53
"Lima Flex-file nº 15 de 31 mm",1258995,194,20,ATIVO,CAIXA,510.6,25.53
"Lima Flex-file nº 20 de 21 mm",1258996,195,30,ATIVO,CAIXA,765.9,25.53
"Lima Flex-file nº 20 de 25 mm",1258997,196,30,ATIVO,CAIXA,765.9,25.53
"Lima Flex-file nº 20 de 31 mm",1258998,197,20,ATIVO,CAIXA,510.6,25.53
"Óculos de proteção de plástico",1258999,219,70,ATIVO,UNIDADE,217,3.1
"Oxido de zinco-eugenol, de presa rápida tipo IRM",1259000,225,100,ATIVO,kit,1720,17.2
"Papel grau cirúrgico; medindo 10 cm x 100m",1259001,229,200,ATIVO,BOBINA,5074,25.37
"Papel grau cirúrgico; medindo 25 cm x 100 m",1259002,230,300,ATIVO,BOBINA,18840,62.8
"Pedra pomes extra fina",1259003,237,100,ATIVO,POTE,288,2.88
"Lima Flex-file 1ª série nº 15 a 40 de 25 mm",1259023,190,10,ATIVO,CAIXA,255.3,25.53
"Lima Flex-file 1ª série nº 15 a 40 de 21 mm",1259025,189,10,ATIVO,CAIXA,255.3,25.53
"Godiva em bastão",1259026,173,6,ATIVO,CAIXA,97.62,16.27
"Pote dappen de vidro",1259050,43,100,ATIVO,UNIDADE,192,1.92
"Abaixador de lingua descartável",1259051,56,100,ATIVO,PACOTE,1020,10.2
"Algodão em roletes.",1259052,63,2000,ATIVO,PACOTE,2740,1.37
"Coletor de material perfuro cortante",1259053,120,50,ATIVO,CAIXA,720,14.4
"Cunhas de madeira interdental anatômicas",1259054,137,100,ATIVO,CAIXA,467,4.67
"FITA AUTOCLAVE",1259055,161,100,ATIVO,ROLO,220,2.2
"Flúor gel acidulado com concentração mínima de 1,23% de flúo",1259056,166,200,ATIVO,FRASCO,512,2.56
"Gel ácido fosfórico ou ortofosfórico, 37% com clorexidine a",1259057,172,400,ATIVO,SERINGA,532,1.33
"Guardanapo 30 x 30cm",1259058,175,2500,ATIVO,PACOTE,2900,1.16
