descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"cx luz 4x4 (pvc) sextavada dupla",1275049,187,45,ATIVO,UNIDADE,44.1,0.98
"soquete lâmpada fluorescente (P.R.)",1275092,461,200,ATIVO,UNIDADE,198,0.99
"plugue tomada telefone c/ 1 adaptador jack (macho)",1275107,396,200,ATIVO,UNIDADE,300,1.5
"Porta papel higiênico em aço inoxidável",1275108,405,25,ATIVO,UNIDADE,399.75,15.99
"plugue tomada 2p+t 10A (macho)",1275110,393,50,ATIVO,UNIDADE,135,2.7
"plugue tomada 3 saídas (TE) 10A",1275111,392,50,ATIVO,UNIDADE,205,4.1
"plugue porcelana trif. 30A",1275112,391,10,ATIVO,UNIDADE,159.9,15.99
"plugue porcelana mono. 30A",1275113,390,10,ATIVO,UNIDADE,105,10.5
"Plug roscavel 1/2 pvc",1275114,389,20,ATIVO,UNIDADE,8.6,0.43
"plug galvanizado 3/4",1275115,388,20,ATIVO,UNIDADE,37.4,1.87
"PLAFON BRANCO 100W",1275116,387,100,ATIVO,UNIDADE,199,1.99
"piso cerâmico 45 x 45 A PEI-5 (chão)",1275117,386,500,ATIVO,"METRO QUADRADO",4395,8.79
"piso cerâmico 45 x 45 A PEI-4 (chão)",1275118,385,500,ATIVO,"METRO QUADRADO",4200,8.4
"porta sabonete em aço inox",1275120,406,25,ATIVO,UNIDADE,249.75,9.99
"porta sabonete líquida externa (acrílico)",1275121,407,25,ATIVO,UNIDADE,737.5,29.5
"porta sanfonada 80 x 2,10 (pvc)",1275122,408,25,ATIVO,UNIDADE,1350,54
"prego forro galv. 13 x 10",1275129,423,40,ATIVO,kg,439.6,10.99
"Prego com cabeça 25x72,pacote de 01 Kg",1275130,422,100,ATIVO,kg,612,6.12
"Prego com cabeça 22x48,pacote de 01 Kg",1275131,421,100,ATIVO,kg,799,7.99
"Prego com cabeça 22x45,pacote de 01 Kg",1275132,420,200,ATIVO,kg,1940,9.7
"Prego com cabeça 19x36,pacote de 01 Kg",1275133,419,200,ATIVO,kg,980,4.9
"Prego com cabeça 18x24,pacote de 01 Kg",1275134,418,200,ATIVO,kg,1598,7.99
"Prego com cabeça 16x21,pacote de 01 Kg",1275136,416,200,ATIVO,kg,1798,8.99
"Prego com cabeça 14x18,pacote de 01 Kg",1275137,415,150,ATIVO,kg,1605,10.7
"Prego com cabeça 12x12,pacote de 01 Kg",1275138,414,100,ATIVO,kg,870,8.7
"Prego com cabeça 10x10,pacote de 01 Kg",1275139,413,100,ATIVO,kg,1009,10.09
"piso cerâmico 20 x 20 A PEI-4 (parede)",1275145,384,500,ATIVO,"METRO QUADRADO",5900,11.8
"Tubo descarga para valvula",1275161,539,20,ATIVO,UNIDADE,116,5.8
"Tubo cx descarga (longo)",1275162,538,50,ATIVO,UNIDADE,220,4.4
"válvula pia cozinha pvc cr. 4.1/2 tipo americana",1275183,566,10,ATIVO,UNIDADE,87.9,8.79
"válvula lavatório (pvc cr.)",1275184,565,50,ATIVO,UNIDADE,144.5,2.89
"válvula lavatório (metal)",1275185,564,10,ATIVO,UNIDADE,78.8,7.88
"telha fibra incolor 2,13 x 1,10 x 0,8mm",1275202,498,50,ATIVO,UNIDADE,2550,51
"telha de cimento s/ amianto 1,22 x 0,50 x 4mm",1275204,496,300,ATIVO,UNIDADE,1980,6.6
"telha s/ amianto 2,44 x 1,10 x 5mm",1275205,495,200,ATIVO,UNIDADE,7520,37.6
"telha s/ amianto 2,44 x 0,50 x 4mm",1275207,494,300,ATIVO,UNIDADE,3570,11.9
"telha s/ amianto 1,83 x 1,10 x 6mm",1275209,491,100,ATIVO,UNIDADE,3299,32.99
"telha s/ amianto 1,83 x 0,50 x 4mm",1275211,489,400,ATIVO,UNIDADE,3760,9.4
"Telha s/ amianto 1,53 x 1,10 x 6mm",1275212,488,250,ATIVO,UNIDADE,7550,30.2
"Tela galvanizada arame 12 malha 10 trançada",1275215,485,1000,ATIVO,"METRO QUADRADO",13050,13.05
"telha s/ amianto 2,13 x 1,10 x 6mm",1275217,493,200,ATIVO,UNIDADE,8880,44.4
"forro de pvc 100mm",1275257,246,1000,ATIVO,"METRO QUADRADO",8450,8.45
"fita veda rosca 18 x 25 mt",1275259,244,300,ATIVO,ROLO,840,2.8
"fita sinalização zebrada 7cm x 200m",1275260,243,30,ATIVO,ROLO,116.7,3.89
"fita isolante elétrica",1275261,242,200,ATIVO,UNIDADE,3260,16.3
"fita crepe 50mm x 50mt",1275262,241,50,ATIVO,ROLO,315,6.3
"fita crepe 25mm x 50mt",1275263,240,50,ATIVO,ROLO,135,2.7
"fita crepe 19mm x 50mt",1275264,239,50,ATIVO,ROLO,95,1.9
"fio elétrico tipo rígido  bitola 6,0mm",1275265,238,1000,ATIVO,METRO,1940,1.94
"fio elétrico tipo rígido  bitola 4,0mm",1275291,237,2000,ATIVO,METRO,2700,1.35
"fio elétrico tipo rígido  bitola 2,5mm",1275292,236,2500,ATIVO,METRO,1400,0.56
"fio elétrico tipo rígido  bitola 10 mm",1275293,235,1500,ATIVO,METRO,5985,3.99
"fio elétrico tipo rígido  bitola 1,5mm",1275294,234,2000,ATIVO,METRO,680,0.34
"cx sifonada 150 x 50",1275312,191,45,ATIVO,UNIDADE,990,22
"cx sifonada 100 x 50",1275313,190,45,ATIVO,UNIDADE,373.5,8.3
"cx sifonada 100 x 150 x 50",1275314,189,45,ATIVO,UNIDADE,483.75,10.75
"fio elétrico tipo flexível bitola 2 x 1,5mm",1275321,232,1500,ATIVO,METRO,1335,0.89
"fio elétrico tipo flexível bitola 2 x 1,0mm",1275322,231,1000,ATIVO,METRO,770,0.77
"ferro mecânico 3/8          6m",1275323,230,230,ATIVO,BARRA,3629.4,15.78
"ferro mecânico 1/2          6m",1275324,229,230,ATIVO,BARRA,6359.5,27.65
"ferro construçao 5/16 - 12m",1275325,228,720,ATIVO,BARRA,12024,16.7
