descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Barbante de algodão fio numera 08",1278909,4,250,ATIVO,ROLO,2387.5,9.55
"Cola colorida.",1278910,19,1500,ATIVO,CAIXA,4980,3.32
"Cartolina 50x66",1278912,12,2000,ATIVO,PACOTE,52580,26.29
"Apagador quadro negro escolar",1278922,2,700,ATIVO,UNIDADE,1869,2.67
"Apagador para quadro branco",1278923,1,250,ATIVO,UNIDADE,952.5,3.81
"PINCEL ATOMICO",1278945,48,1500,ATIVO,UNIDADE,1380,0.92
"Giz branco plastificado",1278951,31,5000,ATIVO,CAIXA,6700,1.34
"Giz colorido plastificado",1278952,32,3500,ATIVO,CAIXA,6195,1.77
"Lápis colorido.",1278955,35,20000,ATIVO,CAIXA,55800,2.79
"Lápis preto de grafite nº 2",1278956,36,1000,ATIVO,CAIXA,29800,29.8
