descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"LAMPADA VAPOR SODIO   70W E27",4346781,2400,VENCEU,UND,33504,13.96
"LAMPADA VAPOR SODIO  100W E40",4346782,210,VENCEU,UND,4481.4,21.34
"LAMPADA VAPOR SODIO  150W E40",4346783,300,VENCEU,UND,7245,24.15
"LAMPADA VAPOR SODIO  250W E40",4346784,1500,VENCEU,UND,41175,27.45
"LAMPADA VAPOR SODIO TUB. 250W",4346785,150,VENCEU,UND,4131,27.54
"LAMPADA VAPOR SODIO  400W E40",4346786,30,VENCEU,UND,986.4,32.88
"LAMPADA VAPOR SODIO TUB. 600W",4346787,9,VENCEU,UND,2700,300
"LAMPADA VAPOR MET. 150W",4346788,180,PERDEU,UND,6354,35.3
"LAMPADA VAPOR MET. 250W",4346789,60,PERDEU,UND,2787,46.45
"LAMPADA VAPOR MET. 400W",4346790,100,PERDEU,UND,5325,53.25
"REATOR VAPOR SODIO  70W AF GALV",4346791,1500,VENCEU,UND,60960,40.64
"REATOR VAPOR SODIO 100W AF GALV",4346792,120,VENCEU,UND,5202,43.35
"REATOR V.SOD 150W AF EXT",4346793,120,VENCEU,UND,6477.6,53.98
"REATOR VAPOR SODIO 250W AF GALV",4346794,90,VENCEU,UND,6102,67.8
"REATOR VAPOR MET 150W AF EXT",4346795,120,PERDEU,UND,7903.2,65.86
"REATOR VAPOR MET 250W AF EXT",4346796,1200,VENCEU,UND,76704,63.92
"REATOR VAPOR MET 400W AF EXT",4346797,50,VENCEU,UND,3592.5,71.85
"REATOR VAPOR SODIO 250W AF INT.",4346798,60,VENCEU,UND,3912,65.2
"RELE FOTOELETRICO",4346799,2400,VENCEU,PÇA,33936,14.14
"BASE PARA RELE DE 1000W",4346800,400,VENCEU,UND,2288,5.72
"LUMIN MEDIA C/GDE E-40 (25,4)",4346801,300,VENCEU,UND,14190,47.3
"LUMIN C/AJ.B/RE C/POL.E-40 (60,3)",4346802,330,VENCEU,UND,33660,102
"LUMIN FECH. C/POLIC. E-40 (48,6) GRANDE",4346803,240,VENCEU,UND,18792,78.3
"LUMIN S/RABETA P/NUCLEO E-40",4346804,240,VENCEU,UND,40464,168.6
"LUMIN FECH. C/POLIC. E27 (25,4)",4346805,330,VENCEU,UND,20097,60.9
"CONECTOR CUNHA TIPO V AMPACTINHO",4346806,300,VENCEU,UND,435,1.45
"CONECTOR CUNHA TIPO IV  AMPACTINHO",4346807,300,VENCEU,UND,435,1.45
"CONECTOR CUNHA TIPO III AMPACTINHO",4346808,300,VENCEU,UND,435,1.45
"CONECTOR CUNHA TIPO II AMPACTINHO",4346809,300,VENCEU,UND,609,2.03
"CONECTOR CUNHA TIPO B  AMPACTINHO",4346810,300,VENCEU,UND,960,3.2
"FIO RIGIDO 750V 1,50MM-PRETO",4346811,2400,VENCEU,UND,1200,0.5
"FIO RIGIDO 750V 2,50MM-PRETO",4346812,2400,VENCEU,UND,1920,0.8
"FITA ISOLANTE 20MTS PTO",4346813,150,VENCEU,UND,474,3.16
"FITA ISOLANTE AUTO FUSAO 10MTS",4346814,30,VENCEU,RL,351.9,11.73
"CABO FLEX- 1KV- 10,0 MM-PRETO",4346815,1000,VENCEU,UND,3390,3.39
"CABO FLEX- 1KV- 16,0 MM-PRETO",4346816,1000,VENCEU,UND,5150,5.15
"CABO FLEX- 1KV- 25,0 MM-PRETO",4346817,450,VENCEU,UND,3609,8.02
"CABO PP 1KV - 4 X  2,50MM",4346818,900,VENCEU,UND,3465,3.85
"CABO PP 1KV - 2 X  2,50MM",4346819,900,VENCEU,UND,1890,2.1
"CHAVE DE ILUMINACAO 1 X 50A",4346820,9,VENCEU,UND,1361.7,151.3
"CHAVE DE ILUMINACAO 2 X 30A",4346821,9,VENCEU,UND,1573.2,174.8
"CINTA CIRC. 160MM C/02 PAR. E PORCA",4346822,150,VENCEU,UND,2175,14.5
"CINTA CIRC. 170MM C/02 PAR. E PORCA",4346823,150,VENCEU,UND,2220,14.8
"CINTA CIRC. 180MM C/02 PAR. E PORCA",4346824,150,VENCEU,UND,2280,15.2
"CINTA CIRC. 200MM C/02 PAR. E PORCA",4346825,150,VENCEU,UND,2430,16.2
"CINTA CIRC. 210MM C/02 PAR. E PORCA",4346826,150,VENCEU,UND,2460,16.4
"CINTA CIRC. 220MM C/02 PAR. E PORCA",4346827,150,VENCEU,UND,2505,16.7
"CINTA CIRC. 230MM C/02 PAR. E PORCA",4346828,150,VENCEU,UND,2547,16.98
"CINTA CIRC. 240MM C/02 PAR. E PORCA",4346829,150,VENCEU,UND,2565,17.1
"CINTA CIRC. 250MM C/02 PAR. E PORCA",4346830,150,VENCEU,UND,2745,18.3
"PARAFUSO FRANCES 16X 75MM C/PORCA",4346831,300,VENCEU,UND,678,2.26
"PORCA QUADRADA M16 5/8",4346832,300,PERDEU,UND,291,0.97
"PARAFUSO MAQ. M16X200MM C/PORCA",4346833,300,VENCEU,UND,1230,4.1
"PARAFUSO MAQ. M16X250MM C/PORCA",4346834,300,VENCEU,UND,1425,4.75
"PARAFUSO MAQ. M16X300MM C/PORCA",4346835,300,DESCLASSIFICADO,UND,1614,5.38
