descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"UBS Colonial: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"ESF Francesa: 1,95 x 1,95m",0,3.8,PERDEU," ",239.4,63
"EFS Wosocris: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"Policlínica Rio Maina: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"ESF Ana Maria: 1,65 x 1,65m",0,2.73,PERDEU," ",171.99,63
"ESF Linha Batista: 2x de 1,50 x 1,20m",0,1.8,PERDEU," ",113.4,63
"ESF Argentina: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"ESF Brasília: 1,40 x 1,70m",0,2.38,PERDEU," ",149.94,63
"ESF CSU: 4x de 0,80 x 0,60m",0,1.92,PERDEU," ",120.96,63
"ESF Cristo Redentor: 1,20 x 1,20m",0,1.44,PERDEU," ",90.72,63
"ESF Renascer: 2,00 x 1,40m",0,2.8,PERDEU," ",176.4,63
"ESF Imigrantes: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"24 Horas Próspera: 2x de 2,00 x 2,00m",0,8,PERDEU," ",504,63
"ESF São Simão: 1,50 x 1,50m",0,2.25,PERDEU," ",141.75,63
"ESF 4ª Linha: 2,00 x 1,30m",0,2.6,PERDEU," ",163.8,63
"UBS Mina do Mato: 2 x de 2,00 x 1,30m",0,5.2,PERDEU," ",327.6,63
"ESF Morro Estevão: 1,65 x 1,00m",0,1.65,PERDEU," ",103.95,63
"ESF Operaria Nova: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"UBS Centro: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"ESF Paraíso: 1,20 x 1,20m",0,1.44,PERDEU," ",90.72,63
"ESF Pinheirinho: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"UBS Sangão: 1,60 x 1,75m",0,2.8,PERDEU," ",176.4,63
"ESF Santa Augusta: 1,00 x 1,00m",0,1,PERDEU," ",63,63
"UBS São Roque: 1,50 x 1,00nm",0,1.5,PERDEU," ",94.5,63
"ESF Cidade Mineira Velha: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"ESF Cidade Mineira Nova: 1,20 x 1,00m",0,1.2,PERDEU," ",75.6,63
"ESF Vila Manaus: 2x de 1,70 x 1,20m",0,4.08,PERDEU," ",257.04,63
"ESF Mina União: 1,70 x 1,20m",0,2.04,PERDEU," ",128.52,63
"UBS Metropol; 2,00 x 2,00m",0,4,PERDEU," ",252,63
"UBS Santa Luzia: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"UBS São Defende: 2,00 x 2,00m",0,4,PERDEU," ",252,63
"UBS Vila Zuleima (Centro Comunitário): 2 x de 2,00 x 2,00m",0,8,PERDEU," ",504,63
"UBS Vila Belmiro: 0,45 x 0,45m e 1,00 x 1,60m",0,1.8,PERDEU," ",113.4,63
"UBS Nossa Senhora da Salete: 1,20 x 2,50m",0,1.5,PERDEU," ",94.5,63
"UBS Laranjinha: 1,60 x 1,25m",0,2,PERDEU," ",126,63
"24 Horas Boa Vista: 3x de 2,00 x 2,00m e 1x de 1,30 x 1,00m",0,13.3,PERDEU," ",837.9,63
"UBS Vila Francesa:  1,75 x 1,25m",0,2.18,PERDEU," ",137.34,63
