descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ADITIVO PARA RADIADOR",0,10,PERDEU," ",119.53,11.953
"AMORTECEDOR CAPO TRASEIRO",0,4,PERDEU," ",278.93,69.7336
"AMORTECEDOR DIANTEIRO",0,4,PERDEU," ",1235.28,308.8203
"AMORTECEDOR TRASEIRO",0,4,PERDEU," ",836.8,209.2008
"BALANCA DE SUSPENSAO",0,2,PERDEU," ",737.18,368.592
"BATENTE AMORTECEDOR DIANTEIRO",0,6,PERDEU," ",89.66,14.9429
BATERIA,0,2,PERDEU," ",777.03,388.5158
"bico injetor.",0,8,PERDEU," ",2231.48,278.9345
"BIELETA ESTABILIZADOR",0,6,PERDEU," ",388.52,64.7526
BOBINA,0,2,PERDEU," ",607.68,303.8393
"BOMBA COMBUSTIVEL",0,2,PERDEU," ",547.91,273.9535
"BOMBA DAGUA",0,2,PERDEU," ",378.55,189.277
"BOMBA OLEO",0,2,PERDEU," ",667.45,333.7252
"BUCHA BALANÇA",0,6,PERDEU," ",209.2,34.8668
"BUCHA ESTABILIZADOR",0,8,PERDEU," ",199.24,24.9049
"CABO ACELERADOR",0,2,PERDEU," ",113.57,56.7831
"CABO DE VELAS",0,3,PERDEU," ",564.84,188.2808
"CABO FREIO DE MAO.",0,2,PERDEU," ",360.62,180.3112
"CALCO AMORTECEDOR DIANTEIRO",0,4,PERDEU," ",330.74,82.6841
"CANO DÁGUA",0,2,PERDEU," ",139.47,69.7336
CÁRTER,0,2,PERDEU," ",737.18,368.592
"CILINDRO EMBREAGEM",0,2,PERDEU," ",657.49,328.7442
"CILINDRO RODA TRASEIRO",0,6,PERDEU," ",352.65,58.7755
"COIFA HOMOCINÉTICA",0,6,PERDEU," ",185.29,30.882
"COLA SILICONE",0,5,PERDEU," ",49.81,9.9619
"CORREIA ALTERNADOR",0,3,PERDEU," ",194.26,64.7526
"CORREIA DENTADA",0,2,PERDEU," ",165.37,82.6841
"CUBO DE RODA DIANTEIRO.",0,4,PERDEU," ",1514.22,378.5539
"CUBO DE RODA TRASEIRO",0,4,PERDEU," ",1554.06,388.5158
"DISCO DE FREIO.",0,6,PERDEU," ",687.37,114.5624
"FILTRO DE AR.",0,4,PERDEU," ",147.44,36.8592
"FILTRO DE COMBUSTIVEL.",0,6,PERDEU," ",191.27,31.8782
"FILTRO DO OLEO",0,10,PERDEU," ",259.01,25.9011
"FLEXIVEL DE FREIO",0,6,PERDEU," ",292.88,48.8135
"IMPULSOR DE PARTIDA",0,2,PERDEU," ",213.19,106.5928
"INTERRUPTOR DO FREIO",0,2,PERDEU," ",77.7,38.8516
