descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACHOCOLATADO EM PÓ VITAMINADO INSTANTÂNEO entrega no Centro",4350049,5500,NAO_COTOU,KG,0,0
"ACHOCOLATADO EM PÓ VITAMINADO INSTANTÂNEO entrega no Centro",4350050,16500,NAO_COTOU,KG,0,0
"ACUCAR REFINADO",4350051,15000,DESCLASSIFICADO,KG,50550,3.37
"ACUCAR REFINADO",4350052,45000,DESCLASSIFICADO,KG,151650,3.37
"AÇÚCAR DEMERARA",4350053,10000,INABILITADO,KG,32500,3.25
"AMIDO DE MILHO",4350054,2000,PERDEU,KG,14620,7.31
"AVEIA EM FLOCOS FINOS",4350055,6000,VENCEU,KG,58680,9.78
"arroz parboilizado tipo 1",4350056,13750,DESCLASSIFICADO,KG,34787.5,2.53
"arroz parboilizado tipo 1",4350057,41250,DESCLASSIFICADO,KG,104362.5,2.53
"ARROZ INTEGRAL",4350058,5000,DESCLASSIFICADO,KG,16900,3.38
"BISCOITO SORTIDO - SEM RECHEIO",4350059,2700,DESCLASSIFICADO,KG,28161,10.43
"BISCOITO SORTIDO - SEM RECHEIO",4350060,8100,DESCLASSIFICADO,KG,84483,10.43
"Biscoito de Chocolate",4350061,2700,DESCLASSIFICADO,KG,29754,11.02
"Biscoito de Chocolate",4350062,8100,DESCLASSIFICADO,KG,89262,11.02
"BISCOITO DE CÔCO",4350063,2700,DESCLASSIFICADO,KG,25515,9.45
"BISCOITO DE CÔCO",4350064,8100,DESCLASSIFICADO,KG,76545,9.45
"BISCOITO COM AMENDOIM",4350065,2700,NAO_COTOU,KG,0,0
"BISCOITO COM AMENDOIM",4350066,8100,NAO_COTOU,KG,0,0
"BISCOITO DE MILHO",4350067,2700,NAO_COTOU,KG,0,0
"BISCOITO DE MILHO",4350068,8100,NAO_COTOU,KG,0,0
"BISCOITO TIPO MARIA.",4350069,2700,PERDEU,KG,16740,6.2
"BISCOITO TIPO MARIA.",4350070,8100,PERDEU,KG,50220,6.2
"BISCOITO SALGADO TIPO ÁGUA E SAL",4350071,2700,PERDEU,KG,17982,6.66
"BISCOITO SALGADO TIPO ÁGUA E SAL",4350072,8100,PERDEU,KG,53946,6.66
"BISCOITO SALGADO DE GERGELIM",4350073,2700,DESCLASSIFICADO,KG,26379,9.77
"BISCOITO SALGADO DE GERGELIM",4350074,8100,DESCLASSIFICADO,KG,79137,9.77
"BISCOITO SALGADO INTEGRAL",4350075,2500,DESCLASSIFICADO,KG,24425,9.77
"BISCOITO SALGADO INTEGRAL",4350076,7500,DESCLASSIFICADO,KG,73275,9.77
"BISCOITO TIPO MARIA - sem adição de leite e derivados",4350077,2500,DESCLASSIFICADO,KG,21600,8.64
"BISCOITO TIPO MARIA - sem adição de leite e derivados",4350078,7500,DESCLASSIFICADO,KG,64800,8.64
"BISCOITO ROSQUINHA DE COCO - sem adição de leite e derivados",4350079,2500,DESCLASSIFICADO,KG,22750,9.1
"BISCOITO ROSQUINHA DE COCO - sem adição de leite e derivados",4350080,7500,DESCLASSIFICADO,KG,68250,9.1
"BISCOITO PALITO CHOCOLATE - sem adição de leite e derivados",4350081,2500,DESCLASSIFICADO,KG,37175,14.87
