descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AÇUCAR BRANCO REFINADO",4346889,600,VENCEU,KG,1800,3
"Azeite de oliva tipo extra virgem",4346890,70,NAO_COTOU,EMB,0,0
"ARROZ PARBONIZADO tipo 1",4346891,360,PERDEU,KG,871.2,2.42
"Condimento colorífíco em pó",4346892,80,VENCEU,EMB,159.2,1.99
"Cominho em pó.",4346893,72,NAO_COTOU,UND,0,0
"Doce de frutas.",4346894,240,VENCEU,UND,1125.6,4.69
"Extrato de tomate.",4346895,150,PERDEU,UND,226.5,1.51
"MARGARINA CREMOSA.",4346896,300,VENCEU,POT,1797,5.99
"Farinha de mandioca",4346897,120,DESCLASSIFICADO,KG,309.6,2.58
"FEIJAO PRETO",4346898,180,PERDEU,KG,1348.2,7.49
"LEITE LÍQUIDO SEMI DESNATADO",4346899,3160,DESCLASSIFICADO,LT,11976.4,3.79
MACARRÃO.,4346900,360,PERDEU,EMB,792,2.2
"Óleo de soja refinado.",4346901,460,DESCLASSIFICADO,UND,1651.4,3.59
Orégano.,4346902,40,NAO_COTOU,UND,0,0
SAL,4346903,180,PERDEU,KG,268.2,1.49
"Suco em pó",4346904,1200,DESCLASSIFICADO,GR,1668,1.39
"Vinagre de álcool.",4346905,144,PERDEU,UND,171.36,1.19
BACON,4346906,60,NAO_COTOU,KG,0,0
"Carne Suína",4346907,240,NAO_COTOU,KG,0,0
"LINGUIÇA SUÍNA",4346908,180,NAO_COTOU,KG,0,0
"CARNE BOVINA",4346909,960,NAO_COTOU,KG,0,0
"CARNE DEFUMADA",4346910,120,NAO_COTOU,KG,0,0
"PRESUNTO SUÍNO",4346911,600,NAO_COTOU,KG,0,0
Queijo,4346912,600,NAO_COTOU,KG,0,0
"Achocolatado em pó.",4346913,144,VENCEU,UND,756,5.25
"CREME DE LEITE.",4346914,40,DESCLASSIFICADO,UND,74.4,1.86
"Gelatina em pó",4346915,240,PERDEU,EMB,271.2,1.13
"BISCOITO DOCE.",4346916,240,PERDEU,UND,892.8,3.72
"FARINHA DE TRIGO ESPECIAL",4346917,72,VENCEU,KG,143.28,1.99
"OVOS CLASSE A",4346918,120,NAO_COTOU,CX,0,0
"Maionese Tradicional",4346919,144,VENCEU,POT,574.56,3.99
"Fermento em Pó Químico;",4346920,60,VENCEU,PCT,358.2,5.97
"Fermento Biológico.",4346921,24,NAO_COTOU,UND,0,0
"TEMPERO PRONTO",4346922,180,NAO_COTOU,UND,0,0
"Fuba Mimoso de milho",4346923,48,CANCELADO,UND,122.4,2.55
"CARNE BOVINA MOIDA",4346924,180,NAO_COTOU,KG,0,0
"Milho Verde pré-cozido",4346925,180,VENCEU,LAT,264.6,1.47
ERVILHA,4346926,180,VENCEU,LAT,268.2,1.49
"FARINHA DE ROSCA",4346927,144,NAO_COTOU,KG,0,0
"MANDIOCA, AIPIM",4346928,72,NAO_COTOU,KG,0,0
"CARNE BOVINA, COSTELA DE BOI",4346929,240,NAO_COTOU,KG,0,0
"Filé de Peito de Frango",4346930,200,NAO_COTOU,KG,0,0
"MASSA PARA LASANHA",4346931,96,NAO_COTOU,KG,0,0
"ERVA MATE",4346932,60,PERDEU,EMB,497.4,8.29
Chá,4346933,60,PERDEU,UND,174.6,2.91
"BACON DEFUMADO",4346934,60,NAO_COTOU,KG,0,0
"SABAO EM PO",4346935,120,PERDEU,KG,872.4,7.27
"AGUÁ MINERAL, SEM GÁS",4346936,600,NAO_COTOU,UND,0,0
"AGUÁ MINERAL, COM GÁS",4346937,240,NAO_COTOU,UND,0,0
"Suco Integral",4346938,360,NAO_COTOU,UND,0,0
"CARNE BOVINA, CORTE ACÉM",4346939,276,NAO_COTOU,KG,0,0
"GALINHA CAIPIRA",4346940,96,NAO_COTOU,KG,0,0
"CARNE SUÍNA, CORTE COSTELA DE PORCO",4346941,240,NAO_COTOU,KG,0,0
"CARNE BOVINA, CORTE RABADA",4346942,288,NAO_COTOU,KG,0,0
"Salsicha Tipo Hot Dog",4346943,144,NAO_COTOU,KG,0,0
"REFRIGERANTE: SABOR LIMÃO",4346944,80,NAO_COTOU,UND,0,0
"REFRIGERANTE: SABOR COLA",4346945,80,NAO_COTOU,UND,0,0
CAFE,4346946,385,INABILITADO,EMB,2995.3,7.78
"IOGURTE COM POLPA DE FRUTAS",4346947,190,NAO_COTOU,LT,0,0
"SORVETE DE CREME",4346948,190,NAO_COTOU,UND,0,0
"ÓLEO DECOCO",4346949,20,NAO_COTOU,UND,0,0
"AÇUCAR EM SACHÊ",4346950,200,NAO_COTOU,CX,0,0
ADOÇANTE.,4346951,200,NAO_COTOU,CX,0,0
"ARROZ INTEGRAL",4346952,365,PERDEU,KG,1540.3,4.22
"Doce de Leite",4346953,60,VENCEU,POT,283.2,4.72
"MEL DE ABELHA",4346954,40,NAO_COTOU,UND,0,0
"CREME AVELÃN",4346955,120,NAO_COTOU,GR,0,0
GRANOLA,4346956,120,NAO_COTOU,GR,0,0
TAPIOCA,4346957,60,NAO_COTOU,EMB,0,0
"BANHA DE PORCO",4346958,85,NAO_COTOU,KG,0,0
ALFACE.,4346959,648,NAO_COTOU,MA,0,0
Alho,4346960,48,NAO_COTOU,KG,0,0
"Banana caturra",4346961,600,NAO_COTOU,KG,0,0
"BATATA, tipo inglesa",4346962,648,NAO_COTOU,KG,0,0
CEBOLA,4346963,360,NAO_COTOU,KG,0,0
"CEBOLINHA VERDE PARA TEMPERO",4346964,240,NAO_COTOU,MA,0,0
"CENOURA EXTRA ESPECIAL",4346965,240,NAO_COTOU,KG,0,0
"LARANJA PERA",4346966,480,NAO_COTOU,KG,0,0
"Maçã nacional Gala ou Fugi",4346967,480,NAO_COTOU,KG,0,0
"REPOLHO VERDE.",4346968,72,NAO_COTOU,UND,0,0
"Salsa verde para tempero",4346969,240,NAO_COTOU,MA,0,0
"TOMATE EXTRA",4346970,600,NAO_COTOU,KG,0,0
"ABÓBORA MORANGA.",4346971,144,NAO_COTOU,KG,0,0
"CHUCHU EXTRA",4346972,240,NAO_COTOU,KG,0,0
BETERRABA,4346973,192,NAO_COTOU,KG,0,0
"COUVE FOLHA.",4346974,360,NAO_COTOU,MA,0,0
COUVE-FLOR.,4346975,192,NAO_COTOU,UND,0,0
BRÓCOLIS,4346976,192,NAO_COTOU,UND,0,0
"MANGA ROSA",4346977,140,NAO_COTOU,KG,0,0
"BATATA DOCE",4346978,220,NAO_COTOU,KG,0,0
"CASTANHA DO PARÁ",4346979,80,NAO_COTOU,KG,0,0
UVA,4346980,80,NAO_COTOU,KG,0,0
"BROTO DE ALFAFA",4346981,150,NAO_COTOU,FCH,0,0
"BROTO DE FEIJÃO",4346982,150,NAO_COTOU,FCH,0,0
"PÃO DE TRIGO",4346983,800,NAO_COTOU,KG,0,0
"PÃO FRANCÊS INTEGRAL",4346984,430,NAO_COTOU,KG,0,0
