descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Agendamento de odontologia",4429323,12000,PERDEU,UNI,360,0.03
"Atestado Médico",4429324,3000,DESCLASSIFICADO,BLC,5400,1.8
"Atestado Médico para Gestantes",4429325,150,DESCLASSIFICADO,BLC,337.5,2.25
"Auto para coleta de água para consumo humano- 2 vias autocop",4429326,50,DESCLASSIFICADO,BLC,410,8.2
"AUTORIZAÇÃO PARA TRATAMENTO DENTÁRIO",4429327,200,VENCEU,BLC,440,2.2
"Bacteriologia da Tuberculose.",4429328,100,DESCLASSIFICADO,BLC,200,2
"BOLETIM DE ATENDIMENTO MEDICO",4429329,50,DESCLASSIFICADO,BLC,200,4
"Boletim de atendimento médico 24hs",4429330,150,DESCLASSIFICADO,BLC,577.5,3.85
"Boletim de procedimento odontológico BPA - consolidado",4429331,20,DESCLASSIFICADO,BLC,120,6
"Boletim de Reconhecimento Geográfico (Dengue)",4429332,100,PERDEU,BLC,240,2.4
"Boletim diário de odontologia -BDO frente e verso",4429333,350,DESCLASSIFICADO,BLC,665,1.9
"Boletim diário de odontologia na ESF- BDO- frente e verso",4429334,25,DESCLASSIFICADO,BLC,137.5,5.5
"BPA individualiazado 2 vias autocopiativo",4429336,500,DESCLASSIFICADO,BLC,3600,7.2
"Cartão de agendamento - frente e verso - papel offset 180gr",4429337,30000,VENCEU,UNI,1650,0.055
"Cartão de retorno - papel offset 180gr",4429338,100000,VENCEU,UN,1800,0.018
"Cartão de TFD-  papel offset 180gr",4429339,32000,DESCLASSIFICADO,UN,896,0.028
"Comprovante de Reuniões Educativas",4429340,50,DESCLASSIFICADO,BLC,210,4.2
"Condensado mensal de atividade educativa odontológica",4429341,10,PERDEU,BLC,100,10
"Condição Sócio Econômica- CAPS II",4429342,10,PERDEU,BLC,100,10
"Consentimento informado - 2 vias autocopiativo",4429343,70,DESCLASSIFICADO,BLC,560,8
"Controle de TDO",4429344,100,PERDEU,BLC,240,2.4
"Cuidados para vasectomia- 23x16 cm 2 vias autocopiativo",4429345,70,PERDEU,BLC,350,5
"Dados do atendimento do paciente- RAAS CAPS II",4429346,40,PERDEU,BLC,160,4
"Dados do atendimento do paciente- RAAS CAPS III",4429347,40,PERDEU,BLC,160,4
"Declaração de Comparecimento",4429348,3000,DESCLASSIFICADO,BLC,5400,1.8
"Estudo sócio-econômica CAPS II ad-  1 via",4429350,10,DESCLASSIFICADO,BLCO,100,10
"Etique laboratório Dengue (picotado)",4429351,10,PERDEU,BLC,100,10
"Evolução do paciente - frente e verso",4429352,6000,VENCEU,BLC,17100,2.85
"Exame parcial de urina",4429353,100,PERDEU,BLC,300,3
