descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Esfigmomanômetro Aneróide c/estetoscópio",4344623,5,INABILITADO,UND,374.35,74.87
"Estetoscópio cardiológico com auscultador duplo em aço inox",4344624,5,INABILITADO,UND,37.75,7.55
"Imobilizador de Cabeça impermeável - Adulto Coxim completo",4344625,2,INABILITADO,UND,195,97.5
"LANTERNA CLINICA",4344626,5,PERDEU,UND,2249.65,449.93
"Oxímetro portátil de dedo",4344627,3,VENCEU,UND,557.7,185.9
"TIRANTE ARANHA.",4344628,5,VENCEU,UND,149.5,29.9
"Desfibrilador Externo Automático (DEA) bifásico",4344629,2,INABILITADO,UND,14406.6,7203.3
"Colar Cervical regulável , com 16 posições",4344630,10,PERDEU,UND,494,49.4
"Colar Cervical regulável com 12 posições",4344631,5,PERDEU,UND,247,49.4
"CORTA ANEL",4344632,3,PERDEU,UND,354.9,118.3
"Termômetro digital",4344633,5,PERDEU,UND,63.45,12.69
"BOLSA DE APH",4344634,7,PERDEU,UND,1456,208
"TESOURA PONTA ROMBA",4344635,7,PERDEU,UND,189.28,27.04
"Pochete para Sinais Vitais",4344636,11,NAO_COTOU,UND,0,0
"Canivete Corta cinto e vidro",4344637,4,NAO_COTOU,UND,0,0
"Jogo de talas Rígidas 6 peças com bolsa",4344638,3,PERDEU,UND,1131,377
"Manequins de RCP - 5 Adulto e 2 Infantil",4344639,1,PERDEU,UND,5739.5,5739.5
"Prancha rígida.",4344640,11,PERDEU,UND,3753.75,341.25
"Tala de papelão tamanho G 70X20 cm",4344641,30,PERDEU,UND,421.2,14.04
"Tala de papelão tamanho M 50X20 cm",4344642,30,PERDEU,UND,335.4,11.18
"Tala de papelão tamanho P 30X20 cm",4344643,30,PERDEU,UND,195,6.5
"Esqueleto flexível",4344644,1,VENCEU,UND,2264.53,2264.53
"Manequim de RCP Resusci Anne corpo inteiro com monitor Skill",4344645,1,VENCEU,UND,5850,5850
"Boneco para medidas de reanimação, recém-nascido",4344646,1,PERDEU,UND,3627,3627
"OXÍMETRO DE PULSO",4344647,4,INABILITADO,UND,9504.76,2376.19
"Manequim simulador de Parto",4344648,1,PERDEU,UND,6955,6955
"Colete Socorrista PADRÃO CBMSC",4344649,30,NAO_COTOU,UND,0,0
"Óculos de segurança",4344650,100,PERDEU,UND,7020,70.2
"Mochila costal flexível anti-incêndio",4344651,3,NAO_COTOU,UND,0,0
Batedor/Abafador,4344652,11,NAO_COTOU,UND,0,0
Mcleod,4344653,3,NAO_COTOU,UND,0,0
Pulaski,4344654,3,NAO_COTOU,UND,0,0
Rastelo,4344655,4,NAO_COTOU,UND,0,0
"Queimador para incêndio controlado 5 Lt",4344656,2,NAO_COTOU,UND,0,0
"Máscara facial tipo bandana",4344657,10,NAO_COTOU,UND,0,0
"Indutor de espuma tipo mochila",4344658,2,NAO_COTOU,UND,0,0
"Luva couro vaqueta / nylon",4344659,30,NAO_COTOU,UND,0,0
"Supressante líquido",4344660,2,NAO_COTOU,UND,0,0
"Retardante de chamas",4344661,2,NAO_COTOU,UND,0,0
