descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"NVR PRO SERVER CÂMERAS",1285409,59,1,ATIVO,UNIDADE,4800,4800
"SWITCH POE 8 PORTAS",1285413,63,2,ATIVO,UNIDADE,780,390
"UNIDADE  SATA HD",1285415,65,3,ATIVO,UNIDADE,1080,360
"TERMINAL INTELIGENTE PAPX",1285418,69,4,ATIVO,UNIDADE,1660,415
"GPS PORTÁTIL",1285419,71,4,ATIVO,UNIDADE,6312,1578
"SMARTPHONE C",1285425,89,2,ATIVO,UNIDADE,2952,1476
"CONECTOR RJ45 c/ 100 un.",1285428,57,1,ATIVO,UNIDADE,44,44
SWITCH.,1285435,31,2,ATIVO,UNIDADE,3556,1778
"ROTEATOR TIPO 01",1285437,29,4,ATIVO,UNIDADE,680,170
"FONTE ATX",1285438,42,4,ATIVO,UNIDADE,1596,399
"Voice Panel",1285439,27,2,ATIVO,UNIDADE,588,294
"PATCH PANEL.",1285440,26,2,ATIVO,UNIDADE,316,158
"NOBREAK TIPO 2",1285442,24,1,ATIVO,UNIDADE,12300,12300
"FILTRO DE LINHA",1285446,20,10,ATIVO,UNIDADE,280,28
"TELEFONE COM HEAD SET",1285449,17,2,ATIVO,UNIDADE,296,148
"ALICATE DE CLIPAR",1285451,16,2,ATIVO,UNIDADE,95.8,47.9
"TELEFONE FIXO SEM FIO",1285452,13,10,ATIVO,UNIDADE,4460,446
"PAR DE PILHAS AAA.",1285453,12,60,ATIVO,PAR,780,13
"PAR DE PILHAS AA.",1285454,11,60,ATIVO,PAR,720,12
"KIT VENTILAÇÃO PARA MINI RACK 220V",1285464,44,1,ATIVO,UNIDADE,189,189
