descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"BERMUDA MASCULINA TACTEL",1243083,10,24,ATIVO,UNIDADE,1332,55.5
"CAMISETA MASCULINA MANGA LONGA INFANTIL",1243084,15,40,ATIVO,UNIDADE,1396,34.9
"CAMISETA MASCULINA MANGA LONGA",1243085,14,40,ATIVO,UNIDADE,1396,34.9
"CAMISETA MANGA CURTA MASCULINA INFANTIL",1243086,13,40,ATIVO,UNIDADE,1236,30.9
"CAMISETA MASCULINA MANGA CURTA",1243087,12,40,ATIVO,UNIDADE,1140,28.5
"BERMUDA MASCULINA INFANTIL",1243088,11,24,ATIVO,UNIDADE,1116,46.5
"CAMISETA MASCULINA UNIFORME ESCOLAR",1243089,16,12,ATIVO,UNIDADE,327.6,27.3
"BERMUDA MASCULINA JEANS",1243090,9,50,ATIVO,UNIDADE,4445,88.9
"CAMISETA MANGA CURTA FEMININA INFANTIL",1243091,2,16,ATIVO,UNIDADE,411.2,25.7
"SHORTS FEMININO INFANTIL",1243092,7,24,ATIVO,UNIDADE,1411.2,58.8
"SHORTS FEMININO",1243093,6,24,ATIVO,UNIDADE,1668,69.5
"CAMISETA FEMININA UNIFORME ESCOLAR",1243094,5,12,ATIVO,UNIDADE,322.8,26.9
"CAMISETA FEMININA MANGA LONGA INFANTIL",1243095,4,16,ATIVO,UNIDADE,558.4,34.9
"CAMISETA FEMENINA MANGA LONGA",1243096,3,40,ATIVO,UNIDADE,1548,38.7
"CAMISETA FEMININA MANGA CURTA",1243097,1,40,ATIVO,UNIDADE,1148,28.7
"REGATA MASCULINA INFANTIL",1243098,17,16,ATIVO,UNIDADE,462.4,28.9
"CALÇA FEMININA",1243099,8,50,ATIVO,UNIDADE,3975,79.5
"REGATA MASCULINA",1243100,18,16,ATIVO,UNIDADE,430.4,26.9
CALCINHA,1243101,23,40,ATIVO,UNIDADE,392,9.8
"BONÉ MASCULINO",1243102,20,16,ATIVO,UNIDADE,334.4,20.9
"CINTO MASCULINO",1243103,19,16,ATIVO,UNIDADE,284.8,17.8
"TÊNIS MASCULINO",1243104,37,16,ATIVO,PAR,1416,88.5
"TÊNIS FEMININO",1243105,36,16,ATIVO,PAR,1568,98
"TÊNIS INFANTIL MASCULINO",1243106,35,16,ATIVO,PAR,792,49.5
"SANDÁLIA DE DEDO MASCULINA INFANTIL",1243107,33,21,ATIVO,PAR,331.8,15.8
"SANDÁLIA DE DEDO FEMENINA INFANTIL",1243108,32,21,ATIVO,PAR,436.8,20.8
"SANDÁLIA DE DEDO MASCULINO",1243109,31,21,ATIVO,PAR,354.9,16.9
"SANDÁLIA DE DEDO FEMININA",1243110,30,21,ATIVO,PAR,451.5,21.5
"TÊNIS INFANTIL FEMININA",1243111,34,16,ATIVO,PAR,792,49.5
"TOALHA DE BANHO",1243112,28,100,ATIVO,UNIDADE,1410,14.1
"MEIA MASCULINA INFANTIL",1243113,27,8,ATIVO,PAR,46.4,5.8
"MEIA FEMININA INFANTIL",1243114,26,8,ATIVO,PAR,46.4,5.8
"Meia Masculina",1243115,25,8,ATIVO,PAR,62.4,7.8
"MEIA FEMININA",1243116,24,8,ATIVO,PAR,49.6,6.2
"CUECA BOX",1243117,22,40,ATIVO,UNIDADE,700,17.5
"MALA DE VIAGEM",1243118,21,20,ATIVO,UNIDADE,2530,126.5
"TOALHA DE ROSTO",1243119,29,100,ATIVO,UNIDADE,1150,11.5
