descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CARNE - PALETA GROSSA BOVINA EM CUBOS entrega nas escolas mu",1291609,99,11250,ATIVO,kg,158625,14.1
"CARNE - PALETA GROSSA PEÇA entrega no Centro de Processament",1291610,100,4000,ATIVO,kg,71000,17.75
"CARNE - PALETA GROSSA PEÇA entrega nas escolas municipais e",1291611,102,11250,ATIVO,kg,158062.5,14.05
"CARNE MÚSCULO TRASEIRO BOVINO MOÍDO (Lagartão) entrega no C",1291612,107,3000,ATIVO,kg,33300,11.1
"CARNE- MÚSCULO TRASEIRO BOVINO MOÍDO(Lagartão) entrega nas e",1291613,109,11250,ATIVO,kg,129375,11.5
"PERNIL SUÍNO CORTADO EM CUBOS entrega nas escolas municipais",1291614,116,4500,ATIVO,kg,44550,9.9
"LOMBO SUÍNO EM PEÇA entrega no Centro de Processamento de Me",1291615,119,2500,ATIVO,kg,32250,12.9
"CARNE - PALETA GROSSA BOVINA EM CUBOS entrega no Centro de P",1291617,97,4000,ATIVO,kg,56000,14
"CARNE - PATINHO EM PEÇA entrega no Centro de Processamento d",1291767,103,1000,ATIVO,kg,17000,17
"CARNE - PATINHO EM PEÇA entrega no Centro de Processamento d",1291768,104,3000,ATIVO,kg,50550,16.85
"PERNIL SUÍNO CORTADO EM CUBOS entrega no Centro de Processam",1291778,114,1200,ATIVO,kg,11388,9.49
