descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"PRETEADOR DE PNEU.",1291800,66,20,ATIVO,LITRO,400,20
"SABONETE LÍQUIDO CREMOSO",1291811,80,10,ATIVO,GALAO,160,16
SACOLA,1291815,85,10,ATIVO,UNIDADE,320,32
"SAPÓLIO CREMOSO.",1291816,86,10,ATIVO,CAIXA,250,25
"Saponáceo em pó;",1291817,87,10,ATIVO,CXA,170,17
"SHAMPOO AUTOMOTIVO",1291818,88,20,ATIVO,GALAO,220,11
"SILICONE EM GEL 500 ml",1291819,89,24,ATIVO,UNIDADE,144,6
"SILICONE EM GEL 5L",1291820,90,10,ATIVO,GALAO,210,21
"Papel toalha interfolhado",1291822,61,50,ATIVO,FARDO,700,14
"ESTOPA DE LIMPEZA ESFIAPADA",1291833,35,10,ATIVO,PACOTE,450,45
"Estopa de limpeza tipo pastelão",1291834,36,5,ATIVO,FARDO,575,115
"LIMPA VIDROS",1291843,45,30,ATIVO,UNIDADE,240,8
"Lustra móveis.",1291849,51,50,ATIVO,FRASCO,150,3
"Multiuso DE 5LTS",1291852,54,10,ATIVO,GALAO,600,60
"DESINFETANTE PARA USO GERAL 500 ml",1291865,16,20,ATIVO,CAIXA,240,12
"DESINFETANTE PARA USO GERAL 5 Litros",1291866,17,20,ATIVO,GALAO,128,6.4
"DETERGENTE LÍQUIDO 500ml.",1291868,20,20,ATIVO,CAIXA,320,16
"DETERGENTE LÍQUIDO 5 Litros.",1291869,21,10,ATIVO,GALAO,80,8
CLORO,1291873,9,10,ATIVO,GALAO,98,9.8
"ÁLCOOL EM GEL com bico dosador",1291880,4,10,ATIVO,UNIDADE,300,30
"Água sanitária 5L",1291882,2,20,ATIVO,GALAO,114,5.7
"Água sanitária 1L",1291883,1,20,ATIVO,CAIXA,510,25.5
