descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Alimento a base de proteína isolada de soja",1320776,1,240,ATIVO,LATA,3912,16.3
"GLICLAZIDA 30 MG",1320804,345,500,ATIVO,COMPRIMIDO,120,0.24
"GLICLAZIDA MR 30 MG",1320806,347,20000,ATIVO,COMPRIMIDO,4760,0.238
"GLIMEPIRIDA 2MG CPR",1320831,353,25000,ATIVO,COMPRIMIDO,1710,0.0684
"GLICLAZIDA MR 60 MG",1320835,348,20000,ATIVO,COMPRIMIDO,5580,0.279
"DIOSMINA + HERPERIDINA 450MG+50MG CPR",1320853,266,8000,ATIVO,COMPRIMIDO,2640,0.33
"MIKANIA GLOMERATA SEM AÇUCAR 120ML",1320951,484,500,ATIVO,FRASCO,925,1.85
"ISOSSORBIDA, MONONITRATO 20MG CPR",1320972,400,300000,ATIVO,COMPRIMIDO,19950,0.0665
"INSULINA NOVOMIX FLEXPEN 30 CANETA 3ML",1320976,396,150,ATIVO,UNIDADE,7350,49
"INDAPAMIDA 2,5",1320985,386,360,ATIVO,COMPRIMIDO,180,0.5
"INDAPAMIDA 1,5MG CPR",1320986,385,8500,ATIVO,COMPRIMIDO,1445,0.17
"BECLOMETASONA 200MCG PÓ INALANTE",1321033,83,200,ATIVO,FRASCO,8000,40
"AAS - ACIDO ACETILSALICILICO TAMPONADO 100MG",1321105,11,55000,ATIVO,COMPRIMIDO,9625,0.175
"DEFLAZACORT 7,5MG CPR",1321194,235,1000,ATIVO,COMPRIMIDO,875,0.875
"TIABENDAZOL 50MG/ML SOL. ORAL",1321275,632,100,ATIVO,FRASCO,1697.5,16.975
"ZOLPIDEM 10MG CPR",1321315,679,30000,ATIVO,COMPRIMIDO,13125,0.4375
"VALSARTANA + ANLODIPINO 320MG+5MG  CPR",1321337,655,360,ATIVO,COMPRIMIDO,603,1.675
"VALSARTANA + ANLODIPINO 320MG+10MG  CPR",1321338,654,360,ATIVO,COMPRIMIDO,603,1.675
"VALSARTANA + ANLODIPINO 160MG+5MG  CPR",1321339,653,360,ATIVO,COMPRIMIDO,486,1.35
"TRIMETAZIDINA 35MG MR CPR",1321341,651,20000,ATIVO,COMPRIMIDO,25600,1.28
"TRAMADOL + PARACETAMOL 37,5M,G+325MG CPR",1321346,646,1000,ATIVO,COMPRIMIDO,1900,1.9
"PERINDOPRIL 4MG/INDAPAMIDA 1,25MG",1321359,543,1000,ATIVO,COMPRIMIDO,2130,2.13
"PERINDOPRIL 4MG",1321360,542,300,ATIVO,COMPRIMIDO,444,1.48
"RILMENIDINA 1MG",1321410,579,120,ATIVO,COMPRIMIDO,237.6,1.98
"PROPRANOLOL 10 MG",1321420,569,500,ATIVO,COMPRIMIDO,27.5,0.055
"PRAMIPEXOL 0,125MG CPR",1321433,556,1000,ATIVO,COMPRIMIDO,442.5,0.4425
