descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"87457065 CRUZETA",1288451,592,2,ATIVO,UNIDADE,1221.78,610.89
"233094A1 CRUZETA",1288452,591,2,ATIVO,UNIDADE,993.76,496.88
"76084400 ACOPLAMENTO",1288453,590,2,ATIVO,UNIDADE,4303.78,2151.89
"8603711 KIT VEDAÇÃO",1288454,589,1,ATIVO,UNIDADE,1427,1427
"8603631 PASTILHA FREIO",1288455,588,2,ATIVO,UNIDADE,2261.16,1130.58
"76082156 COXIM",1288456,587,2,ATIVO,UNIDADE,380.02,190.01
"87326910 ESTICADOR CORREIA",1288457,586,2,ATIVO,UNIDADE,1385.2,692.6
"J286278 BOMBA DAGUA",1288458,585,1,ATIVO,UNIDADE,570.04,570.04
"367870A1 MANGUEIRA",1288459,584,1,ATIVO,UNIDADE,405.68,405.68
"87426773 MOTOR DA HÉLICE",1288460,583,1,ATIVO,UNIDADE,1769.97,1769.97
"A170241 TAMPA RADIADOR",1288461,582,2,ATIVO,UNIDADE,70.3,35.15
"388283A1 SILENCIOSO",1288462,581,1,ATIVO,UNIDADE,2862.54,2862.54
"L126191 TERMOSTATO",1288463,580,1,ATIVO,UNIDADE,371.48,371.48
"75289704 BOMBA COMBUSTIVEL",1288464,579,1,ATIVO,UNIDADE,361.97,361.97
"75310644 MANGUEIRA",1288465,578,1,ATIVO,UNIDADE,248.92,248.92
"71102766 ABRAÇADEIRA",1288466,577,2,ATIVO,UNIDADE,182.42,91.21
"71102765 MANGOTE",1288467,576,1,ATIVO,UNIDADE,858.86,858.86
"A184939 VÁLVULA",1288468,575,1,ATIVO,UNIDADE,59.85,59.85
"75248755 PRÉ FILTRO",1288469,574,1,ATIVO,UNIDADE,1829.82,1829.82
"390876A2 CABO",1288470,573,2,ATIVO,UNIDADE,606.14,303.07
"86982450 CORREIA VENTIL SEM AR COND.",1288471,572,5,ATIVO,UNIDADE,422.8,84.56
"330014A1 FILTRO AR COND. (cabine)",1288472,571,5,ATIVO,UNIDADE,1026.05,205.21
"87519452 FILTRO TRANSMISSÃO",1288473,570,5,ATIVO,UNIDADE,1059.3,211.86
"87409662 FILTRO HIDRÁULICO",1288474,569,2,ATIVO,UNIDADE,636.54,318.27
"J935010 CORREIA",1288475,568,6,ATIVO,UNIDADE,923.46,153.91
"71100640 ANEL",1288476,567,3,ATIVO,UNIDADE,15.69,5.23
"J930906 JUNTA",1288477,566,3,ATIVO,UNIDADE,51.3,17.1
"148889A1 ANEL",1288478,593,2,ATIVO,UNIDADE,228.02,114.01
"87683000 FILTRO AR SECUNDÁRIO",1288479,565,10,ATIVO,UNIDADE,1387.1,138.71
"71102762 DISCO",1288480,594,2,ATIVO,UNIDADE,543.44,271.72
"148964A1 DISCO",1288481,596,2,ATIVO,UNIDADE,30.4,15.2
"419818A1 ARRUELA",1288482,623,2,ATIVO,UNIDADE,20.9,10.45
"8605835 PINO",1288483,622,2,ATIVO,UNIDADE,484.54,242.27
"87405609 ORBITROL",1288484,621,1,ATIVO,UNIDADE,6977.27,6977.27
"76083775 ARTICULAÇÃO",1288485,620,1,ATIVO,UNIDADE,730.6,730.6
"364193A1 BATENTE",1288486,619,2,ATIVO,UNIDADE,1265.48,632.74
"87356731 PLACA",1288487,618,1,ATIVO,UNIDADE,232.77,232.77
"76084380 RETENTOR",1288488,617,2,ATIVO,UNIDADE,224.22,112.11
"356199A1 ESPAÇADOR",1288489,616,1,ATIVO,UNIDADE,535.84,535.84
"356192A1 FLANGE",1288490,615,1,ATIVO,UNIDADE,534.89,534.89
"356200A1 ESPAÇADOR",1288491,614,1,ATIVO,UNIDADE,202.36,202.36
"391359A1 ROLAMENTO",1288492,613,1,ATIVO,UNIDADE,1280.69,1280.69
"87462764 PINO",1288493,612,1,ATIVO,UNIDADE,628.94,628.94
"75243579 PRESSOSTATO FREIO",1288494,611,1,ATIVO,UNIDADE,842.71,842.71
"87453558 SOLENOIDE",1288495,610,1,ATIVO,UNIDADE,1168.58,1168.58
"75266621 BOMBA",1288496,609,1,ATIVO,UNIDADE,494.98,494.98
"87449648 MANGUEIRA",1288497,608,1,ATIVO,UNIDADE,274.57,274.57
"87449646 MANGUEIRA",1288498,607,1,ATIVO,UNIDADE,323.97,323.97
"75239803 CONEXÃO",1288499,606,2,ATIVO,UNIDADE,89.3,44.65
"12453187 C0NECTOR",1288500,605,2,ATIVO,UNIDADE,12.36,6.18
"12452181 GUARNIÇÃO",1288501,604,2,ATIVO,UNIDADE,0.66,0.33
"12451944 TERMINAL",1288502,603,2,ATIVO,UNIDADE,0.96,0.48
"87457220 SENSOR",1288503,602,1,ATIVO,UNIDADE,840.81,840.81
"70094334 INTERRUPTOR",1288504,601,2,ATIVO,UNIDADE,239.42,119.71
"84215062 KIT SENSOR",1288505,600,1,ATIVO,UNIDADE,1282.59,1282.59
"75243579 SENSOR",1288506,599,1,ATIVO,UNIDADE,842.71,842.71
"148965A1 ANEL",1288507,598,6,ATIVO,UNIDADE,62.7,10.45
"238-6018 ANEL",1288508,597,5,ATIVO,UNIDADE,35.65,7.13
"148963A1 DISCO",1288509,595,2,ATIVO,UNIDADE,209.02,104.51
"365837A2 MANGUEIRA",1288510,624,1,ATIVO,UNIDADE,238.47,238.47
"87682990 FILTRO AR PRIMÁRIO",1288511,564,10,ATIVO,UNIDADE,2308.7,230.87
"86990957 FILTRO COMBUSTÍVEL SECUND",1288512,562,20,ATIVO,UNIDADE,1919.2,95.96
"84993233 FILTRO SEPARADOR ÁGUA",1288541,563,20,ATIVO,UNIDADE,1235,61.75
"87400496 FILTRO COMBUSTÍVEL PRIMÁRIO",1288544,561,20,ATIVO,UNIDADE,1349,67.45
"76194572 FILTRO LUBRIFICANTE MOTOR",1288545,560,20,ATIVO,UNIDADE,1995.2,99.76
"496-81025 ARRUELA",1288573,625,3,ATIVO,UNIDADE,39.9,13.3
"380583A2 PINO",1288574,627,2,ATIVO,UNIDADE,117.8,58.9
"A187954 INTERRUPTOR",1288575,716,1,ATIVO,UNIDADE,270.77,270.77
"92100C2 INTERRUPTOR",1288576,715,1,ATIVO,UNIDADE,177.66,177.66
"250739A1 INTERRUPTOR",1288577,714,1,ATIVO,UNIDADE,746.75,746.75
"1994716C1 INTERRUPTOR",1288578,713,1,ATIVO,UNIDADE,530.14,530.14
"374429A2 INTERRUPTOR",1288579,712,1,ATIVO,UNIDADE,1650.26,1650.26
"374431A2 INTERRUPTOR",1288580,711,1,ATIVO,UNIDADE,590.94,590.94
"87459001 INTERRUPTOR",1288581,710,1,ATIVO,UNIDADE,128.26,128.26
"374422A2 INTERRUPTOR",1288582,709,1,ATIVO,UNIDADE,524.44,524.44
"382375A2 INTERRUPTOR",1288583,708,1,ATIVO,UNIDADE,305.92,305.92
"381101A1 REPARO CAÇAMBA",1288584,707,4,ATIVO,UNIDADE,558.64,139.66
"87434293 KIT JUNTAS REPARO",1288585,706,2,ATIVO,UNIDADE,457.94,228.97
"360982A1 KIT REPARO",1288586,705,4,ATIVO,UNIDADE,1596.12,399.03
"8604801 CONJUNTO ANEIS",1288587,704,1,ATIVO,UNIDADE,677.4,677.4
"1546497C1 INTERRUPTOR",1288588,703,2,ATIVO,UNIDADE,2158.54,1079.27
"8604542 SOLENOIDE",1288589,702,1,ATIVO,UNIDADE,1546.7,1546.7
"410565A1 COIFA",1288590,701,1,ATIVO,UNIDADE,2015.09,2015.09
"8604535 SOLENOIDE",1288591,700,1,ATIVO,UNIDADE,1092.57,1092.57
"371232A2 LÂMINA",1288592,699,2,ATIVO,UNIDADE,4233.48,2116.74
"425-1612 PORCA",1288593,698,7,ATIVO,UNIDADE,59.85,8.55
"48946 PARAFUSO",1288594,697,7,ATIVO,UNIDADE,152.95,21.85
"391498A1 PORTA DENTE",1288595,696,7,ATIVO,UNIDADE,1256.92,179.56
"391497A1 DENTE",1288596,695,7,ATIVO,UNIDADE,1236.97,176.71
"219-1 GRAXEIRA",1288597,694,7,ATIVO,UNIDADE,16.66,2.38
"87437353 PINO",1288598,693,1,ATIVO,UNIDADE,665.99,665.99
"379770A2 PINO",1288599,692,1,ATIVO,UNIDADE,731.55,731.55
"375516A1 ARRUELA",1288600,691,3,ATIVO,UNIDADE,179.55,59.85
"365356A1 ARRUELA",1288601,690,2,ATIVO,UNIDADE,39.9,19.95
"1954651C2 INTERRUPTOR",1288602,717,1,ATIVO,UNIDADE,407.58,407.58
"86993025 PINO",1288603,689,1,ATIVO,UNIDADE,473.13,473.13
"87459613 CABO ELÉTRICO",1288604,718,1,ATIVO,UNIDADE,4113.78,4113.78
"A149801 FUZIVEL",1288605,720,6,ATIVO,UNIDADE,11.4,1.9
"NH140 ÓLEO EIXO",1288606,747,2,ATIVO,UNIDADE,642.24,321.12
"NH20W40 ÓLEO TRANSMISSÃO",1288607,746,2,ATIVO,UNIDADE,862.66,431.33
"NHMASTERTRAN ÓLEO HIDRÁULICO",1288608,745,2,ATIVO,UNIDADE,856.96,428.48
"NHAGRIFLU ADITIVO RADIADOR",1288609,744,10,ATIVO,UNIDADE,380,38
"NH330HL ÓLEO MOTOR",1288610,743,10,ATIVO,UNIDADE,2090.1,209.01
"A187574 PALHETA",1288611,742,1,ATIVO,UNIDADE,315.42,315.42
"1977833C1 TAMPÃO",1288612,741,1,ATIVO,UNIDADE,45.6,45.6
"1283403C1 ESPELHO",1288613,740,1,ATIVO,UNIDADE,299.27,299.27
"198052C1 VIDRO",1288614,739,1,ATIVO,UNIDADE,1003.27,1003.27
"198053A1 VIDRO",1288615,738,1,ATIVO,UNIDADE,1018.47,1018.47
"367889A1 VIDRO",1288616,737,1,ATIVO,UNIDADE,1145.78,1145.78
"235905A1 PARABRISA",1288617,736,1,ATIVO,UNIDADE,726.8,726.8
"73163879 LANTERNA ESQUERDA",1288618,735,1,ATIVO,UNIDADE,657.44,657.44
"73163878 LANTERNA DIREITA",1288619,734,1,ATIVO,UNIDADE,657.44,657.44
"283779A1 CONJ TOMADA EXTERNA",1288620,733,1,ATIVO,UNIDADE,123.51,123.51
"87446989 CHICOTE",1288621,732,1,ATIVO,UNIDADE,376.23,376.23
"D121972 ALARME RÉ",1288622,731,1,ATIVO,UNIDADE,418.98,418.98
"75249995 FAROL",1288623,730,2,ATIVO,UNIDADE,1444.1,722.05
"75249994 FAROL",1288624,729,2,ATIVO,UNIDADE,1444.1,722.05
"1983238C1 SENSOR",1288625,728,2,ATIVO,UNIDADE,590.94,295.47
"279492A1 INTERRUPTOR",1288626,727,2,ATIVO,UNIDADE,245.12,122.56
"75236112 SENSOR",1288627,726,2,ATIVO,UNIDADE,564.34,282.17
"321446A1 SENSOR",1288628,725,1,ATIVO,UNIDADE,101.66,101.66
"75236111 SENSOR",1288629,724,2,ATIVO,UNIDADE,199.52,99.76
"75261702 SENSOR",1288630,723,2,ATIVO,UNIDADE,1050.78,525.39
"A149798 FUZIVEL",1288631,722,7,ATIVO,UNIDADE,3.36,0.48
"A149799 FUZIVEL",1288632,721,5,ATIVO,UNIDADE,4.75,0.95
"A149800 FUZIVEL",1288633,719,5,ATIVO,UNIDADE,21.4,4.28
"627-16035 PARAFUSO",1288634,626,3,ATIVO,UNIDADE,27.09,9.03
"379091A2 BUCHA",1288635,688,3,ATIVO,UNIDADE,359.13,119.71
"D95148	ANEL",1288636,686,2,ATIVO,UNIDADE,43.7,21.85
"896-11012 ARRUELA",1288637,654,10,ATIVO,UNIDADE,19,1.9
"827-12060 PARAFUSO",1288638,653,2,ATIVO,UNIDADE,98.8,49.4
"8602889 BATENTE",1288639,652,2,ATIVO,UNIDADE,311.62,155.81
"71102781 BUCHA",1288640,651,1,ATIVO,UNIDADE,150.11,150.11
"87356731 PLACA FLANGE DE AÇO DO PINO",1288641,650,1,ATIVO,UNIDADE,196.66,196.66
"76084380 RETENTOR DE AÇO E BORRACHA",1288642,649,1,ATIVO,UNIDADE,268.87,268.87
"356192A1 FLANGE DA ARTICUL.",1288643,648,1,ATIVO,UNIDADE,534.89,534.89
"356191A1 CALÇO DE AÇO 0.10 MM",1288644,647,1,ATIVO,UNIDADE,24.7,24.7
"391359A1 ROLAMENTO INF. ART. CHASSI",1288645,646,1,ATIVO,UNIDADE,926.31,926.31
"356200A1 ESPAÇADOR DE AÇO",1288646,645,1,ATIVO,UNIDADE,202.36,202.36
"356187A1 RETENTOR DE BORRACHA",1288647,644,1,ATIVO,UNIDADE,63.65,63.65
"356201A1 PINO DE AÇO PIVO CHASSI",1288648,643,1,ATIVO,UNIDADE,712.55,712.55
"76082981 ANEL DE VEDAÇÃO",1288649,642,1,ATIVO,UNIDADE,33.25,33.25
"391276A1 ROLAMENTO ARTICUL. CHASSI",1288650,641,1,ATIVO,UNIDADE,562.44,562.44
"391280A1 PLACA RETENÇÃO SUP. AÇO",1288651,640,1,ATIVO,UNIDADE,276.47,276.47
"391281A1 ANEL DE VEDAÇÃO BORRACHA",1288652,639,1,ATIVO,UNIDADE,61.75,61.75
"87401084 CJ. PINO",1288653,638,1,ATIVO,UNIDADE,1160.98,1160.98
"349518A1 ANEL",1288654,637,2,ATIVO,UNIDADE,83.6,41.8
"G104439 ANEL",1288655,636,2,ATIVO,UNIDADE,39.9,19.95
"349519A1 ANEL",1288656,635,2,ATIVO,UNIDADE,461.74,230.87
"D95142	RETENTOR",1288657,634,2,ATIVO,UNIDADE,38,19
"1542874C1 REPARO",1288658,633,2,ATIVO,UNIDADE,85.5,42.75
"G32129	ANEL",1288659,632,2,ATIVO,UNIDADE,11.4,5.7
"238-5230 ANEL",1288660,631,2,ATIVO,UNIDADE,13.3,6.65
"141005A1 BUCHA",1288661,630,2,ATIVO,UNIDADE,146.3,73.15
"832-10410 PORCA",1288662,629,20,ATIVO,UNIDADE,19,0.95
"419819A1 ARRUELA",1288663,628,3,ATIVO,UNIDADE,45.6,15.2
"429045A1 MANGUEIRA",1288664,655,1,ATIVO,UNIDADE,250.82,250.82
"379191A2 BUCHA",1288665,687,2,ATIVO,UNIDADE,182.42,91.21
"372359A1 MANGUEIRA",1288666,656,1,ATIVO,UNIDADE,819.91,819.91
"700-166 CONEXÃO",1288667,658,1,ATIVO,UNIDADE,79.81,79.81
"D95147	ANEL",1288668,685,2,ATIVO,UNIDADE,57,28.5
"84-11010 ARRUELA",1288669,684,10,ATIVO,UNIDADE,19,1.9
"368836A2 PINO",1288670,683,2,ATIVO,UNIDADE,1546.7,773.35
"38-33264 PINO",1288671,682,2,ATIVO,UNIDADE,323.02,161.51
"368775A1 PINO",1288672,681,2,ATIVO,UNIDADE,818.96,409.48
"368776A1 PINO",1288673,680,2,ATIVO,UNIDADE,516.84,258.42
"379197A2 PINO",1288674,679,2,ATIVO,UNIDADE,1297.78,648.89
"379070A2 PINO",1288675,678,2,ATIVO,UNIDADE,1396.6,698.3
"375517A1 ARRUELA",1288676,677,2,ATIVO,UNIDADE,89.3,44.65
"356626A2 BUCHA",1288677,676,2,ATIVO,UNIDADE,271.72,135.86
"358624A2 BUCHA",1288678,675,2,ATIVO,UNIDADE,201.42,100.71
"87613430 BUCHA",1288679,674,2,ATIVO,UNIDADE,874.06,437.03
"S92653	ANEL",1288680,673,10,ATIVO,UNIDADE,1073.6,107.36
"D95146	ANEL",1288681,672,5,ATIVO,UNIDADE,161.5,32.3
"496-81025 ARRUELA",1288682,671,5,ATIVO,UNIDADE,66.5,13.3
"L125100 ESPAÇADOR",1288683,670,5,ATIVO,UNIDADE,71.25,14.25
"86993027 PINO",1288684,669,2,ATIVO,UNIDADE,980.46,490.23
"86993026 PINO",1288685,668,1,ATIVO,UNIDADE,418.03,418.03
"86993024 PINO",1288686,667,1,ATIVO,UNIDADE,711.6,711.6
"86993023 PINO",1288687,666,1,ATIVO,UNIDADE,475.98,475.98
"86993022 PINO",1288688,665,1,ATIVO,UNIDADE,794.25,794.25
