descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"SOBRECOXA DESOSSADA entrega nas escolas municipais e entidad",1291620,140,22500,ATIVO,kg,213525,9.49
"SOBRECOXA DESOSSADA entrega nas escolas municipais e entidad",1291621,139,7500,ATIVO,kg,71175,9.49
"ALHO entrega nas escolas da rede municipal de Criciúma/SC",1291655,184,1200,ATIVO,kg,32268,26.89
"POLPA DE FRUTA NATURAL CONGELADA SEM ADIÇÃO DE ÁGUA OU AÇUCA",1291658,198,15000,ATIVO,kg,217500,14.5
"POLPA DE FRUTA NATURAL CONGELADA SEM ADIÇÃO DE ÁGUA OU AÇUCA",1291659,197,5000,ATIVO,kg,72500,14.5
"TOMATE entrega nas escolas da rede municipal de Criciúma/SC",1291660,196,15000,ATIVO,kg,72000,4.8
"TOMATE entrega nas escolas da rede municipal de Criciúma/SC",1291661,195,5000,ATIVO,kg,24000,4.8
"TOMATE entrega no Centro de Processamento de Merenda Escolar",1291662,194,6000,ATIVO,kg,28800,4.8
MANGA.,1291663,193,6000,ATIVO,kg,23400,3.9
"MAÇÃ FUJI entrega nas escolas da rede municipal de Criciúma/",1291664,192,30000,ATIVO,kg,144000,4.8
"MAÇÃ FUJI entrega nas escolas da rede municipal de Criciúma/",1291665,191,10000,ATIVO,kg,48000,4.8
"LIMÃO TAITI entrega no Centro de Processamento de Merenda Es",1291666,190,500,ATIVO,kg,2950,5.9
"LIMÃO TAITI entrega nas escolas da rede municipal de Criciúm",1291667,189,4000,ATIVO,kg,23600,5.9
"LARANJA POKAN",1291668,188,10000,ATIVO,kg,39900,3.99
"LARANJA PERA",1291669,187,22000,ATIVO,kg,47300,2.15
"CEBOLA DE CABEÇA entrega nas escolas da rede municipal de Cr",1291670,186,11000,ATIVO,kg,24090,2.19
"CEBOLA DE CABEÇA entrega no Centro de Processamento de Meren",1291671,185,4000,ATIVO,kg,8760,2.19
"ALHO entrega no Centro de Processamento de Merenda Escolar d",1291672,183,800,ATIVO,kg,21032,26.29
