descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Sabão de côco",1291796,76,10,ATIVO,PACOTE,54.5,5.45
"PASTILHA ADESIVA PARA SANITÁRIO",1291797,63,100,ATIVO,CAIXA,344,3.44
"PRATO DESCARTÁVEL 15 cm",1291798,64,50,ATIVO,PACOTE,37,0.74
"PRATO DESCARTÁVEL 23 cm",1291799,65,50,ATIVO,PACOTE,75,1.5
"PROTETOR SOLAR bisnaga 120g/120ml",1291801,68,100,ATIVO,UNIDADE,3150,31.5
QUEROSENE,1291802,70,10,ATIVO,CAIXA,1415,141.5
"REFIL MOP UMIDO",1291803,71,20,ATIVO,UNIDADE,220,11
"PASTA SAPONÁCEA",1291804,62,10,ATIVO,UNIDADE,301.2,30.12
"RODO PLÁSTICO 28 cm",1291805,73,10,ATIVO,UNIDADE,359,35.9
"RODO PLASTICO 40CM",1291806,74,25,ATIVO,UNIDADE,165,6.6
"Rodo plástico 60cm",1291807,75,25,ATIVO,UNIDADE,220,8.8
"Sabão em barra..",1291808,77,10,ATIVO,PACOTE,76.3,7.63
"SACO DE LIXO 100 LITROS",1291809,84,50,ATIVO,PACOTE,1885,37.7
"SACO DE LIXO 15 LITROS",1291812,81,50,ATIVO,PACOTE,290,5.8
"SACO DE LIXO 30 LITROS",1291813,82,50,ATIVO,PACOTE,520,10.4
"SACO DE LIXO 50 LITROS",1291814,83,50,ATIVO,PACOTE,610,12.2
"VASSOURA Tipo MOP SECO",1291821,91,10,ATIVO,UNIDADE,337,33.7
"SABÃO EM PÓ:",1291823,78,20,ATIVO,PACOTE,69.8,3.49
"Papel toalha de copa com folha dupla",1291824,60,200,ATIVO,PACOTE,610,3.05
"Escova para vaso sanitário",1291825,30,20,ATIVO,UNIDADE,128,6.4
"PANO DE CHAO",1291826,58,300,ATIVO,UNIDADE,996,3.32
"ESCOVA DE NYLON OVAL",1291827,29,20,ATIVO,UNIDADE,47,2.35
"VASSOURA DE NYLON",1291828,92,50,ATIVO,UNIDADE,247.5,4.95
"ESCOVA PARA LAVAR GARRAFA TÉRMICA",1291829,31,20,ATIVO,UNIDADE,153,7.65
"ESPONJA DE ACO",1291830,32,15,ATIVO,PACOTE,17.25,1.15
"ESPONJA DE LIMPEZA DUPLA FACE",1291831,33,50,ATIVO,PACOTE,245,4.9
"Esponja para lavação de veículos",1291832,34,50,ATIVO,UNIDADE,168,3.36
"FLANELA PARA LIMPEZA cor abóbora",1291835,37,25,ATIVO,PACOTE,597.5,23.9
"FLANELA PARA LIMPEZA cor branca",1291836,38,25,ATIVO,PACOTE,597.5,23.9
"Garrafa Térmica  1L",1291839,41,5,ATIVO,UNIDADE,189,37.8
"GUARDANAPO DE MESA EM PAPEL",1291841,43,15,ATIVO,CAIXA,370.5,24.7
"Limpador e desinfetante DE 1 LITRO.",1291842,44,50,ATIVO,UNIDADE,905,18.1
"LIXEIRA PLÁSTICA 9 Litros",1291844,46,10,ATIVO,UNIDADE,69,6.9
"LIXEIRA PLÁSTICA 10L",1291845,47,20,ATIVO,UNIDADE,218,10.9
"LIXEIRA PLÁSTICA 23L",1291846,48,10,ATIVO,UNIDADE,267.5,26.75
"LIXEIRA PLÁSTICA 100L",1291847,49,20,ATIVO,UNIDADE,918,45.9
"LIXEIRA PARA COPO DESCARTÁVEL COM 2 TUBOS",1291848,50,20,ATIVO,UNIDADE,630,31.5
"LUVA DESCARTAVEL",1291850,52,10,ATIVO,CAIXA,168.5,16.85
"LUVAS DE BORRACHA",1291851,53,40,ATIVO,PAR,85.2,2.13
"PALITO DE DENTE",1291855,57,10,ATIVO,CAIXA,58,5.8
"Papel Higiênico 30m",1291856,59,25,ATIVO,FARDO,1511.75,60.47
"VASSOURA DE PALHA",1291857,93,20,ATIVO,UNIDADE,210,10.5
"Escova de nylon c/ cabo em L",1291858,28,20,ATIVO,UNIDADE,159.6,7.98
"Conjunto Balde/Espremedor;",1291859,11,3,ATIVO,UNIDADE,892.5,297.5
"Copo Plástico 80 ml",1291860,12,10,ATIVO,CAIXA,581.5,58.15
"Copo Plástico 200 ml",1291861,13,50,ATIVO,CAIXA,2940,58.8
"COLHER PLÁSTICO DESCARTÁVEL PARA CAFEZINHO",1291862,10,10,ATIVO,PACOTE,30,3
"Desincrustante DE 1 LITRO;",1291863,14,30,ATIVO,UNIDADE,858,28.6
"Detergente Desengraxante DE  5Lt",1291864,19,10,ATIVO,GALAO,1170,117
"DESODORIZADOR DE AR.",1291867,18,10,ATIVO,CAIXA,788.2,78.82
"Diluidor para líquidos concentrados",1291870,22,2,ATIVO,UNIDADE,366,183
"DISPENSER EM AÇO INOX PARA COPO 200 ML",1291872,24,5,ATIVO,UNIDADE,179.5,35.9
"Dispenser para papel Toalha.",1291874,25,10,ATIVO,UNIDADE,319,31.9
"DESINFETANTE LIMPADOR 5Lt",1291875,15,10,ATIVO,GALAO,1435,143.5
"CABO DE ALUMÍNIO",1291876,8,10,ATIVO,UNIDADE,105,10.5
"Dispenser para sabonete líquido",1291877,27,10,ATIVO,UNIDADE,265,26.5
"BALDE 08 litros",1291878,6,20,ATIVO,UNIDADE,98,4.9
"ÁLCOOL ETÍLICO.",1291879,5,20,ATIVO,CAIXA,1392,69.6
"ÁLCOOL EM GEL caixa c/ 12 unidades",1291881,3,50,ATIVO,CAIXA,3271,65.42
"DISPENSER PARA SABONETE LÍQUIDO OU ALCOOL EM GEL",1291884,26,10,ATIVO,UNIDADE,265,26.5
"BALDE 20 litros",1291885,7,20,ATIVO,UNIDADE,410,20.5
