descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"PÃO DE QUEIJO ASSADO",1284075,13,30,ATIVO,CENTO,1183.2,39.44
"SALGADO ASSADO TIPO CROISANT",1284076,14,15,ATIVO,CENTO,784.8,52.32
"SALGADO ASSADO TIPO KIBE",1284077,12,5,ATIVO,CENTO,233.45,46.69
"SALGADO ASSADO TIPO ESFIHA DE FRANGO",1284078,11,10,ATIVO,CENTO,466.9,46.69
"SALGADO ASSADO TIPO ESFIHA DE CARNE",1284079,10,10,ATIVO,CENTO,401.7,40.17
"SALGADO ASSADO TIPO ESFIHA DE CALABRESA",1284080,9,5,ATIVO,CENTO,200.85,40.17
"SALGADO FRITO TIPO ENRROLADINHO DE SALSICHA",1284081,8,20,ATIVO,CENTO,803.4,40.17
"SALGADO FRITO TIPO PASTEL DE QUEIJO",1284082,7,50,ATIVO,CENTO,2008.5,40.17
"SALGADO FRITO TIPO PASTEL DE CARNE",1284083,6,70,ATIVO,CENTO,2811.9,40.17
"SALGADO FRITO TIPO COXINHA DE FRANGO",1284084,5,40,ATIVO,CENTO,1606.8,40.17
"SALGADO FRITO TIPO QUIBE",1284085,4,20,ATIVO,CENTO,803.4,40.17
"SALGADO FRITO TIPO BOLINHA DE QUEIJO",1284086,3,40,ATIVO,CENTO,1606.8,40.17
"SALGADO FRITO TIPO RISOLES DE CARNE",1284087,2,40,ATIVO,CENTO,1606.8,40.17
"SALGADO FRITO TIPO RISOLES DE PRESUNO E QUEIJO",1284088,1,50,ATIVO,CENTO,2008.5,40.17
"SALGADO ASSADO TIPO EMPADA DE PALMITO",1284089,15,10,ATIVO,CENTO,401.7,40.17
"café com leite LITRO",1284090,39,400,ATIVO,UNIDADE,1544,3.86
"refrigerente light/diet sabor cola/pet 02 litros",1284091,44,30,ATIVO,UNIDADE,119.7,3.99
"refrigerente light/diet sabor guaraná/pet 02 litros",1284092,43,30,ATIVO,UNIDADE,119.7,3.99
"Refrigerante regular sabor guaraná/ pet 02 litros",1284093,42,100,ATIVO,UNIDADE,393,3.93
"Refrigerante regular sabor limão/ pet 02 litros",1284094,41,100,ATIVO,UNIDADE,393,3.93
"Refrigerante regular sabor cola/ pet 02 litros",1284095,40,100,ATIVO,UNIDADE,393,3.93
"café preto LITRO",1284096,38,250,ATIVO,UNIDADE,602.5,2.41
"suco natural sabor laranja LITRO",1284097,37,2000,ATIVO,UNIDADE,8220,4.11
"COLHER DESCARTÁVEL",1284098,36,100,ATIVO,PACOTE,222,2.22
"GARFO DESCARTÁVEL",1284099,35,200,ATIVO,PACOTE,500,2.5
Guardanapo.,1284100,34,200,ATIVO,PACOTE,306,1.53
"COPO DESCARTÁVEL.",1284101,32,220,ATIVO,UNIDADE,708.4,3.22
"DOCE CAJUZINHO",1284102,31,12,ATIVO,CENTO,627.84,52.32
"DOCE BRIGADEIRO",1284103,30,12,ATIVO,CENTO,627.84,52.32
"PRATO DESCARTÁVEL",1284104,33,300,ATIVO,UNIDADE,606,2.02
"BOLO BRIGADEIRO",1284105,28,20,ATIVO,kg,346.2,17.31
"SALGADO ASSADO TIPO EMPADA DE FRANGO",1284106,16,10,ATIVO,CENTO,418.6,41.86
"SALGADO ASSADO TIPO TROUXINHA DE FRANGO COM CATUPIRY",1284107,17,10,ATIVO,CENTO,418.6,41.86
"SALGADO ASSADO TIPO MINI TORTA DE LEGUMES",1284108,18,10,ATIVO,CENTO,523.2,52.32
"DOCE BEIJINHO DE CÔCO",1284109,29,12,ATIVO,CENTO,627.84,52.32
"SALGADO ASSADO FOLHEADO PALMITO",1284110,20,10,ATIVO,CENTO,401.7,40.17
"SALGADO ASSADO FOLHEADO DE BANANA COM CANELA",1284111,21,15,ATIVO,CENTO,784.8,52.32
"SALGADO ASSADO FOLHEADO DE FRANGO COM CATUPIRY",1284112,19,15,ATIVO,CENTO,602.55,40.17
"MINI LANCHES 0,50g EM MINI PÃO DE LEITE",1284113,23,1000,ATIVO,UNIDADE,1210,1.21
"LANCHE NATURAL, SANDUICHE DE PÃO DE FORMA",1284114,24,1000,ATIVO,UNIDADE,2380,2.38
"BOLO RECHEADO",1284115,25,25,ATIVO,kg,332.25,13.29
"BOLO SIMPLES",1284116,26,50,ATIVO,kg,584,11.68
"BOLO BRANCO",1284117,27,50,ATIVO,kg,664.5,13.29
"SALGADO ASSADO FOLHEADO DE PRESUNTO E QUEIJO",1284118,22,10,ATIVO,CENTO,401.7,40.17
