descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Fibra para enchimento 100% poliéster",0,200,PERDEU," ",4960,24.8
"Pistola cola quente - pequena",0,8,PERDEU," ",134.4,16.8
"Bastão para cola quente - pequeno",0,5,PERDEU," ",187.5,37.5
"Tecido Feltro Branco Liso",0,40,PERDEU," ",540,13.5
"Tecido Feltro Verde",0,40,PERDEU," ",540,13.5
"Tecido feltro vermelho",0,40,PERDEU," ",540,13.5
"Tecido feltro Amarelo",0,40,PERDEU," ",540,13.5
"Tecido Feltro Roxo",0,40,PERDEU," ",540,13.5
"Tecido feltro Rosa Pink",0,40,PERDEU," ",540,13.5
"Tecido Feltro Rosa claro",0,40,PERDEU," ",540,13.5
"Fita de cetim larga",0,20,PERDEU," ",156,7.8
"Fita de Cetim Extra fina",0,30,PERDEU," ",72.9,2.43
"TECIDO PARA PETCHWORK",0,100,PERDEU," ",1590,15.9
"Linha de Costura",0,3,PERDEU," ",442.5,147.5
"Agulha para costura a mão",0,40,PERDEU," ",199.6,4.99
"Pérola - 6mm",0,40,PERDEU," ",1780,44.5
"Meia pérola",0,40,PERDEU," ",1780,44.5
"Pérola- 3 mm",0,40,PERDEU," ",1780,44.5
"Papel Termocolante para patchwork",0,80,PERDEU," ",948,11.85
"Botões- 2 furos",0,30,PERDEU," ",429,14.3
"Cola Branca - líquida",0,30,PERDEU," ",658.5,21.95
"Linha Para bordados",0,50,PERDEU," ",247.5,4.95
"SACA DE TECIDO BRANCA",0,50,PERDEU," ",292.5,5.85
"Tecido Renda",0,20,PERDEU," ",690,34.5
"TOALHA DE LAVABO",0,80,PERDEU," ",240,3
"TOALHA DE ROSTO",0,80,PERDEU," ",479.2,5.99
"Renda Guipir Estilo grega",0,15,PERDEU," ",297,19.8
TESOURA,0,10,PERDEU," ",255,25.5
"PASSA FITA",0,30,PERDEU," ",48,1.6
"fita crepe 25 x 50",0,15,PERDEU," ",111,7.4
"Folha de Cartolina",0,200,PERDEU," ",78,0.39
"Folhas de Papel manteiga",0,200,PERDEU," ",210,1.05
"Carbono para tecido",0,10,PERDEU," ",229,22.9
"CANETA ESFEROGRÁFICA -  na cor preta",0,4,PERDEU," ",178.4,44.6
"Linha para croche - com 500 m",0,80,PERDEU," ",1112,13.9
"TECIDO  Oxford",0,80,PERDEU," ",1144,14.3
"Fita Sianinha",0,25,PERDEU," ",222.5,8.9
"BOLA  DE ISOPOR - 35mm",0,50,PERDEU," ",7.5,0.15
"BOLA DE ISOPOR - 50mm",0,50,PERDEU," ",14,0.28
"BOLA DE ISOPOR - 75 mm",0,50,PERDEU," ",24,0.48
