descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Água sanitária 1lt",4357523,425,VENCEU,UND,637.5,1.5
"Agua Sanitária 5 Litros",4357524,1800,VENCEU,UND,8370,4.65
"Álcool etílico em gel 70% (70 INPM) 500 gramas",4357525,2400,VENCEU,UND,11928,4.97
"Álcool etílico hidratado 96% (92,8º INPM) 1 litro",4357526,800,PERDEU,LT,4160,5.2
"Amaciante para tecidos 5 litros",4357527,50,VENCEU,GAL,300,6
"Balde Plástico Resistente.",4357528,100,PERDEU,UND,840,8.4
"Cabo de aluminio.",4357529,40,DESCLASSIFICADO,UND,1376,34.4
"Cera auto-brilho 750 mL",4357530,370,VENCEU,CX,15540,42
"Cera em pasta 13 quilos",4357531,50,VENCEU,UND,9000,180
"Conjunto Balde/Espremedor em polipropileno",4357532,8,DESCLASSIFICADO,UND,3280,410
"DESINCRUSTANTE 1 litro",4357533,160,INABILITADO,UND,4560,28.5
"Desinfetante de uso geral 500mL",4357534,900,VENCEU,UND,1080,1.2
"Desinfetante de uso geral 5 Litros",4357535,1300,VENCEU,GAL,7150,5.5
"DESINFETANTE CONCENTRADO 5 lItros",4357536,80,INABILITADO,UND,9600,120
"Desodorizador de ambientes 360 mL",4357537,320,PERDEU,UND,1952,6.1
"DETERGENTE DESENGRAXANTE 5 Litros",4357538,160,INABILITADO,UND,21886.4,136.79
"Detergente Líquido Neutro de uso geral 500 mL",4357539,2000,VENCEU,UND,2200,1.1
"Detergente Líquido de uso geral 5 litros.",4357540,2400,VENCEU,UND,16800,7
"Dispensador em plástico rígido duplo",4357541,8,PERDEU,UND,358.4,44.8
"Escova para higienização de mãos e unhas em plastico",4357542,100,PERDEU,UND,252,2.52
"Escova para limpeza em vaso sanitário, cabo longo.",4357543,100,DESCLASSIFICADO,UND,730,7.3
"Escovão para Limpeza de chão,base em plástico",4357544,50,PERDEU,UND,545,10.9
"Esfregão de Aço, estilo palha de aço.",4357545,2700,PERDEU,UND,1566,0.58
"Esponja de fibra sintética em poliuretano",4357546,160,PERDEU,UND,310.4,1.94
"Esponja de fibra sintética em poliuretano ,dupla face.",4357547,4200,PERDEU,UND,2814,0.67
"Esponja de lã de Aço",4357548,1600,DESCLASSIFICADO,PCT,2080,1.3
"Flanela para limpeza na cor laranja medindo aproximadamente",4357549,700,PERDEU,UND,700,1
"Alvejante a base de hipoclorito de sódio 5 litros",4357550,420,VENCEU,GAL,3360,8
"LIMPADOR BACTERICIDA CONCENTRADO",4357551,300,INABILITADO,UND,35904,119.68
"LIMPADOR E DESINFETANTE DE USO GERAL A BASE DE QUARTENARIO",4357552,480,INABILITADO,UND,11289.6,23.52
"Lixeira 15 litros com tampa e pedal em plastico resistente",4357553,10,DESCLASSIFICADO,UND,350,35
"Lixeira 50 litros com tampa e pedal em plastico resistente",4357554,8,PERDEU,UND,1352,169
"Lixeira 100 litros com tampa e pedal em plastico resistente",4357555,5,PERDEU,UND,950,190
"Lixeira 08 litros produzida em polietileno, vazada.",4357556,30,PERDEU,UND,249,8.3
"Lustra móveis 200mL a base de cera natural e sintética",4357557,20,PERDEU,UND,38,1.9
"Luva para Limpeza,de borracha de latéx 100%",4357558,370,INABILITADO,UND,1102.6,2.98
"Luva para Limpeza,de borracha de latéx 100% natural,resisten",4357559,500,DESCLASSIFICADO,UND,1490,2.98
"Luva para Limpeza,de borracha de latéx 100% :",4357560,270,DESCLASSIFICADO,UND,804.6,2.98
"Luva para Limpeza,de borracha de latéx 100% natural",4357561,100,PERDEU,UND,790,7.9
"Luva para Limpeza,de borracha",4357562,270,PERDEU,UND,2133,7.9
"Luva para Limpeza de borracha de latéx 100% natural,",4357563,320,PERDEU,PAR,2528,7.9
"Mopi úmido (refil) 70% algodão 30% poliester",4357564,530,DESCLASSIFICADO,UND,9487,17.9
"NEUTRALIZADOR DE ODORES 300 mL:",4357565,100,INABILITADO,UND,2238,22.38
"Pá coletora plástica com tampa e cabo de alumínio 75cm,",4357566,16,PERDEU,UND,576,36
"Pá de lixo plástica,com cabo em plástico rígido:",4357567,70,PERDEU,UND,238,3.4
"Pano de copa e cozinha,em algodão 0,43x0,70cm,100%",4357568,1000,PERDEU,UND,3400,3.4
"Rodo, base em alumínio , 55 cm,duas lâminas de borracha e ca",4357569,210,DESCLASSIFICADO,UND,10479,49.9
"Rodo, base em alumínio 30cm",4357570,80,DESCLASSIFICADO,UND,3192,39.9
"Sabão em barra, glicerinado",4357571,270,INABILITADO,UND,1512,5.6
"Sabão em pó com amaciante atomizado (granulado) 1kg:",4357572,2600,INABILITADO,UND,8736,3.36
"Sabonete líquido, perfumado galão contendo 5 litros",4357573,800,INABILITADO,UND,12000,15
"Saca de tecido 100 % alvejado, para limpeza, medindo aproxim",4357574,2600,PERDEU,UND,10374,3.99
"Saca de tecido crua:",4357575,1600,PERDEU,UND,3920,2.45
"Saco para coleta de resíduos sólidos infectantes100 Litros",4357576,40,PERDEU,PCT,2309.2,57.73
"Saco para coleta de resíduos sólidos infectantes30 Litros:",4357577,50,PERDEU,UND,875,17.5
"Saco para coleta de resíduos sólidos infectantes50 Litros:",4357578,100,PERDEU,UND,2904,29.04
"Saco plástico de lixo domestico de polietileno",4357579,500,PERDEU,UND,17695,35.39
"Saco plástico :",4357580,500,PERDEU,UND,5460,10.92
"Saco plástico de lixo",4357581,500,DESCLASSIFICADO,UND,6265,12.53
"Sapolio cremoso,",4357582,1000,VENCEU,UND,1700,1.7
"Tela Desodorizadora para Mictório fragâncias diversas:",4357583,50,DESCLASSIFICADO,UND,370,7.4
"Touca descartável:",4357584,100,PERDEU,UND,1230,12.3
"Vassoura com cerdas :",4357585,1000,DESCLASSIFICADO,UND,10800,10.8
"Vassoura de Palha:",4357586,1000,DESCLASSIFICADO,UND,19800,19.8
"Desinfetante Desengordurante",4357587,50,INABILITADO,UND,4926.5,98.53
