descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ESPELHO DOIS FUROS",0,20,PERDEU," ",89.6,4.48
"PINO RJ45 MACHO",0,25,PERDEU," ",37,1.48
"Canaleta 50x20x2000",0,10,PERDEU," ",189,18.9
"Bucha 6",0,100,PERDEU," ",10,0.1
"Parafuso p/bucha 6",0,100,PERDEU," ",12,0.12
"Path cord 2,5mt",0,10,PERDEU," ",119,11.9
"Path cord 1,5mt",0,15,PERDEU," ",150,10
"CABO LAN CAT5E",0,500,PERDEU," ",950,1.9
"ETIQUETA DE IDENTIFICAR REDE",0,70,PERDEU," ",26.6,0.38
"FIO ELETRICO FE (DROPP)",0,50,PERDEU," ",22.5,0.45
"Fio Elétrico Flexivel 2,5mm",0,400,PERDEU," ",740,1.85
"Abracadeira pacote com 100 unidades",0,20,PERDEU," ",780,39
"FITA ISOLANTE",0,5,PERDEU," ",32.5,6.5
"Tomada eletrica 2P+ T",0,35,PERDEU," ",413,11.8
"CAIXA SISTEMA 3X3",0,40,PERDEU," ",180,4.5
KEYSTONE,0,75,PERDEU," ",787.5,10.5
"SWITCH 24 PORTAS",0,1,PERDEU," ",480,480
"SWITCH 16 PORTAS",0,1,PERDEU," ",249,249
"SWITCH 8 PORTAS",0,2,PERDEU," ",310,155
"rack 7US",0,1,PERDEU," ",385,385
"APARELHO TELEFONICO",0,3,PERDEU," ",162,54
"CANALETA 20X10X2000",0,20,PERDEU," ",156,7.8
"MAO DE OBRA",0,240,PERDEU," ",15468,64.45
