descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACRILICO FOSCO EXTRAVINIL 18LTS",4366199,10,PERDEU,BLD,3050,305
"ACRILICO FOSCO EXTRAVINIL 3,6lt",4366200,14,PERDEU,GAL,1092,78
"ACRILICO SEMI BRILHO EXTRAVINIL 18lts",4366201,10,PERDEU,BLD,3520,352
"ACRILICO SEMI BRILHO EXTRAVINIL 3,6lts",4366202,14,PERDEU,GAL,1204,86
"ADESIVO PARA TUBOS PVC RIGIDO 175G C/ PINCEL",4366203,20,PERDEU,UND,195,9.75
"ALVENARIT 18lt",4366204,10,PERDEU,BLD,740,74
"ANTENA TV EXTERNA VHF/UHF/HDTV DTV 3000",4366205,2,PERDEU,UND,176,88
"ANTENA TV INTERNA PARABOLICA UHF/VHF/FM TV-500",4366206,1,PERDEU,UND,27,27
"AQUECEDOR DE AGUA 6400w 220v versatil",4366207,1,PERDEU,UND,134,134
"Araldite Hobby 10 minutos 16 Gr",4366208,10,PERDEU,UND,180,18
"ARALDITE HOBBY 10 MINUTOS 23gr",4366209,5,PERDEU,UND,130,26
"ARALDITE PROFISSIONAL 90 MINUTOS 23gr",4366210,5,NAO_COTOU,UND,0,0
"ARALDITE TRASPARENTE 02 MINUTOS 16 Gr",4366211,15,NAO_COTOU,UND,0,0
"ARAME FARPADO 100mt",4366212,2,PERDEU,UND,82,41
"ARAME FARPADO 250mts motto",4366213,2,PERDEU,RL,230,115
"ARAME FARPADO 500MTS MOTTO",4366214,5,PERDEU,RL,1070,214
"ARAME GALVANIZADO Nº12 ROLO 1KG",4366215,5,PERDEU,KG,40,8
"ARAME GALVANIZADO Nº14 ROLO 1KG",4366216,5,PERDEU,KG,40,8
"ARAME GALVANIZADO Nº16 ROLO 1KG",4366217,5,PERDEU,KG,40,8
"ARAME GALVANIZADO Nº18 ROLO 1KG",4366218,5,PERDEU,KG,50,10
"ARAME GALVANIZADO Nº20 ROLO 1KG",4366219,5,PERDEU,KG,57.5,11.5
"ARAME RECOZIDO N. 18",4366220,5,PERDEU,KG,30,6
"ARCO DE SERRA 12 REGULAVEL SIMPLES 35 CM",4366221,4,PERDEU,UND,70,17.5
"ARCO DE SERRA 12 REGULAVEL SIMPLES 40 CM",4366222,1,PERDEU,UND,24,24
"ARCO DE SERRA 12 REGULAVEL SIMPLES 45 CM",4366223,1,PERDEU,UND,23.5,23.5
"Areia Lavada Fina",4366224,15,VENCEU,M3,450,30
"AREIA LAVADA GROSSA M3",4366225,15,VENCEU,M3,450,30
"areia média lavada",4366226,15,VENCEU,M3,450,30
"AREIA MASSA FINA",4366227,5,VENCEU,M3,150,30
