descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AMBROXOL 3MG/ML",4368062,1000,NAO_COTOU,FRA,0,0
"AMBROXOL 6MG/ML",4368063,1000,NAO_COTOU,FRA,0,0
"Aminofilina  	100 mg	Comprimido",4368064,80000,NAO_COTOU,COMP,0,0
"AMITRIPTILINA 25 MG",4368065,200000,NAO_COTOU,COMP,0,0
"BENZILPENICILINA (1.200.000 UI).",4368066,5000,NAO_COTOU,FRA,0,0
"BENZOATO DE BENZILA  25% 100 ML",4368067,500,NAO_COTOU,FRA,0,0
"Br. Escopolamina + Dipirona gts",4368068,3000,PERDEU,FR,18420,6.14
"Bromazepam	3mg	Comprimido",4368069,50000,NAO_COTOU,COMP,0,0
"Bromazepam	6mg	Comprimido",4368070,80000,NAO_COTOU,UND,0,0
"Carbamazepina  	20 mg/mL 	Suspensão Oral	Frasco 100 mL",4368071,2000,PERDEU,FRA,22200,11.1
"cefalexina caps",4368072,100000,DESCLASSIFICADO,CPLA,50000,0.5
"Clortalidona 25mg",4368073,32000,NAO_COTOU,COMP,0,0
"DIAZEPAM 10 MG",4368074,300000,PERDEU,COMP,14430,0.0481
"Finasterida 5mg",4368075,50000,VENCEU,COMP,13500,0.27
"Fluconazol	150 mg	Comprimido",4368076,50000,VENCEU,UND,9900,0.198
"FLUNITRAZEPAM 2MG CPR",4368077,600,NAO_COTOU,COMP,0,0
"METILDOPA 500 MG",4368078,60000,DESCLASSIFICADO,COMP,34800,0.58
"METOPROLOL, SUCCINATO 100MG",4368079,60000,NAO_COTOU,COMP,0,0
"METOPROLOL, SUCCINATO 25MG",4368080,10000,PERDEU,COMP,4000,0.4
"METOPROLOL, SUCCINATO 50MG",4368081,300000,PERDEU,COMP,240000,0.8
"Metronidazol SUSP. 40mg/mL",4368082,2000,NAO_COTOU,UND,0,0
"Neomicina +Bacitracina pom",4368083,5000,PERDEU,UND,5345,1.069
"Nistatina Creme Vaginal 60g Sem Aplicadores",4368084,5000,NAO_COTOU,UND,0,0
"Paracetamol 	500 mg	Comprimido",4368085,500000,PERDEU,UND,22000,0.044
"INSULINA ASPART 100UI/ML (NOVORAPID) REFIL 3ML",4368086,30,NAO_COTOU,FRA,0,0
"INSULINA GLARGINA 100UI/ML (LANTUS) CANETA DESC.3ML.",4368087,50,NAO_COTOU,FRA,0,0
"INSULINA GLARGINA 100UI/ML (LANTUS) CANETA DESC.3ML",4368088,100,NAO_COTOU,UND,0,0
"INSULINA GLARGINA 100UI/ML (LANTUS) REFIL 3ML",4368089,1000,NAO_COTOU,FRA,0,0
"INSULINA GLULISINA 100UI/ML (APIDRA) CANETA DESC. 3ML",4368090,50,NAO_COTOU,FRA,0,0
"INSULINA LISPRO 100UI/ML (HUMALOG) 10ML",4368091,50,NAO_COTOU,FRA,0,0
"INSULINA LISPRO 100UI/ML (HUMALOG) CANETA DESC. 3ML",4368092,50,NAO_COTOU,FRA,0,0
"INSULINA LISPRO 100UI/ML (HUMALOG) REFIL 3ML",4368093,60,NAO_COTOU,FRA,0,0
