descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Lâmina de Recorte Plotter (Roland 60° Vinis espessos)",4367791,20,VENCEU,UND,476,23.8
"Estilete Pequeno Metal",4367792,4,VENCEU,UND,43.8,10.95
"Estilete Grande Rosca Emborrachado",4367793,4,VENCEU,UND,95.2,23.8
"Lamina Estilete Pequeno",4367794,15,VENCEU,CX,9.3,0.62
"Lamina Estilete Grande",4367795,40,VENCEU,CX,27.2,0.68
"Feltro para aplicação de Vinis",4367796,8,VENCEU,UND,62.56,7.82
"Régua de alumínio de 1 metro",4367797,2,VENCEU,UND,63,31.5
"Trena (3m)",4367798,2,VENCEU,UND,14.7,7.35
"Vinil Preto Semi-Fosco ou Acetinado (automotivo) - Rolo com",4367799,10,VENCEU,UND,3485,348.5
"Vinil Branco Semi-Fosco ou Acetinado (automotivo) - Rolo com",4367800,8,VENCEU,UND,5060,632.5
"Vinil Transparente - Rolo com 1,22x45M",4367801,1,VENCEU,UND,340,340
"Vinil Jateado Transparente - Rolo com 1,22x45M",4367802,1,VENCEU,UND,357,357
"Mascara Médio Tak - Rolo 1,00x45M",4367803,2,VENCEU,UND,616,308
"Vinis Vermelho Vivo, Azul Rivera, Amarelo Ouro, Verde Abacat",4367804,9,VENCEU,UND,3915,435
"Refletivos Grau Engenharia Branco, Verde, Amarelo, Azul, Ver",4367805,6,VENCEU,UND,10680,1780
"Refletivos Grau Engenharia Branco, Verde, Amarelo, Azul, Ver",4367806,16,VENCEU,UND,28480,1780
