descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AGENDA EM ESPIRAL DE MESA DIÁRIA  208 PAG. CAPA SINTÉTICA 14",4363860,20,DESCLASSIFICADO,UND,980,49
"Almofada de carimbo (nº2)",4363861,5,PERDEU,UND,25,5
"APAGADOR  DE QUADRO  BRANCO",4363862,10,DESCLASSIFICADO,UND,45,4.5
"Apontador de plastico para lapis",4363863,20,DESCLASSIFICADO,UND,24,1.2
"Bandeja entrada/saída de documento (tripla-3 andares)",4363864,20,DESCLASSIFICADO,UND,1080,54
"BATERIA ALCALINA 9V",4363865,20,DESCLASSIFICADO,UND,190,9.5
"BATERIA RECARREGÁVEL 9V",4363866,20,DESCLASSIFICADO,UND,580,29
"Bloco adesivo post-it amarelo 38mm X 50mm",4363867,5,PERDEU,CX,200,40
"CAIXA PARA ARQUIVO MORTO - 250X130X35",4363868,100,DESCLASSIFICADO,UND,500,5
"CAIXA PARA ARQUIVO MORTO - 344X125X237.",4363869,200,DESCLASSIFICADO,UND,440,2.2
"caneta esferográfica na cor azul",4363870,10,DESCLASSIFICADO,CX,410,41
"caneta esferográfica na cor preta",4363871,10,DESCLASSIFICADO,CX,410,41
"caneta esferográfica na cor vermelha",4363872,5,DESCLASSIFICADO,CX,205,41
"CANETA MARCA TEXTO",4363873,80,DESCLASSIFICADO,UND,120,1.5
"CANETA MARCADORA PARA USO EM CD OU DVD, TINTA PERMANENTE, SE",4363874,20,PERDEU,UND,44,2.2
"CANETA MARCA TEXTO, MATERIAL PLÁSTICO, CORPO CHATO, LARGURA",4363875,300,DESCLASSIFICADO,UND,1050,3.5
"CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 3/0, MATERI",4363876,30,DESCLASSIFICADO,CX,78,2.6
"CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 2/0, MATERI",4363877,30,DESCLASSIFICADO,CX,78,2.6
"CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 8/0, MATERI",4363878,30,DESCLASSIFICADO,CX,78,2.6
