descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"PILHAS AAA RECARREGÁVEL estojo c/ 4 unid",1296880,73,50,ATIVO,PACOTE,750,15
"Pilhas AA recarregável 2.500MAH estojo c/4 unid",1296881,72,50,ATIVO,PACOTE,900,18
"pen drive 8 gb",1296885,68,10,ATIVO,UNIDADE,190,19
"pasta suspensa marmorizada",1296886,67,20,ATIVO,CAIXA,1080,54
"PASTA COM CANALETA A4 CRISTAL",1296888,65,50,ATIVO,UNIDADE,58,1.16
"Lamina de estilete largo Tubo c/10",1296899,53,3,ATIVO,UNIDADE,5.4,1.8
"FITA ADESIVA PEQUENA (CORES DIVERSAS)",1296907,39,25,ATIVO,ROLO,14.75,0.59
"FITA ZEBRADA PRETO E AMARELO P/ ISOLAMENTO 65mm X 160mt",1296913,45,50,ATIVO,ROLO,425,8.5
"BATERIA RECARREGÁVEL 9V",1296927,7,20,ATIVO,UNIDADE,320,16
"Bloco adesivo post-it amarelo 38mm X 50mm",1296928,8,5,ATIVO,CAIXA,94.5,18.9
"CAIXA PARA ARQUIVO MORTO - 250X130X35",1296929,9,100,ATIVO,UNIDADE,313,3.13
