descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"LUVA PARA CORTE DE ENERGIA, PARA ALTA TENSÃO",1297553,3,2,ATIVO,UNIDADE,900,450
"PINÇÃO PARA CAPTURA DE MAMÍFEROS",1299577,43,2,ATIVO,UNIDADE,1600,800
"TRIPÉ DE ILUMINAÇÃO COM HOLOFOTES",1299578,37,1,ATIVO,UNIDADE,3300,3300
"MACHADO ARROMBADOR PARA BOMBEIROS",1303732,31,3,ATIVO,UNIDADE,600,200
"ABAFADOR DE FOGO PARA INCÊNDIO FLORESTAL",1303733,33,30,ATIVO,UNIDADE,2700,90
"TESOURA CORTA FIO",1305718,23,3,ATIVO,UNIDADE,900,300
"LANTERNA PORTATIL COM LEDS, RECARREGAVEL",1307791,27,5,ATIVO,UNIDADE,10000,2000
"MANGUEIRA PARA COMBATE A INCÊNDIO DE 1 ½ POLEGADAS 38MM DE 1",1307792,4,30,ATIVO,UNIDADE,16200,540
"ESCADA TELESCÓPICA PORTÁTIL DE ALUMÍNIO",1307794,17,2,ATIVO,UNIDADE,900,450
"GANCHO CROCK FIXO",1307795,24,3,ATIVO,UNIDADE,1335,445
"MANGUEIRA PARA COMBATE A INCÊNDIO DE 2 ½ POLEGADAS 63MM DE 1",1316014,5,20,ATIVO,UNIDADE,15500,775
"CONE  REFLETIVO FLEXIVEL 75CM",1318022,1,25,ATIVO,UNIDADE,4000,160
"Líquido Gerador de Espuma",1318023,18,50,ATIVO,UNIDADE,20500,410
