descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
IMPRESSORA,1297536,18,5,ATIVO,UNIDADE,1780,356
"APARELHO TELEFÔNICO ANALÓGICO",1297538,3,10,ATIVO,UNIDADE,445,44.5
"PAD MOUSE COM APOIO",1297542,79,10,ATIVO,UNIDADE,210,21
"ACESS POINT",1299564,1,5,ATIVO,UNIDADE,891.5,178.3
"Placa Serial	PCI Express com 4 Saídas Seriais",1299565,72,3,ATIVO,UNIDADE,837,279
"HD	500 gb para notebook sata",1301634,53,5,ATIVO,UNIDADE,1285,257
"NO-BREAK 700VA",1305698,25,10,ATIVO,UNIDADE,5540,554
"HD EXTERNO - USB 3.0 - 1TB",1305700,16,5,ATIVO,UNIDADE,1612.5,322.5
"MONITOR MÍNIMO 19",1307773,23,10,ATIVO,UNIDADE,5240,524
SSD,1307779,54,5,ATIVO,UNIDADE,4747.5,949.5
"PLACA DE REDE SEM FIO",1309793,66,5,ATIVO,UNIDADE,272.5,54.5
"HD INTERNO - 2TB - 7.200 RPM",1311816,51,5,ATIVO,UNIDADE,1887.5,377.5
"APARELHO TELEFÔNICO HEADSET",1313866,5,3,ATIVO,UNIDADE,504,168
"CAIXA DE SOM",1316000,6,10,ATIVO,UNIDADE,375,37.5
"SWITCH 10/100 24 PORTAS",1318003,30,5,ATIVO,UNIDADE,995,199
