descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Bobina de papel graul cirúrgico 5cmx100 metros de compriment",4436819,600,DESCLASSIFICADO,BO,28200,47
"Bobina de papel graul cirúrgico 20cmx100 metros de comprimen",4436820,590,DESCLASSIFICADO,BO,78470,133
"ESCOVA DENTAL INFANTIL",4436901,50000,DESCLASSIFICADO,PCT,45000,0.9
"Escova dental adulto.",4436902,30000,DESCLASSIFICADO,PCT,30600,1.02
"ESCOVA DENTAL BITUFO PARA DENTADURA",4436904,300,DESCLASSIFICADO,UN,4272,14.24
"Escova dental massageadora",4436906,300,DESCLASSIFICADO,UN,2700,9
"Kit de higiene bucal adulto",4436979,7500,DESCLASSIFICADO,KIT,52500,7
"Kit de higiene bucal infantil",4436980,4000,DESCLASSIFICADO,KIT,27200,6.8
"Luva cirúrgica estéril, nº 7 ,0",4437016,800,DESCLASSIFICADO,CX,1440,1.8
"Luva cirúrgica estéril, nº 7,5",4437017,1000,DESCLASSIFICADO,CX,1800,1.8
"LUVA LÁTEX PARA PROCEDIMENTO DESCARTAVEL TALCADA-Tam (G)",4437018,1000,DESCLASSIFICADO,CX,21000,21
"LUVA LÁTEX PARA PROCEDIMENTO DESCARTAVEL TALCADA-Tam (M)",4437019,1000,DESCLASSIFICADO,CX,21000,21
"LUVA LÁTEX PARA PROCEDIMENTO DESCARTAVEL TALCADA-Tam (P)",4437020,1500,DESCLASSIFICADO,CX,31500,21
"LUVA LÁTEX PARA PROCEDIMENTO DESCARTAVEL TALCADA-Tam (PP)",4437021,1800,DESCLASSIFICADO,CX,37800,21
