descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Autoclave horizontal de mesa, elétrica, a vapor, com reserva",4435554,5,INABILITADO,UNI,20500,4100
"Balança antropométrica digital Adulto",4435555,5,DESCLASSIFICADO,UN,5750,1150
"Balança Antropométrica Eletrônica Adulto Obeso, LED",4435556,2,PERDEU,UN,2198,1099
"Balanca digital infantil",4435557,5,PERDEU,UNI,3230,646
"Suporte para Braçadeira",4435558,50,PERDEU,UNI,8000,160
"Lixeira cilíndrica 12 a 15 litros, com pedal, em polietileno, Deverá vir com a simbologia de “Infectante”.",4435559,93,PERDEU,UN,8184,88
"Biombo hospitalar triplo",4435560,7,PERDEU,UN,1953,279
"Cadeira Coleta de Sangue estofada com apoio para braço",4435561,3,DESCLASSIFICADO,UN,1164,388
"Cadeira de rodas adulto manual",4435562,10,DESCLASSIFICADO,UN,25000,2500
"Carro de curativos em aço inox",4435563,6,PERDEU,UNI,4134,689
"Aparelho Nebulizador portatil",4435564,20,PERDEU,UNI,3000,150
"Monitor multiparâmetro com 5 configurações básicas (ECG/ SPO",4435566,1,PERDEU,UN,12000,12000
"Detector de batimento cardíaco fetal  digital portátil",4435567,10,INABILITADO,UN,6650,665
ELETROCARDIOGRAFO,4435568,2,INABILITADO,UN,10980,5490
"Escadinha hospitalar com 02 degraus em aço inox",4435569,30,DESCLASSIFICADO,UNI,10050,335
"Esfigmomanômetro adulto aneróide completo",4435570,20,DESCLASSIFICADO,UN,10800,540
"Aparelho de Pressão Aneróide, braçadeira infantil em Nylon,",4435571,10,DESCLASSIFICADO,UN,6150,615
"Esfigmomanômetro obeso aneróide completo",4435572,9,DESCLASSIFICADO,UNI,6471,719
"Estetoscópio adulto duo sonic conjunto biauricular em aço in",4435573,20,DESCLASSIFICADO,UN,1400,70
"Estetoscópio pediátrico duo sonic conjunto biauricular em",4435574,10,PERDEU,UN,700,70
"Foco clínico (LED) ginecológico portátil, com espelho",4435575,15,DESCLASSIFICADO,UNI,7650,510
"Mesa ginecológica estofada, revestimento impermeável",4435576,30,INABILITADO,UNI,41400,1380
"Mesa para exame clínico com suporte para rolo papel",4435577,50,DESCLASSIFICADO,UNI,21500,430
"Mesa auxiliar de mayo em aço inox",4435578,10,INABILITADO,UN,4100,410
"Oftalmoscópio fibra ótica",4435579,5,INABILITADO,UN,3300,660
"Otoscópio fibra ótica, com 5 espéculos reutilizáveis (Esteri",4435580,20,PERDEU,CJ,12400,620
"Ressuscitador Pulmonar Manual Adulto (ambu)",4435581,50,VENCEU,UN,6450,129
"Ressuscitador  Pulmonar Manual Pediátrico (ambu)",4435582,5,VENCEU,UN,639.5,127.9
"Seladora térmica",4435583,2,INABILITADO,UN,1930,965
"Suporte de soro em aço inox, com rodízios, 4 ganchos em X (b",4435584,20,VENCEU,UNI,3000,150
"Negatoscopio de parede de 1 corpo",4435585,8,DESCLASSIFICADO,UN,1960,245
"Bolsa térmica de gel 500ml (grande) reutilizável",4435586,30,PERDEU,UN,419.7,13.99
"Ultrassom 1 e 3 MHz Portátil",4435588,15,DESCLASSIFICADO,UN,22500,1500
"TENS/FES Portátil",4435589,15,DESCLASSIFICADO,UN,11505,767
"Oxímetro de pulso clipe de dedo, portátil",4435590,6,PERDEU,UN,870,145
"Carro funcional para limpeza .",4435597,50,DESCLASSIFICADO,CJ,44950,899
