descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Aparelho para Tricotomia Descartável",4434785,5000,CANCELADO,UNI,2650,0.53
"Agulhas hipodérmicas 20mmX5,5mm.",4434786,150,PERDEU,CX,855,5.7
"Agulhas hipodérmicas 25 X 6",4434787,200,DESCLASSIFICADO,CX,1184,5.92
"Agulhas hipodérmicas 25 X 7",4434788,1000,PERDEU,CX,5500,5.5
"Agulhas hipodérmicas 25 X 8",4434789,100,PERDEU,CX,592,5.92
"Agulhas hipodérmicas 30 X 8:",4434790,200,CANCELADO,CX,1184,5.92
"Agulhas hipodérmicas 40 X 12",4434791,600,PERDEU,CX,3474,5.79
"Ataduras de Crepom 08 cm",4448581,20000,DESCLASSIFICADO,UNI,10400,0.52
"Ataduras de Crepom Tamanho: 10 cm",4448582,30000,DESCLASSIFICADO,PCT,19500,0.65
"Ataduras de Crepom Tamanho: 12 cm",4448583,30000,DESCLASSIFICADO,UNI,23400,0.78
"Ataduras de Crepom 15 cm de largura",4448584,36000,DESCLASSIFICADO,UNI,34920,0.97
"Ataduras de Crepom Tamanho: 20 cm",4448585,20000,DESCLASSIFICADO,UN,25800,1.29
"Ataduras de Crepom . Tamanho: 06 cm",4448586,10000,DESCLASSIFICADO,UNI,3900,0.39
"Bolsa Coletora de urina sistema fechado  2000mL",4448587,1200,CANCELADO,UNI,2712,2.26
"Clorexidina aquosa",4448588,1200,DESCLASSIFICADO,UND,2280,1.9
"Compressa de gaze Hidrófila 7,5 X 7,5 com 9 fios",4448589,1500,DESCLASSIFICADO,PCT,26790,17.86
"Compressa de Gaze Hidrófila Estéril 7,5 x 7,5 cm c/ 11 fios",4448590,250000,DESCLASSIFICADO,PCT,140000,0.56
"Eletrodo para Monitorização Cardíaca c/ Gel - Adulto",4448591,30000,DESCLASSIFICADO,UN,8100,0.27
"Eletrodo para Monitorização Cardíaca c/ Gel - Pediátrico.",4448592,8000,DESCLASSIFICADO,UNI,2160,0.27
"Equipo 2 vias , (POLIFIX).",4448593,7500,PERDEU,UNI,4800,0.64
"Estetoscópio  adulto",4448594,150,PERDEU,UNI,10363.5,69.09
"Fita Cirúrgica Microporosa Hipoalergênica largura 2,5cm x 4,",4448595,4000,PERDEU,UNI,6680,1.67
"Fita Cirúrgica Microporosa Hipoalergênica largura 5,0cm x 4,",4448596,7065,PERDEU,UNI,19499.4,2.76
"Luva Nitrilica não Estéril p/ Procedimento Tamanho G.",4448597,250,INABILITADO,CX,4017.5,16.07
"Luva Nitrilica não Estéril p/ Procedimento Tamanho M.",4448598,600,INABILITADO,CX,9642,16.07
"Luva Nitrilica não Estéril p/ Procedimento Tamanho P.",4448599,600,INABILITADO,CX,9642,16.07
"Lençol descartável com elástico (TNT).",4448600,300,DESCLASSIFICADO,PCT,2610,8.7
"Sonda aspiração traqueal nº 06 em PVC, descartável",4448601,8581,INABILITADO,UNI,4033.07,0.47
"Sonda aspiração traqueal nº 08 em PVC, descartável",4448602,10800,PERDEU,UNI,5184,0.48
"Sonda aspiração traqueal nº 10 em PVC, descartável.",4448603,2000,DESCLASSIFICADO,UNI,1000,0.5
"Sonda aspiração traqueal nº 12 em PVC, descartável.",4448604,4000,INABILITADO,UN,2040,0.51
"Sonda aspiração traqueal nº 14 em PVC, descartável",4448605,2000,INABILITADO,UNI,1040,0.52
"Sonda nasal para alimentação enteral nº 12.",4448606,300,CANCELADO,UN,2730,9.1
"Sonda uretral nº 06, descartável.",4448608,2000,DESCLASSIFICADO,UN,940,0.47
"Sonda uretral nº 08, descartável",4448609,18000,DESCLASSIFICADO,UNI,8640,0.48
"Sonda uretral nº 10 descartável",4448610,24000,PERDEU,UN,11520,0.48
"Sonda uretral nº 12 descartável.",4448611,60479,PERDEU,UN,28425.13,0.47
"Sonda uretral nº 14 descartável.",4448612,10000,PERDEU,UNI,4900,0.49
"Soro Fisiológico 250ml (solução de cloreto de sódio 0,9%).",4448613,20000,DESCLASSIFICADO,UNI,48200,2.41
"Soro Fisiológico 500ml (solução de cloreto de sódio 0,9%).",4448614,1000,DESCLASSIFICADO,UN,2740,2.74
"Soro Glicofisiológico 250ml;",4448615,300,DESCLASSIFICADO,UN,744,2.48
"Soro Glicofisiológico 500ml;",4448616,300,DESCLASSIFICADO,UN,963,3.21
"Soro Glicosado 250ml (solução de glicose a 5%).",4448617,300,DESCLASSIFICADO,UNI,744,2.48
"Soro Glicosado 500ml (solução de glicose a 5%).",4448618,300,DESCLASSIFICADO,UN,903,3.01
"Soro ringer lactato  500 ml",4448619,150,CANCELADO,UNI,432,2.88
"Termômetro clínico.",4448620,150,DESCLASSIFICADO,UNI,1560,10.4
