descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACEBROFILINA 25MG/5ML",4433182,4000,DESCLASSIFICADO,FRA,15960,3.99
"ACEBROFILINA 50MG/5ML",4433183,4500,DESCLASSIFICADO,FRA,24120,5.36
"ACETATO DE NORESTISTERONA + ESTRADIOL 0,5-1MG",4433185,3000,PERDEU,COMP,2520,0.84
"ACICLOVIR 200 MG",4433189,40000,VENCEU,CP,10400,0.26
"ACICLOVIR 50MG/GR CREME",4433190,3000,DESCLASSIFICADO,TB,10950,3.65
"ÁCIDO FÓLICO 5 MG",4433193,300000,PERDEU,COMP,12000,0.04
"ACIDO VALPRÓICO 250 MG CAPS",4433197,150000,DESCLASSIFICADO,CAPS,54000,0.36
"ACIDO VALPROICO 500MG",4433199,250000,DESCLASSIFICADO,COMP,165000,0.66
"ADRENALINA 1/1000 SOL. INJ. 1 ML (EPINEFRINA)",4433202,2500,DESCLASSIFICADO,AM,8000,3.2
"ALENDRONATO SÓDICO 70MG",4433208,30000,PERDEU,CPR,7620,0.254
"ALOPURINOL 100 MG",4433209,60000,DESCLASSIFICADO,COMP,3000,0.05
"ALOPURINOL 300MG",4433210,25000,DESCLASSIFICADO,COM,4300,0.172
"ALPRAZOLAM 2MG CPR",4433212,5000,DESCLASSIFICADO,COMP,1400,0.28
"AMITRIPTALINA 25 MG COMP.",4433221,2500000,DESCLASSIFICADO,CP,175000,0.07
"ANLODIPINO 10MG CPR",4433229,100000,DESCLASSIFICADO,COMP,7000,0.07
"ATENOLOL 50MG",4433233,700000,DESCLASSIFICADO,COMP,27300,0.039
"ATORVASTATINA 20 mg",4433235,6000,DESCLASSIFICADO,COMP,2640,0.44
"ATROPINA 0,25 MG INJETÁVEL - 1ML",4433236,500,PERDEU,AMP,130,0.26
"ATROPINA 0,5MG INJ. 1ML",4433237,1000,DESCLASSIFICADO,AM,790,0.79
"BENZILPENCILINA PROCAÍNA 300.000UI+BENZIL PENICILINA POTÁSSI",4433247,2000,DESCLASSIFICADO,FR,11200,5.6
"BETAISTINA 24MG CPR",4433250,1000,DESCLASSIFICADO,COMP,400,0.4
"BETAMETASONA (ACETATO 3MG + FOSFATO DISSÓDICO 3MG) SOL INJ",4433252,2000,DESCLASSIFICADO,AM,18300,9.15
"BETAMETASONA (DIPROPIANATO 5 MG + FOSFATO DISSÓDICO 2 MG) 1M",4433253,400,PERDEU,AMP,1064,2.66
"BIPERIDENO 2 MG COMP",4433257,180000,DESCLASSIFICADO,UN,37800,0.21
"BIPERIDENO 5 MG/ML SOL INJ. 1 ML",4433259,1500,DESCLASSIFICADO,AM,3600,2.4
"BROMAZEPAN 3MG",4433265,10000,DESCLASSIFICADO,COMP,2100,0.21
"BROMAZEPAN 6MG",4433266,70000,DESCLASSIFICADO,COMP,22050,0.315
"BROMETO DE N-BUTIL ESCOPOLAMINA + DIPIRONA 10MG+250MG CPR",4433268,200000,DESCLASSIFICADO,COMP,86000,0.43
"BROMETO DE N.BUTILESCOPOLAMINA+DIPIRONA 5 ML",4433269,15000,DESCLASSIFICADO,AMP,20250,1.35
"BROMETO DE N-BUTIL ESCOPOLAMINA + DIPIRONA 6,67MG+333,4MG/ML",4433270,3000,PERDEU,FRA,14700,4.9
"BROMETO DE N. BUTIL ESCOPOLAMINA 20 MG/1ML SOL. INJ.",4433272,5000,DESCLASSIFICADO,AMP,5450,1.09
"CALCIO CITRATO MALATO + VITAMINA D",4433280,600,VENCEU,COMP,1440,2.4
"CARBONATO DE CALCIO 1.250MG EQV 500MG CA++ CPR",4433292,60000,DESCLASSIFICADO,COMP,20700,0.345
"CARBONATO DE LITIO 300MG",4433293,500000,DESCLASSIFICADO,COM,115000,0.23
"CARBONATO DE LÍTIO 450 MG",4433294,15000,PERDEU,COMP,21300,1.42
"CARVEDILOL 12,5MG CPR",4433296,80000,DESCLASSIFICADO,COMP,13040,0.163
