descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Adicional de Linha para instalação de ar-condicionado Split",1,30,Perdeu,M,1170,39
"Caixa de passagem split",2,6,Perdeu,PC,114,19
"Capacitor 380V 2 MF",3,2,Perdeu,PC,9.8,4.9
"Capacitor 380V 3 MF",4,2,Perdeu,PC,11,5.5
"Capacitor 380V 4 MF",5,2,Perdeu,PC,11.8,5.9
"Capacitor 380V 5 MF",6,2,Perdeu,PC,13.8,6.9
"Capacitor 380V 8 MF",7,2,Perdeu,PC,17.8,8.9
"Capacitor 380V 10 MF",8,2,Perdeu,PC,19.6,9.8
"Capacitor 380V 15 MF",9,2,Perdeu,PC,29.8,14.9
"Capacitor 380V 20 MF",10,2,Perdeu,PC,35,17.5
"Capacitor 380V 25 MF",11,10,Perdeu,PC,185,18.5
"Capacitor 380V 30 MF",12,5,Perdeu,PC,94.5,18.9
"Capacitor 380V 35 MF",13,10,Perdeu,PC,198,19.8
"Capacitor 380V 40 MF",14,5,Perdeu,PC,122.5,24.5
"Capacitor 380V 45 MF",15,5,Perdeu,PC,132.5,26.5
"Capacitor 380V 55 MF",16,5,Perdeu,PC,142.5,28.5
"Chave contactora CWM 09",17,2,Perdeu,PC,70,35
"Chave contactora CWM 10",18,2,Perdeu,PC,74,37
"Compressor para Split 7000 BTUS",19,3,Perdeu,PE,840,280
"Compressor para Split 9000 BTUS",20,3,Perdeu,PC,885,295
"Compressor para Split 12000 BTUS",21,3,Perdeu,PC,1167,389
"Compressor para Split 18000 BTUS",22,1,Perdeu,PC,460,460
"Compressor para Split 24000 BTUS",23,1,Perdeu,PC,480,480
"Compressor para Split 36000 BTUS",24,1,Perdeu,PC,890,890
"Controle remoto univ. ar split",25,6,Perdeu,PC,210,35
"Dreno ar condicionado",26,20,Perdeu,PC,40,2
"Filtro do pó ar cond.",27,4,Perdeu,PC,95.2,23.8
"Gás R410A (carga)",28,25,Perdeu,PC,3000,120
"Gás R22 (carga)",29,25,Perdeu,UNI,3000,120
"Hélice ar cond. 7000btus",30,5,Perdeu,PC,175,35
"Hélice ar cond. 10.000 a 18.000 BTUs",31,5,Perdeu,UNI,225,45
"Placa eletrônica ar condicionado Midea",32,2,Perdeu,PC,620,310
"Placa eletrônica ar condicionado Austin",33,5,Perdeu,PC,1400,280
"Placa eletrônica ar condicionado Consul",34,3,Perdeu,UNI,840,280
"Placa eletrônica ar condicionado Elgin",35,2,Perdeu,PC,580,290
"Placa eletrônica ar condicionado LG",36,1,Perdeu,PC,320,320
"Rele monti",37,5,Perdeu,PC,125,25
"Sensor de temperatura frio",38,6,Perdeu,PC,114,19
"Sensor temp. aquecimento",39,6,Perdeu,PC,114,19
"Suporte split 7.000 a 12.000 BTUs",40,25,Perdeu,PC,500,20
"Suporte split 18.000 a 36.000 BTUs",41,10,Perdeu,PC,380,38
"Termostato ar cond. 1601",42,10,Perdeu,PC,350,35
"Turbina ventilador 10.000 a 30.000 BTUs",43,3,Perdeu,PC,144,48
"Instalação de ar-condicionado de 7.000 a 24.000 BTUs",44,25,Perdeu,SV,7250,290
"Limpeza de ar gaveta 7.000 a 9.000 BTUs",45,5,Perdeu,SV,600,120
"Limpeza de ar split 7.000 a 36.000 BTUs",46,50,Perdeu,SV,7000,140
"Serviço (hora)",47,150,Perdeu,SV,12000,80
