descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"GELO ARTIFICIAL REUTILIZÁVEL (GELOX) 550G",4434858,730,VENCEU,UN,2190,3
"GELO ARTIFICIAL REUTILIZÁVEL (GELOX) 400G",4434859,370,PERDEU,UN,1180.3,3.19
"Dispenser para sabonete líquido",4434860,90,PERDEU,UND,2036.7,22.63
"DISPENSER PARA PAPEL TOALHA",4434862,50,PERDEU,UND,955,19.1
"SUPORTE PARA COLETOR DE MATERIAL PERFUROCORTANTE",4434863,100,PERDEU,UN,1780,17.8
"LIXEIRA HOSPITALAR REDONDA COM TAMPA E PEDAL, CAPAC.30 LITRO",4434864,50,VENCEU,UN,2495,49.9
"ORGANIZADOR PLÁSTICO COM TAMPA 5 LITROS",4434865,100,PERDEU,UN,3445,34.45
"ORGANIZADOR PLASTICO",4434866,50,PERDEU,UN,2170,43.4
"ÓCULOS DE PROTEÇÃO INDIVIDUAL",4434868,20,VENCEU,UN,67.2,3.36
"TERMÔMETRO DE CABO EXTENSOR PARA CAIXA TÉRMICA",4434870,50,DESCLASSIFICADO,UN,3522.5,70.45
"TERMÔMETRO DIGITAL INTERNO/EXTERNO COM TEMPERATURA MÁXIMA E",4434871,25,VENCEU,UN,1425,57
"Termômetro digital de máxima e mínima, para registrar as var",4434874,2,PERDEU,UN,151.88,75.94
"Mesa para exame clínico",4434885,11,PERDEU,UNI,4141.5,376.5
