descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Suporte para Braçadeira",4434631,2,PERDEU,UNI,430,215
"Biombo triplo",4434632,2,PERDEU,UN,536.08,268.04
"Cadeira de rodas adulto  manual",4434633,1,INABILITADO,UN,845.36,845.36
"Mesa Antropométrica com colchonete",4434634,1,VENCEU,UN,535,535
"Escadinha hospitalar com 02 degraus em aço inox",4434635,6,PERDEU,UNI,1270.08,211.68
"Foco clínico (LED) ginecológico portátil, com espelho",4434636,2,PERDEU,UNI,962.2,481.1
"Mesa para exame clínico com suporte para rolo papel",4434639,6,PERDEU,UNI,2136.06,356.01
"Mesa auxiliar retangular em aço inox, com prateleira",4434640,2,VENCEU,UNI,810.44,405.22
"Suporte de soro em aço inox, com rodízios, 4 ganchos em X (b",4434641,2,VENCEU,UNI,327.14,163.57
"Carro de curativos em aço inox",4434642,1,VENCEU,UNI,868.73,868.73
"Aparelho para Inalação",4434643,1,VENCEU,UN,1237.11,1237.11
"Autoclave esterilização a vapor",4434644,1,VENCEU,UNI,4192.44,4192.44
"Mocho giratório com encosto e rodízios",4434645,1,VENCEU,UN,481.1,481.1
