descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"BICO INJETOR",0,6,VENCEU," ",4764,794
"BOMBA INJETORA",0,1,VENCEU," ",3380,3380
"CANO INJETOR",0,1,VENCEU," ",68,68
"Disco intermediario",0,6,VENCEU," ",360,60
"FILTRO DE COMBUSTIVEL",0,1,VENCEU," ",21,21
"JUNTA DA TAMPA DE VALVULA",0,1,VENCEU," ",38,38
"MOLA INTERMEDIARIA",0,6,VENCEU," ",684,114
PESCADOR,0,1,VENCEU," ",78,78
"PINO DE PRESSAO",0,6,VENCEU," ",240,40
TURBO,0,1,VENCEU," ",1352,1352
"VALVULA DE RETORNO",0,1,VENCEU," ",127,127
"MAO DE OBRA MECANICA",0,30,VENCEU," ",2640,88
"BICO INJETOR",0,16,VENCEU," ",4464,279
"BOMBA INJETORA",0,4,VENCEU," ",15800,3950
"FILTRO DE COMBUSTIVEL",0,4,VENCEU," ",72,18
"FILTRO SEDIMENTADOR.",0,4,VENCEU," ",264,66
"MANGUEIRA PARA COMBUSTIVEL",0,4,VENCEU," ",68,17
OLHAL,0,8,VENCEU," ",144,18
"PORTA INJETOR.",0,16,VENCEU," ",12960,810
TURBO,0,4,VENCEU," ",7420,1855
"MAO DE OBRA MECANICA",0,180,VENCEU," ",16200,90
"BICO INJETOR",0,4,VENCEU," ",2720,680
"BOMBA CP",0,1,VENCEU," ",7840,7840
"EIXO EXCENTRICO",0,1,VENCEU," ",1080,1080
"ESFERA DE RETENÇÃO",0,1,VENCEU," ",14,14
"PORTA INJETOR.",0,4,VENCEU," ",11560,2890
"UNIDADE MEDIDORA",0,1,VENCEU," ",1229,1229
"VALVULA DO INJETOR",0,4,VENCEU," ",2840,710
"MAO DE OBRA MECANICA",0,100,VENCEU," ",9000,90
"BICO INJETOR",0,4,VENCEU," ",2719.84,679.96
"BOMBA CP",0,1,VENCEU," ",7839.59,7839.59
"EIXO EXCENTRICO",0,1,VENCEU," ",1077.94,1077.94
"ESFERA DE RETENÇÃO",0,1,VENCEU," ",14,14
"PORTA INJETOR.",0,6,VENCEU," ",17399.1,2899.85
"UNIDADE MEDIDORA",0,1,VENCEU," ",1219.94,1219.94
"VALVULA DO INJETOR",0,6,VENCEU," ",4259.76,709.96
"MAO DE OBRA MECANICA",0,20,VENCEU," ",3519.8,175.99
"BICO INJETOR",0,4,VENCEU," ",2040,510
"BOMBA CP",0,1,VENCEU," ",7840,7840
"EIXO EXCENTRICO",0,1,VENCEU," ",1080,1080
"ESFERA DE RETENÇÃO",0,1,VENCEU," ",14,14
"PORTA INJETOR.",0,6,VENCEU," ",16260,2710
"REPARO DOS INJETORES",0,4,VENCEU," ",176,44
"SENSOR DE PRESSÃO",0,1,VENCEU," ",930,930
"UNIDADE MEDIDORA",0,1,VENCEU," ",1225,1225
"VALVULA DO INJETOR",0,4,VENCEU," ",2620,655
"MAO DE OBRA MECANICA",0,30,VENCEU," ",5280,176
"BICO INJETOR",0,4,VENCEU," ",1020,255
"BOMBA ALIMENTADORA",0,1,VENCEU," ",294,294
"CANO INJETOR",0,4,VENCEU," ",508,127
"FILTRO DE COMBUSTIVEL",0,1,VENCEU," ",49,49
TURBO,0,1,VENCEU," ",2750,2750
"VALVULA DE PRESSAO",0,1,VENCEU," ",245,245
"VALVULA DE RETORNO",0,1,VENCEU," ",245,245
"MAO DE OBRA MECANICA",0,75,VENCEU," ",6750,90
