descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Abracadeira t-50r (20cm) c/100",0,1,VENCEU," ",15.9,15.9
"Abracadeira t-80r (28cm) c/100",0,1,VENCEU," ",22.69,22.69
"Abraçadeira tipo D 4",0,2,VENCEU," ",5.5,2.75
"Armário CL 600-500-250",0,1,VENCEU," ",257.05,257.05
"Armário CL 950-600-220",0,1,VENCEU," ",426.32,426.32
"arruela lisa 1/4",0,10,VENCEU," ",0.6,0.06
"barramento chato 3/8 x 1 - (516A)",0,3.6,VENCEU," ",600.91,166.92
"Cabeçote alumínio 4",0,4,VENCEU," ",97.76,24.44
"Cabo de cobre nu - 25mm",0,3,VENCEU," ",144.63,48.21
"CABO DE COBRE NU - 35MM",0,9,VENCEU," ",433.89,48.21
"Cabo de cobre NU - 50mm.",0,13,VENCEU," ",626.73,48.21
"Cabo de cobre NU - 50mm.",0,2,VENCEU," ",96.42,48.21
"Cabo flex 750v - 1,50mm azul.",0,100,VENCEU," ",64,0.64
"Cabo flex 750v - 1,50mm preto",0,100,VENCEU," ",64,0.64
"Cabo flex 750v - 2,50mm azul",0,100,VENCEU," ",101,1.01
"Cabo flex 750v - 2,50mm preto",0,100,VENCEU," ",101,1.01
"Cabo flex 750v. 1,50mm - amar/verd",0,200,VENCEU," ",134,0.67
"Cabo flexível - EPR 90- 50 mm - Verde",0,105,VENCEU," ",2349.9,22.38
"Cabo flexível - EPR 90- 6,0mm - preto",0,140,VENCEU," ",5822.6,41.59
"Cabo flexível - EPR 90- 6,0mm - Verde",0,20,VENCEU," ",831.8,41.59
"Cabo flexível - EPR 90- 6,0mm - Vermelho",0,140,VENCEU," ",5822.6,41.59
"Cabo flexível - EPR 90- 6,0mm azul",0,20,VENCEU," ",53,2.65
"Cabo flexível - EPR 90- 6,0mm preto",0,60,VENCEU," ",159,2.65
"Cabo flexível - EPR 90- 6,0mm verde",0,20,VENCEU," ",54,2.7
"Cabo flexível - EPR 90- 95mm - azul",0,140,VENCEU," ",5817,41.55
"Cabo flexível - EPR 90- 95mm - Branco",0,140,VENCEU," ",5817,41.55
"Cabo flexível 750v - 16mm - Branco",0,3,VENCEU," ",20.1,6.7
"Cabo flexível 750v - 16mm - Preto",0,3,VENCEU," ",20.1,6.7
"Cabo flexível 750v - 16mm - Verde",0,6,VENCEU," ",40.2,6.7
"Cabo flexível 750v - 16mm - Vermelho",0,3,VENCEU," ",20.1,6.7
"Cabo flexível 750v - 2,50mm azul",0,10,VENCEU," ",10.1,1.01
"Cabo flexível 750v - 2,50mm preto",0,10,VENCEU," ",10.1,1.01
"Cabo flexível 750v - 2,50mm verde",0,10,VENCEU," ",10.1,1.01
"Cabo flexível 750v - 6,00mm azul",0,40,VENCEU," ",100,2.5
"Cabo flexível 750v - 6,00mm preto",0,100,VENCEU," ",250,2.5
"Cabo flexível 750v - 6,00mm verde",0,40,VENCEU," ",100,2.5
"Cabo flexível 750v- 16,00mm azul",0,3,VENCEU," ",20.1,6.7
"Cabo pp 500v 2 x 1,50mm",0,20,VENCEU," ",36,1.8
"Caixa de alumínio",0,1,VENCEU," ",189.15,189.15
"Caixa de alumínio TC dupla",0,1,VENCEU," ",435.53,435.53
"Caixa de concreto - 30x30",0,1,VENCEU," ",40.35,40.35
"Caixa de concreto - 40x40",0,1,VENCEU," ",63.8,63.8
"Caixa de concreto 30x30",0,2,VENCEU," ",80.7,40.35
"Conector box reto 4",0,10,VENCEU," ",742,74.2
"Conector PF 120mm.",0,11,VENCEU," ",146.08,13.28
"Curva de PVC 90 1.",0,2,VENCEU," ",1.34,0.67
"Curva eletr. 90 4",0,8,VENCEU," ",411.2,51.4
"Disjuntor caixa moldada JHM1 16a",0,3,VENCEU," ",322.65,107.55
"Disjuntor caixa moldada JHM1 200a",0,2,VENCEU," ",516.22,258.11
"Disjuntor caixa moldada JHM1 20a",0,3,VENCEU," ",322.5,107.5
"Disjuntor caixa moldada JHM1 32a",0,2,VENCEU," ",215,107.5
"Disjuntor caixa moldada JHM1 400a",0,1,VENCEU," ",846.47,846.47
"Disjuntor trif. Dwp 225 100-a",0,2,VENCEU," ",452,226
"Disjuntor trif. Dwp 225 200-a",0,2,VENCEU," ",452,226
"Disjutor trif. Mdw c32-3",0,1,VENCEU," ",40.78,40.78
"Dispositivo proteção contra surto 45ka 220v",0,4,VENCEU," ",166.8,41.7
"Fita galvanizada lisa 3/4",0,30,VENCEU," ",54,1.8
"Fita isolante 20mts - azul 2000-eaz",0,1,VENCEU," ",4.5,4.5
"Fita isolante 20mts - branco 2000-ebr",0,2,VENCEU," ",9,4.5
"Fita isolante 20mts - pto 2000 - em",0,7,VENCEU," ",26.6,3.8
"Fita isolante 20mts - verde 2000-evd",0,1,VENCEU," ",4.5,4.5
"Fita isolante 20mts - vermelho 2000-evm",0,2,VENCEU," ",9,4.5
"Haste Ter. Cobre 2,40mt x 5/8 - duplo",0,6,VENCEU," ",251.4,41.9
"Iluminação de emergencia 30 leds",0,1,VENCEU," ",14.45,14.45
"Iluminação de emergência led 2200 lumens",0,1,VENCEU," ",201,201
"Inter Art bca-1 tec-sim com tomada 109-es",0,3,VENCEU," ",23.1,7.7
"Inter. Art BCA-2 TEC-SPS Com tomada 128-es",0,1,VENCEU," ",9.99,9.99
"Inter. Art. BCA-1 simples 106 es",0,3,VENCEU," ",10.95,3.65
"Inter. Art. BCA-2 simples 107 es",0,1,VENCEU," ",6.8,6.8
"Inversor de frequência 60cv 380v 88A",0,1,VENCEU," ",11350,11350
"Isolador de barramento 30x40mm rosca 1/4",0,14,VENCEU," ",86.1,6.15
"Lâmpada de LED 12w 6500k bivolt",0,9,VENCEU," ",130.05,14.45
"Lâmpada de LED 15w 6500k",0,2,VENCEU," ",37.82,18.91
"Luva de PVC 1",0,2,VENCEU," ",1.1,0.55
"Luva de pvc 4",0,6,VENCEU," ",54.6,9.1
"luva eletroduto 4",0,4,VENCEU," ",131.6,32.9
"Mini disjuntor 1p 10a dz47-63",0,1,VENCEU," ",6.35,6.35
"Mini disjuntor 3p 32a dz47-63",0,2,VENCEU," ",60,30
"Mini disjuntor 3p 63a dz47-63",0,1,VENCEU," ",37.1,37.1
"Mini disjuntor term. Mdw - b 10",0,1,VENCEU," ",6.8,6.8
"Mini disjuntor term. Mdw - b 20",0,3,VENCEU," ",20.4,6.8
"Parafuso lentilha 1/4 x 3/4",0,10,VENCEU," ",3,0.3
"peveduto (110v) 4",0,210,VENCEU," ",1197,5.7
"Pino extensão macho 2p preto",0,2,VENCEU," ",4,2
"Plafon de teto branco 1L e27",0,5,VENCEU," ",12,2.4
"Porca sextavada 1/4.",0,10,VENCEU," ",0.9,0.09
"Presilha galvanizada p/ fita",0,15,VENCEU," ",13.8,0.92
"PRESILHA GALVANIZADA P/ FITA LISA",0,5,VENCEU," ",4.6,0.92
