descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Agulhas hipodérmicas 20mmX5,5mm.",4434786,150,PERDEU,CX,943.5,6.29
"Agulhas hipodérmicas 25 X 6",4434787,200,DESCLASSIFICADO,CX,1280,6.4
"Agulhas hipodérmicas 25 X 7",4434788,1000,PERDEU,CX,5490,5.49
"Agulhas hipodérmicas 25 X 8",4434789,100,PERDEU,CX,550,5.5
"Agulhas hipodérmicas 30 X 8:",4434790,200,CANCELADO,CX,1140,5.7
"Agulhas hipodérmicas 40 X 12",4434791,600,PERDEU,CX,3630,6.05
"Ataduras de Crepom 08 cm",4448581,20000,PERDEU,UNI,7800,0.39
"Ataduras de Crepom Tamanho: 10 cm",4448582,30000,PERDEU,PCT,13500,0.45
"Ataduras de Crepom Tamanho: 12 cm",4448583,30000,PERDEU,UNI,16500,0.55
"Ataduras de Crepom 15 cm de largura",4448584,36000,PERDEU,UNI,23760,0.66
"Ataduras de Crepom Tamanho: 20 cm",4448585,20000,PERDEU,UN,17600,0.88
"Ataduras de Crepom . Tamanho: 06 cm",4448586,10000,DESCLASSIFICADO,UNI,3100,0.31
"Bolsa Coletora de urina sistema fechado  2000mL",4448587,1200,DESCLASSIFICADO,UNI,6960,5.8
"Compressa de gaze Hidrófila 7,5 X 7,5 com 9 fios",4448589,1500,VENCEU,PCT,17250,11.5
"Compressa de Gaze Hidrófila Estéril 7,5 x 7,5 cm c/ 11 fios",4448590,250000,VENCEU,PCT,125000,0.5
"Eletrodo para Monitorização Cardíaca c/ Gel - Adulto",4448591,30000,PERDEU,UN,7200,0.24
"Eletrodo para Monitorização Cardíaca c/ Gel - Pediátrico.",4448592,8000,PERDEU,UNI,1920,0.24
"Equipo 2 vias , (POLIFIX).",4448593,7500,DESCLASSIFICADO,UNI,6000,0.8
"Estetoscópio  adulto",4448594,150,PERDEU,UNI,9720,64.8
"Fita Cirúrgica Microporosa Hipoalergênica largura 2,5cm x 4,",4448595,4000,VENCEU,UNI,5200,1.3
"Fita Cirúrgica Microporosa Hipoalergênica largura 5,0cm x 4,",4448596,7065,VENCEU,UNI,15401.7,2.18
"Luva Nitrilica não Estéril p/ Procedimento Tamanho G.",4448597,250,PERDEU,CX,4057.5,16.23
"Luva Nitrilica não Estéril p/ Procedimento Tamanho M.",4448598,600,PERDEU,CX,9750,16.25
"Luva Nitrilica não Estéril p/ Procedimento Tamanho P.",4448599,600,PERDEU,CX,9750,16.25
"Lençol descartável com elástico (TNT).",4448600,300,PERDEU,PCT,2367,7.89
"Sonda aspiração traqueal nº 06 em PVC, descartável",4448601,8581,PERDEU,UNI,3775.64,0.44
"Sonda aspiração traqueal nº 08 em PVC, descartável",4448602,10800,PERDEU,UNI,5076,0.47
"Sonda aspiração traqueal nº 10 em PVC, descartável.",4448603,2000,VENCEU,UNI,960,0.48
"Sonda aspiração traqueal nº 12 em PVC, descartável.",4448604,4000,PERDEU,UN,2040,0.51
"Sonda aspiração traqueal nº 14 em PVC, descartável",4448605,2000,VENCEU,UNI,1040,0.52
"Sonda nasal para alimentação enteral nº 12.",4448606,300,VENCEU,UN,2775,9.25
"Sonda nasal para alimentação enteral nº 15",4448607,200,VENCEU,UN,1850,9.25
"Sonda uretral nº 06, descartável.",4448608,2000,PERDEU,UN,880,0.44
"Sonda uretral nº 08, descartável",4448609,18000,VENCEU,UNI,7920,0.44
"Sonda uretral nº 10 descartável",4448610,24000,VENCEU,UN,10800,0.45
"Sonda uretral nº 12 descartável.",4448611,60479,PERDEU,UN,28425.13,0.47
"Sonda uretral nº 14 descartável.",4448612,10000,PERDEU,UNI,4900,0.49
"Termômetro clínico.",4448620,150,VENCEU,UNI,1347,8.98
