descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AÇÚCAR REFINADO - NA CENTRAL",4379155,18500,NAO_COTOU,KG,0,0
"AÇÚCAR REFINADO - NA CENTRAL",4379156,55500,NAO_COTOU,KG,0,0
"BEBIDA SABOR CAFÉ COM LEITE - NA CENTRAL",4379157,2755,PERDEU,KG,51986.85,18.87
"BEBIDA SABOR CAFÉ COM LEITE - NA CENTRAL",4379158,10366,PERDEU,KG,195606.42,18.87
"BICARBONATO DE SÓDIO - NA CENTRAL",4379159,18,NAO_COTOU,KG,0,0
"BISCOITO MAISENA DE CHOCOLATE - SEM LEITE - NA CENTRAL",4379160,2333,NAO_COTOU,KG,0,0
"BISCOITO MAISENA DE CHOCOLATE - SEM LEITE - NA CENTRAL",4379161,6999,NAO_COTOU,KG,0,0
"BISCOITO DE NATA - SEM LEITE - NA CENTRAL",4379162,9185,NAO_COTOU,KG,0,0
"BISCOITO DE COCO - SEM LEITE - NA CENTRAL",4379163,7688,NAO_COTOU,KG,0,0
"BISCOITO MARIA - SEM LEITE - NA CENTRAL",4379164,2806,NAO_COTOU,KG,0,0
"BISCOITO MARIA - SEM LEITE - NA CENTRAL",4379165,8421,NAO_COTOU,KG,0,0
"BISCOITO SALGADO TIPO ÁGUA E SAL - SEM LEITE - NA CENTRAL",4379166,3102,NAO_COTOU,KG,0,0
"BISCOITO SALGADO TIPO ÁGUA E SAL - SEM LEITE - NA CENTRAL",4379167,9307,NAO_COTOU,KG,0,0
"BISCOITO SALGADO INTEGRAL - SEM LEITE - NA CENTRAL",4379168,2447,NAO_COTOU,KG,0,0
"BISCOITO SALGADO INTEGRAL - SEM LEITE - NA CENTRAL",4379169,7344,NAO_COTOU,KG,0,0
"BISCOITO DE CHOCOLATE - NA CENTRA",4379170,2157,DESCLASSIFICADO,KG,17859.96,8.28
"BISCOITO DE CHOCOLATE - NA CENTRA",4379171,6472,DESCLASSIFICADO,KG,53588.16,8.28
"BISCOITO DE MILHO - NA CENTRAL",4379172,7247,PERDEU,KG,60005.16,8.28
"CAFÉ TRADICIONAL EM PÓ - NA CENTRAL",4379173,3690,NAO_COTOU,KG,0,0
"CAFÉ TRADICIONAL EM PÓ - NA CENTRAL",4379174,11071,NAO_COTOU,KG,0,0
"CANELA EM PÓ - NA CENTRAL",4379175,35,NAO_COTOU,KG,0,0
"CEREAL ESFÉRICO DE CHOCOLATE - NA CENTRAL",4379176,1958,INABILITADO,KG,18522.68,9.46
"CHOCOLATE EM PÓ VITAMINADO 50% CACAU - NA CENTRAL",4379177,1916,INABILITADO,KG,25846.84,13.49
"CHOCOLATE EM PÓ VITAMINADO 50% CACAU - NA CENTRAL",4379178,5751,DESCLASSIFICADO,KG,77580.99,13.49
"COLORÍFICO - NA CENTRAL",4379179,1535,DESCLASSIFICADO,KG,17944.15,11.69
"DOCE DE FRUTAS SORTIDO - NA CENTRAL",4379180,7569,PERDEU,KG,53361.45,7.05
"DOCE DE LEITE - NA CENTRAL",4379181,3699,PERDEU,KG,26558.82,7.18
"FARINHA DE CEREAIS - Aveia - NA CENTRA",4379182,1253,NAO_COTOU,KG,0,0
"FARINHA DE CEREAIS - Mix de cereais - NA CENTRAL",4379183,840,NAO_COTOU,KG,0,0
"FARINHA DE TRIGO 5 KG - NA CENTRAL",4379184,14381,NAO_COTOU,KG,0,0
"FARINHA DE TRIGO 5 KG - NA CENTRAL",4379185,43144,NAO_COTOU,KG,0,0
"FARINHA DE TRIGO 25 KG - NA CENTRA",4379186,18750,NAO_COTOU,KG,0,0
"FARINHA DE TRIGO 25 KG - NA CENTRA",4379187,56250,NAO_COTOU,KG,0,0
"FARINHA DE TRIGO INTEGRAL - NA CENTRAL",4379188,988,NAO_COTOU,KG,0,0
"FERMENTO BIOLÓGICO EM PÓ SECO E INSTANTÂNEO - NA CENTRAL",4379189,1500,NAO_COTOU,KG,0,0
"FERMENTO QUÍMICO EM PÓ - NA CENTRAL",4379190,1500,NAO_COTOU,KG,0,0
"FRAGMENTOS DE ARROZ - NA CENTRAL",4379191,9240,PERDEU,KG,15061.2,1.63
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO - NA CENTRAL",4379192,2728,DESCLASSIFICADO,KG,54396.32,19.94
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO - NA CENTRAL",4379193,51846,DESCLASSIFICADO,KG,1033809.24,19.94
"MACARRÃO TIPO PARAFUSO COM OVOS - NA CENTRAL",4379194,4159,DESCLASSIFICADO,KG,17051.9,4.1
"MACARRÃO TIPO PARAFUSO COM OVOS - NA CENTRAL",4379195,12479,DESCLASSIFICADO,KG,51163.9,4.1
"MACARRÃO TIPO CABELINHO DE ANJO - NA CENTRAL",4379196,21,NAO_COTOU,KG,0,0
"MARGARINA - NA CENTRAL",4379197,3665,NAO_COTOU,KG,0,0
"MARGARINA - NA CENTRAL",4379198,10998,NAO_COTOU,KG,0,0
"MILHO PARA PIPOCA - NA CENTRAL",4379199,1442,DESCLASSIFICADO,KG,7065.8,4.9
"ÓLEO DE SOJA - NA CENTRAL",4379200,13800,NAO_COTOU,UND,0,0
"ORÉGANO - NA CENTRAL",4379201,74,NAO_COTOU,KG,0,0
"PIMENTA DO REINO - NA CENTRAL",4379202,18,NAO_COTOU,KG,0,0
"REFORÇADOR DE MASSA - NA CENTRAL",4379203,756,NAO_COTOU,KG,0,0
"SAL IODADO - NA CENTRAL",4379204,13331,NAO_COTOU,KG,0,0
"SALAMONÍACO - NA CENTRAL",4379205,97,NAO_COTOU,KG,0,0
"VINAGRE DE ALCOOL - NA CENTRAL",4379206,5458,NAO_COTOU,UND,0,0
"FILE DE PEIXE CONGELADO (TILÁPIA) - NAS ESCOLAS",4379207,672,PERDEU,KG,19051.2,28.35
