descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Lâmina de Recorte Plotter (Roland 60° Vinis espessos)",0,10,NAO_COTOU," ",0,0
"Estilete Pequeno Metal",0,4,NAO_COTOU," ",0,0
"Estilete Grande Rosca Eborrachado",0,4,NAO_COTOU," ",0,0
"Lamina Estilete Pequeno.",0,15,NAO_COTOU," ",0,0
"Lamina Estilete Grande.",0,20,NAO_COTOU," ",0,0
"Feltro para aplicação de Vinis",0,4,NAO_COTOU," ",0,0
"Régua de alumínio de 1 metro",0,2,NAO_COTOU," ",0,0
"Trena (3m)",0,2,NAO_COTOU," ",0,0
"Vinil Preto Semi-Fosco ou Acetinado (automotivo) - Rolo com",0,5,NAO_COTOU," ",0,0
"Vinil Branco Semi-Fosco ou Acetinado (automotivo) Rolo com",0,4,NAO_COTOU," ",0,0
"Vinil Transparente",0,3,NAO_COTOU," ",0,0
"Vinil Jateado Transparente",0,3,NAO_COTOU," ",0,0
"Mascara Médio Tak",0,5,NAO_COTOU," ",0,0
"Vinis Vermelho Vivo, Azul Rivera, Amarelo Ouro, Verde Abacat",0,8,NAO_COTOU," ",0,0
"Refletivos Grau Engenharia Branco, Verde, Amarelo, Azul, Ver",0,12,NAO_COTOU," ",0,0
