descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
CAMA,4434894,17,PERDEU,UND,4858.6,285.8
SOFÁ,4434899,3,VENCEU,UN,3795,1265
POLTRONA.,4434900,4,VENCEU,UN,1148,287
"MESA PLÁSTICA 4 PÉS",4434903,3,PERDEU,UN,196.2,65.4
"CADEIRA PLÁSTICA",4434904,12,PERDEU,UNI,465.6,38.8
"COBERTOR casal.",4434907,17,VENCEU,UN,1513,89
"JOGO DE LENÇOL CAMA SOLTEIRO.",4434908,35,VENCEU,UN,2777.95,79.37
Televisão:,4434918,2,VENCEU,UN,2446,1223
"Aparelho de Som",4434919,2,VENCEU,UN,358,179
"Maquina de Lavar Roupas  15 Kg",4434921,2,VENCEU,UN,3310,1655
BEBEDOURO,4434923,2,PERDEU,UND,1047,523.5
BATEDEIRA,4434924,1,VENCEU,UND,343,343
Refrigerador,4434928,2,PERDEU,UNI,2820,1410
"Prato Raso",4434947,30,VENCEU,UN,174,5.8
"Prato fundo",4434948,30,VENCEU,UNI,165,5.5
