descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Bola Futsal oficial confeccionada em PU",4463814,16,PERDEU,UND,856.8,53.55
"Bola Basquetebol oficial categoria Mirim",4463815,16,PERDEU,UND,942.72,58.92
"Bola Basquetebol oficial categoria Adulto",4463816,16,PERDEU,UND,817.6,51.1
"Bola Futsal oficial com GUIZO para portadores de deficiência",4463817,5,PERDEU,UND,413.35,82.67
"Bola Futebol oficial categoria Infantil tamanho Nº 4",4463818,16,PERDEU,UND,848.16,53.01
"Bola Handebol oficial Categoria Feminina",4463819,16,PERDEU,UND,655.04,40.94
"Bola Handebol oficial Categoria Mirim/Infantil",4463820,16,PERDEU,UND,511.36,31.96
"Bola Voleibol oficial para Quadra",4463821,16,PERDEU,UND,974.72,60.92
"Estante simples com base inferior fechada",4463845,7,PERDEU,UND,11113.2,1587.6
"Estante uma face 1000x320x2000mm.",4463846,3,PERDEU,UND,1350,450
"Estante-carrinho móvel 400x350x650mm",4463847,3,PERDEU,UND,6870,2290
"Estante dupla face 1000x580x2000mm",4463848,6,PERDEU,UND,11936.1,1989.35
"Bibliocanto com sinalizador",4463849,18,PERDEU,UND,1044,58
"Carrinho para livros 530x530x1050mm .",4463850,1,PERDEU,UND,2432,2432
"Cabideiro em tubo de aço",4463851,1,PERDEU,UND,1250.65,1250.65
"Computador Intel Core I3",4464561,15,PERDEU,UND,65700,4380
"Impressora Laser 104W",4464562,2,PERDEU,UND,2638,1319
