descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Amalgamador Capsular  Digital",4434965,4,DESCLASSIFICADO,UNI,4086.76,1021.69
"Aparelho de profilaxia odontológica por bicarbonato/ultrasom",4434966,6,DESCLASSIFICADO,UN,19966.5,3327.75
"Autoclave 21L",4434970,10,DESCLASSIFICADO,UN,51030,5103
"Fotopolimerizador sem fio com bateria removível",4434990,15,DESCLASSIFICADO,UNI,11229,748.6
"Localizador apical eletrônico",4435004,2,DESCLASSIFICADO,UN,3334,1667
"Mini incubadora biológica",4435005,10,DESCLASSIFICADO,UN,2523.1,252.31
"Ponta de ultrasson nº 10P",4435016,50,PERDEU,UN,5089,101.78
"Adesivo dental fotopolimerizável do tipo II",4435038,200,DESCLASSIFICADO,FR.,11714,58.57
"Água destilada - Galão 5 (cinco) litros.",4435040,1000,PERDEU,GL,8900,8.9
"Água oxigenada a 10% - Frasco 100ml.",4435041,200,PERDEU,FRA,756,3.78
"Álcool 70% - Litro.",4435043,1600,PERDEU,L,7024,4.39
"Álcool 96% - Litro.",4435044,25,DESCLASSIFICADO,L,230,9.2
"ALGODÃO EM ROLETES",4435046,2000,PERDEU,PCT,3400,1.7
"Cera 7 Lâmina- Embalagem com 18 unidades",4435105,20,DESCLASSIFICADO,CX,424,21.2
"Cera Utilidade - Embalagem com 5 unidades",4435106,50,DESCLASSIFICADO,CX,1060,21.2
"Clorhexidina 2% - frasco com 100ml.",4435111,120,VENCEU,FR.,538.8,4.49
"Compressas de Gaze Hidrófila, 100% Algodão 7,5 x 7,5, com 9(",4435112,1800,DESCLASSIFICADO,PCT,29160,16.2
"Detergente multienzimático;",4435133,250,CANCELADO,GAL,21262.5,85.05
"Escova dental adulto macia",4435140,50,DESCLASSIFICADO,PCT,1625,32.5
"ESCOVA DENTAL INFANTIL",4435141,40,DESCLASSIFICADO,PCT,1040,26
"Fio agulhado nylon, preto 3.0/EP2, siliconizado 45 cm, 20mm",4435157,330,DESCLASSIFICADO,CX,9537,28.9
"Fio agulhado seda, 3.0/EP2, siliconizado 45 cm.",4435158,400,DESCLASSIFICADO,CX,15592,38.98
"FITA AUTOCLAVE",4435160,80,PERDEU,RL,226.4,2.83
"Gorros descartáveis tipo touca com elástico",4435173,350,PERDEU,PCT,2558.5,7.31
"Indicador Biológico",4435180,500,DESCLASSIFICADO,CX,18900,37.8
"Ionômero de vidro R fotopolimerizavel",4435181,500,PERDEU,KIT,40500,81
"Ionômero de vidro R autopolimerizável",4435182,450,PERDEU,KIT,20565,45.7
"Lâmina de bisturi nº 12, em aço inox. caixa com 100 un",4435187,10,VENCEU,CX,234.3,23.43
"Lâmina de bisturi nº 15, em aço inox.caixa com 100 und",4435188,20,VENCEU,CX,461.4,23.07
"LUVA DE LÁTEX - TAMANHO PP. Caixa com 100 unidades",4435209,1000,DESCLASSIFICADO,CX,19530,19.53
"Luva de Látex tamanho P. Caixa c/ 100 unidades",4435210,1300,DESCLASSIFICADO,CX,25389,19.53
"Luva de Látex tamanho M. Caixa c/ 100 unidades",4435211,600,DESCLASSIFICADO,CX,11718,19.53
"Luvas Látex, tamanho G. Caixa com 100 unidades",4435212,50,DESCLASSIFICADO,CX,976.5,19.53
"LUVAS LÁTEX, TAMANHO M. Caixa com 100 unidades",4435213,100,DESCLASSIFICADO,CX,2409,24.09
"Luvas Látex, tamanho P. Caixa com 100 unidades",4435214,250,DESCLASSIFICADO,CX,6022.5,24.09
"Luva cirurgica Látex, esterelizada, tamanho 6,5",4435215,1500,DESCLASSIFICADO,PCT,1695,1.13
"Luva cirurgica Látex, esterelizada, tamanho 8,0",4435216,1650,DESCLASSIFICADO,PCT,1864.5,1.13
"Luvas de Vinil Descartável, tamanho P. Caixa com 100 unidade",4435217,60,PERDEU,CX,834.6,13.91
"Luvas de Vinil Descartável, tamanho M. Caixa com 100 unidade",4435218,30,PERDEU,CX,417.3,13.91
"MÁSCARA FACIAL DESCARTÁVEL",4435220,1000,VENCEU,CX,5300,5.3
"Máscara cirúrgica facial N95",4435221,80,PERDEU,CX,4468.8,55.86
"Óleo lubrificante p/ alta/baixa rotação spray. Frasco com 20",4435223,200,PERDEU,FR,4644,23.22
"Papel grau cirúrgico; medindo 10 cm x 100m",4435231,230,DESCLASSIFICADO,BO,8944.7,38.89
"Papel grau cirúrgico; medindo 25 cm x 100 m",4435232,300,DESCLASSIFICADO,BO,30360,101.2
"Sugador de saliva descartável 130mm x 0,65mm. Pacote com 40",4435265,1800,DESCLASSIFICADO,PCT,9666,5.37
"Verniz fluoretado - frasco com 10ml de verniz e 1 frasco com",4435274,40,PERDEU,KIT,623.2,15.58
"Pincel aplicador Micro brush. Espessura da ponta regular",4435275,200,PERDEU,CX,1420,7.1
"Coletor de material perfuro cortante",4435289,60,VENCEU,CX,1198.8,19.98
"Luva Nitrílica.",4435300,100,PERDEU,CX,1906,19.06
