descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
ACHOCOLATADO.,4301214,800,PERDEU,KG,7432,9.29
"ACUCAR REFINADO",4301216,2000,PERDEU,KG,4780,2.39
"AMIDO DE MILHO - peso líquido 500g",4301218,700,PERDEU,KG,3808,5.44
"BEBIDA SABOR MORANGO",4301221,500,PERDEU,KG,7910,15.82
"BOLACHA ÁGUA E SAL",4301226,500,PERDEU,EMB,2250,4.5
CAFÉ-,4301227,1000,INABILITADO,PCT,10310,10.31
"COCO RALADO",4301229,400,PERDEU,UND,1988,4.97
COLORAU,4301230,300,PERDEU,KG,1824,6.08
"CREME DE LEITE.",4301231,300,PERDEU,UND,867,2.89
"Doce de Leite",4301233,500,PERDEU,POT,2260,4.52
"EXTRATO DE TOMATE",4301235,2000,PERDEU,KG,4980,2.49
"FARINHA DE TRIGO",4301237,2000,PERDEU,KG,4900,2.45
"FERMENTO EM PO",4301239,600,PERDEU,KG,3498,5.83
"MACARRÃO -",4301245,1400,PERDEU,PCT,4284,3.06
MARGARINA,4301249,350,PERDEU,PCT,1953,5.58
"ÓLEO DE SOJA NÃO TRANSGÊNICO",4301252,2500,PERDEU,UN,10575,4.23
"PRESUNTO FATIADO",4301257,800,PERDEU,KG,18360,22.95
"SUCO NATURAL",4301263,3750,PERDEU,LT,99750,26.6
"SUCO NATURAL",4301264,1250,PERDEU,LT,33250,26.6
"CARNE - MÚSCULO TRASEIRO BOVINO MOÍDO (Lagartão)",4301269,2500,PERDEU,KG,43900,17.56
"CARNE - PALETA GROSSA EM CUBOS",4301270,1500,PERDEU,KG,26400,17.6
"PERNIL SUÍNO CORTADO EM CUBOS",4301271,1500,PERDEU,KG,21600,14.4
"FILÉ DE FRANGO CONGELADO IQF,  SASSAMI",4301273,1000,VENCEU,KG,10150,10.15
"SOBRECOXA DESOSSADA",4301274,1525,VENCEU,KG,13831.75,9.07
"Acém Bovino Moído",4301275,2000,PERDEU,KG,34360,17.18
"Acém Bovino",4301276,1200,PERDEU,KG,20616,17.18
"COXA E SOBRECOXA DE FRANGO",4301277,2000,VENCEU,KG,13000,6.5
