descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AGENDA EM ESPIRAL DE MESA DIÁRIA  208 PAG",4376624,20,NAO_COTOU,UND,0,0
"Almofada de carimbo (nº2)",4376625,5,NAO_COTOU,UND,0,0
"APAGADOR  DE QUADRO  BRANCO",4376626,10,PERDEU,UND,151,15.1
"Apontador de plastico para lapis",4376627,20,PERDEU,UND,49.8,2.49
"Bandeja entrada/saída de documento (tripla-3 andares)",4376628,20,PERDEU,UND,1163.4,58.17
"BATERIA ALCALINA 9V",4376629,20,PERDEU,UND,507.8,25.39
"BATERIA RECARREGÁVEL 9V",4376630,20,PERDEU,UND,480,24
"Bloco adesivo post-it amarelo 38mm X 50mm",4376631,5,CANCELADO,CX,80,16
"CAIXA PARA ARQUIVO MORTO - 250X130X35",4376632,100,PERDEU,UND,610,6.1
"CAIXA PARA ARQUIVO MORTO - 344X125X237.",4376633,400,PERDEU,UND,916,2.29
"caneta esferográfica na cor azul",4376634,10,VENCEU,CX,580,58
"caneta esferográfica na cor preta",4376635,10,VENCEU,CX,570,57
"caneta esferográfica na cor vermelha",4376636,5,PERDEU,CX,320,64
"CANETA MARCA TEXTO",4376637,80,PERDEU,UND,256,3.2
"CANETA MARCADORA PARA USO EM CD OU DVD",4376638,20,PERDEU,UND,142,7.1
"CANETA MARCA TEXTO , TIPO FLUORESCENTE",4376639,300,PERDEU,UND,999,3.33
"CLIPE TAMANHO 3/0",4376640,30,PERDEU,CX,55.8,1.86
"CLIPE TAMANHO 2/0",4376641,30,PERDEU,CX,55.8,1.86
"CLIPE TAMANHO 8/0",4376642,30,PERDEU,CX,53.4,1.78
"COLA, ATÓXICA",4376643,40,PERDEU,PCT,160,4
"Cola de secagem rápida c/5gr (tipo superbonder)",4376644,40,PERDEU,UND,393.2,9.83
"Colchete   nº  08",4376645,50,PERDEU,CX,212,4.24
"Colchete nº 09",4376646,50,PERDEU,CX,402.5,8.05
"Colchete nº 10",4376647,50,PERDEU,CX,402.5,8.05
"COLCHETE Nº 14",4376648,50,PERDEU,CX,467.5,9.35
"Colchete nº 15",4376649,50,DESCLASSIFICADO,CX,550,11
"Corretivo em fita",4376650,30,PERDEU,UND,234,7.8
"CORRETIVO LIQUIDO",4376651,30,PERDEU,CX,85.2,2.84
"ELÁSTICO PARA DINHEIRO EM LÁTEX, Nº 18",4376652,20,PERDEU,PCT,55.8,2.79
"Envelope branco ofício 23cm X 11,5cm",4376653,300,VENCEU,UND,45,0.15
"Envelope ofício cor parda tam A-4 24x34",4376654,2000,PERDEU,UND,580,0.29
"Envelope saco tamanho grande A-6 31x41",4376655,300,PERDEU,UND,138,0.46
"Estilete lamina larga",4376656,30,PERDEU,UND,86.4,2.88
"ETIQUETA AUTO COLANTE Nº 14",4376657,5,PERDEU,PCT,455,91
"ETIQUETA AUTO COLANTE Nº 20",4376658,5,PERDEU,PCT,455,91
"EXTRATOR DE GRAMPO EM AÇO NIQUELADO, TIPO ESPÁTULA",4376659,30,PERDEU,UND,246,8.2
"Fita adesiva 48 mm x 50 m",4376660,50,VENCEU,RL,160,3.2
"FITA ADESIVA PARDA 48mm X 50mt",4376661,50,DESCLASSIFICADO,RL,700,14
"FITA ADESIVA PEQUENA (CORES DIVERSAS)",4376662,50,VENCEU,RL,60,1.2
"Fita adesiva Rolo grande 12 mm x 50 m",4376663,25,VENCEU,RL,29.5,1.18
"Fita adesiva rolo grande 19 mm x 50 m 18x50mm",4376664,50,VENCEU,RL,104,2.08
"FITA DE PAPEL ADESIVA 32mm X 50mt",4376665,50,VENCEU,RL,866,17.32
"Fita dupla face de papel 12mmx1,5mt",4376666,25,DESCLASSIFICADO,RL,95.75,3.83
"Fita dupla face de silicone transparente 12mmX2mt",4376667,50,VENCEU,RL,865,17.3
"FITA ZEBRADA PRETO E AMARELO P/ ISOLAMENTO 65mm X 160mt",4376668,50,VENCEU,RL,690,13.8
"GRAMPEADOR PARA 10/20 FOLHAS",4376669,20,PERDEU,UND,620,31
"GRAMPEADOR PARA 90/100 FOLHAS",4376670,10,PERDEU,UND,682,68.2
"Grampo trilho plástico 80mm entre centros c/ 50 unid",4376671,30,PERDEU,CX,233.4,7.78
"GRAMPOS 23/13 caixa com 1000 grampos",4376672,15,NAO_COTOU,CX,0,0
"Grampos 26/6 caixa com 5000 grampos",4376673,100,PERDEU,CX,482,4.82
"GRAMPOS 26/8 (CAIXA COM 5000 GRAMPOS).",4376674,100,PERDEU,CX,1100,11
"Grampos trilho metálico 80mm entre centros c/50unid.",4376675,30,PERDEU,CX,259.5,8.65
"Lamina de estilete largo Tubo c/10",4376676,3,PERDEU,UND,15.6,5.2
"Lapis preto caixa com 12 unidades",4376677,5,NAO_COTOU,CX,0,0
"livro ata 100 folhas",4376678,20,PERDEU,UND,348,17.4
"livro ata 200 folhas",4376679,20,PERDEU,UND,600,30
"Livro de Protocolo 100 Fls",4376680,20,PERDEU,UND,240,12
