descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACELADOR SECAGEM PU 900ML",0,50,PERDEU," ",1650,33
"AMARELO CASE ESM SINT AUTOMOTIVO 3,6L.",0,10,PERDEU," ",840,84
"AMARELO NEW HOLLAND ESM SINT AUTOMOTIVO 3,6L",0,30,PERDEU," ",2340,78
"BOBINA DUPLA FACE",0,15,PERDEU," ",1005,67
"BRANCO ACABAMENTO ESM SINT AUTOMOTIVO 3,6L.",0,40,PERDEU," ",3360,84
"BRANCO BANCHISA POLIURETANO 3,6L.",0,30,PERDEU," ",9600,320
"BRANCO DIAMANTE FORD POLIURETANO 3,6L.",0,5,PERDEU," ",1600,320
"CATALISADOR 900ML",0,30,PERDEU," ",1410,47
"CATALISADOR RESINA",0,35,PERDEU," ",35,1
"CERA 200G.",0,40,PERDEU," ",840,21
"COADOR PINTURA",0,80,PERDEU," ",40,0.5
"DISCO ROQUITE N80 A  1200",0,300,PERDEU," ",750,2.5
"ESTOPA DE PANO",0,200,PERDEU," ",2000,10
"ESTOPA PCT 400GR",0,100,PERDEU," ",380,3.8
"FITA CREPE.",0,100,PERDEU," ",320,3.2
"FUNDO PU 5:1 900ML",0,45,PERDEU," ",1305,29
"LIXA DAGUA Nº 100 A 400",0,700,PERDEU," ",1050,1.5
"LIXA DAGUA Nº 200",0,500,PERDEU," ",750,1.5
"LIXA FERRO Nº 36 A 220",0,500,PERDEU," ",1250,2.5
"MANTA DE FIBRA 400G",0,30,PERDEU," ",510,17
"MASSA DE POLIR BASE AGUA 900ML",0,40,PERDEU," ",960,24
"MASSA PLASTICA UNIV 900g",0,80,PERDEU," ",1360,17
"MASSA RAPIDA 900ML",0,50,PERDEU," ",1100,22
"PAPEL ISOLAMENTO 180X45 (ROLO).",0,15,PERDEU," ",405,27
"PAPEL ISOLAMENTO 180X95 (ROLO).",0,15,PERDEU," ",660,44
"PISTOLA PINTURA DEVILBS",0,1,PERDEU," ",975,975
"PRETO CHASSI SB ESM SINT AUTOMOTIVO 3,6L .",0,40,PERDEU," ",3120,78
"PRETO FOSCO SINT. 3,6L.",0,50,PERDEU," ",3200,64
"RESINA 800ML",0,30,PERDEU," ",720,24
"THINNER REF 2750 5L;",0,80,PERDEU," ",3520,44
"THINNER REF 5000 P/ PU 5L;",0,50,PERDEU," ",4200,84
"VERDE FOLHA SINT. 3,6L.",0,40,PERDEU," ",2960,74
"VERMELHO SINT. 3,6L",0,40,PERDEU," ",3360,84
