descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CARTUCHO EPSON T194120 BLACK XP 104/204",4374221,20,VENCEU,UND,760,38
"CARTUCHO EPSON T194220 CIANO XP 104/204",4374222,20,VENCEU,UND,800,40
"CARTUCHO EPSON T194320 MAGENTA  XP104/204",4374223,20,VENCEU,UND,780,39
"CARTUCHO EPSON TI94420 AMARELO XP104/204",4374224,20,VENCEU,UND,800,40
"CARTUCHO HP 51645AL 42ML PRETO",4374225,7,PERDEU,UND,1743,249
"CARTUCHO HP 51649A 22,8ML COLOR",4374226,15,PERDEU,UND,2100,140
"CARTUCHO HP C657D 19ML COLOR",4374227,15,PERDEU,UND,3825,255
"CARTUCHO HP C6615D (6615FL) 25ML",4374228,7,PERDEU,UND,1435,205
"CARTUCHO HP C8727A 10ML PRETO (27)",4374229,10,VENCEU,UND,1250,125
"CARTUCHO HP C9351AB 21 (5 ML PRETO)",4374230,10,VENCEU,UND,850,85
"CARTUCHO HP C9352AB 22 (5 ML COLOR)",4374231,8,VENCEU,UND,984,123
"CARTUCHO HP C9361A (93 A COLOR ( HP 1510 / HP 5440)",4374232,8,VENCEU,UND,1280,160
"CARTUCHO HP C9362A (92 A PRETO HP 1510 HP 5440)",4374233,10,VENCEU,UND,860,86
"CARTUCHO HP CB335W 74 PRETO 6 ML",4374234,10,VENCEU,UND,930,93
"CARTUCHO HP CC640WL PRETO HP 60  4,5ML",4374235,9,VENCEU,UND,801,89
"CARTUCHO HP CC643WL COLOR HP 60 6,5ML",4374236,9,VENCEU,UND,972,108
"TONER C7115A HP 15A PRETO",4374237,8,PERDEU,UND,4480,560
"TONER HP CB436A HP LASERJET P1505/M1120",4374238,10,PERDEU,UND,3850,385
"TONER HP Q2612A HP12A PRETO",4374239,12,VENCEU,UND,6360,530
"TONER HP Q2613A HP13A PRETO LASERJET",4374240,5,PERDEU,UND,3150,630
"TONER HP Q5949A LASERJET 1160/1320",4374241,5,VENCEU,UND,3615,723
"TONER HP Q7553-A (2015A)",4374242,5,PERDEU,UND,2995,599
"TONER SAMSUNG  SCX4521/1610/2010",4374243,12,VENCEU,UND,3240,270
"TONER SAMSUNG  MLT-D204L/XAZ PTO 5K",4374244,9,VENCEU,UND,3780,420
"TONER HP COMPATIVEL 2313A",4374245,40,VENCEU,UND,2520,63
"TONER HP COMPATIVEL X5949X UNIVERSAL",4374246,35,VENCEU,UND,2345,67
"TONER HP COMPATIVEL Q7553X",4374247,28,VENCEU,UND,1932,69
"TONER SAMSUNG COMPATIVEL MLT-D204E",4374248,30,VENCEU,UND,3300,110
"TONER SAMSUNG COMPATIVEL SCX4521/1610/2010",4374249,50,PERDEU,UND,3000,60
