descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4370149,250,DESCLASSIFICADO,UND,0,0
"Apagador quadro negro",4370150,400,DESCLASSIFICADO,UND,0,0
"Apontador de lápis.",4370151,580,DESCLASSIFICADO,CX,0,0
"Borracha  branca escolar",4370152,600,DESCLASSIFICADO,CX,0,0
"Caderno Brochurão não reciclado",4370153,15000,DESCLASSIFICADO,UND,0,0
"Caderno Pequeno brochura não reciclado",4370154,10000,DESCLASSIFICADO,UND,0,0
"Caderno universitário capa dura 10 matérias",4370155,150,DESCLASSIFICADO,UND,0,0
"Caneta destaca texto.",4370156,150,DESCLASSIFICADO,CX,0,0
"Caneta ponta esférica cor azul",4370157,500,DESCLASSIFICADO,CX,0,0
"Caneta ponta esférica cor Vermelha",4370158,50,DESCLASSIFICADO,CX,0,0
"Cartolina com gramatura mínima 180/gm2.",4370159,1500,DESCLASSIFICADO,PCT,0,0
"Cartolina tamanho ofício.",4370160,17000,DESCLASSIFICADO,PCT,0,0
"Clips tamanho 2/0.",4370161,1200,DESCLASSIFICADO,CX,0,0
"Clips tamanho 8/0.",4370162,350,DESCLASSIFICADO,CX,0,0
"Cola Branca 1 kg",4370163,300,DESCLASSIFICADO,UND,0,0
"Cola Branca 100g",4370164,6000,DESCLASSIFICADO,UND,0,0
"Fita adesiva em papel crepado",4370165,2000,DESCLASSIFICADO,UND,0,0
"Fita adesiva plastica transparente",4370166,2000,DESCLASSIFICADO,UND,0,0
"Folha em EVA",4370167,7000,DESCLASSIFICADO,UND,0,0
"Giz branco plastificado",4370168,2000,DESCLASSIFICADO,CX,0,0
"Giz colorido plastificado",4370169,2000,DESCLASSIFICADO,CX,0,0
"Giz de cera grosso e curto.",4370170,3000,DESCLASSIFICADO,CX,0,0
"Grampeador médio de mesa metálico 26/6.",4370171,250,DESCLASSIFICADO,UND,0,0
"Grampo para grampeador em aço galvanizado 26/6",4370172,900,DESCLASSIFICADO,CX,0,0
"Guache Cores básicas",4370173,2500,DESCLASSIFICADO,UND,0,0
"Lápis colorido  Caixa contendo 12 unidades",4370174,10000,DESCLASSIFICADO,CX,0,0
"Lápis preto de grafite nº 2.",4370175,400,DESCLASSIFICADO,CX,0,0
"Marcador para quadro branco.",4370176,150,DESCLASSIFICADO,UND,0,0
"Massa de modelar macia atóxica",4370177,4000,DESCLASSIFICADO,CX,0,0
"Papel Almaço com pauta e margem",4370178,400,DESCLASSIFICADO,RES,0,0
"Papel Cartao.",4370179,20000,DESCLASSIFICADO,UND,0,0
"PAPEL CERA",4370180,500,DESCLASSIFICADO,UND,0,0
"PAPEL DUPLEX",4370181,25000,DESCLASSIFICADO,UND,0,0
"Papel Off-set alcalino A-4",4370182,175,DESCLASSIFICADO,CX,0,0
"Papel Off-set alcalino A-4",4370183,525,VENCEU,CX,69825,133
"PAPEL PARDO KRAFT",4370184,400,DESCLASSIFICADO,RL,0,0
"Pasta Polionda Média",4370185,300,DESCLASSIFICADO,UND,0,0
Percejevo,4370186,20,NAO_COTOU,CX,0,0
"Perfurador 2 furos para ate 20 folhas de papel",4370187,90,DESCLASSIFICADO,UND,0,0
"PINCEL ATOMICO",4370188,2500,DESCLASSIFICADO,UND,0,0
"Pincel chato numero 12",4370189,1000,DESCLASSIFICADO,UND,0,0
"Pincel chato numero 8",4370190,1000,DESCLASSIFICADO,UND,0,0
"PINCEL PARA QUADRO BRANCO",4370191,500,DESCLASSIFICADO,UND,0,0
"Pistola grande 40 ww",4370192,100,DESCLASSIFICADO,UND,0,0
"Reabastecedor de Pincel para Quadro Branco",4370193,100,DESCLASSIFICADO,UND,0,0
"REFIL DE COLA QUENTE",4370194,500,DESCLASSIFICADO,UND,0,0
"Régua escritório 30cm",4370195,8000,DESCLASSIFICADO,UND,0,0
"Tesoura de ponta arredondada",4370196,4000,DESCLASSIFICADO,UND,0,0
"Tesoura Doméstica.",4370197,400,DESCLASSIFICADO,UND,0,0
