descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
ACHOCOLATADO.,4301214,800,PERDEU,KG,7416,9.27
"ACHOCOLATADO EM PÓ ZERO AÇÚCAR, LACTOSE E GLUTÉN",4301215,100,VENCEU,LAT,2100,21
"ACUCAR REFINADO",4301216,2000,VENCEU,KG,4600,2.3
"ADOÇANTE DIETÉTICO LÍQUIDO",4301217,100,VENCEU,UND,330,3.3
"AMIDO DE MILHO - peso líquido 500g",4301218,700,PERDEU,KG,3822,5.46
"ARROZ INTEGRAL",4301219,100,PERDEU,KG,315,3.15
"BATATA PALHA.",4301220,300,PERDEU,PCT,1188,3.96
"BEBIDA SABOR MORANGO",4301221,500,VENCEU,KG,7900,15.8
"BISCOITO BROA DE POLVILHO DIVERSOS SABORES (AMENDOIM, COCO,",4301222,800,VENCEU,KG,12672,15.84
"BISCOITO MAISENA DE CHOCOLATE - SEM LEITE",4301223,700,VENCEU,KG,6230,8.9
"BISCOITO DE COCO - SEM LEITE",4301224,700,VENCEU,PCT,5026,7.18
"BISCOITO SALGADO INTEGRAL - SEM LEITE",4301225,300,VENCEU,KG,2568,8.56
"BOLACHA ÁGUA E SAL",4301226,500,DESCLASSIFICADO,EMB,2510,5.02
CAFÉ-,4301227,1000,PERDEU,PCT,13500,13.5
"CANELA EM PÓ.",4301228,200,VENCEU,PT,560,2.8
"COCO RALADO",4301229,400,PERDEU,UND,1964,4.91
COLORAU,4301230,300,PERDEU,KG,1905,6.35
"CREME DE LEITE.",4301231,300,PERDEU,UND,852,2.84
"Creme de leite sem lactose",4301232,70,PERDEU,UNI,261.1,3.73
"Doce de Leite",4301233,500,PERDEU,POT,2250,4.5
"Doce de Leite sem lactose",4301234,50,VENCEU,UNI,290,5.8
"EXTRATO DE TOMATE",4301235,2000,PERDEU,KG,5020,2.51
"Farinha de Cereais",4301236,1,VENCEU,PCT,20.1,20.1
"FARINHA DE TRIGO",4301237,2000,PERDEU,KG,4940,2.47
"Fermento Biológico.",4301238,200,VENCEU,UND,1200,6
"FERMENTO EM PO",4301239,600,PERDEU,KG,3510,5.85
"FUBÁ DE MILHO",4301240,150,PERDEU,KG,391.5,2.61
GELATINA;,4301241,150,PERDEU,UNI,312,2.08
"LEITE CONDENSADO",4301242,250,PERDEU,UND,860,3.44
"Leite Condensado sem lactose",4301243,50,PERDEU,UNI,245,4.9
LOURO,4301244,200,VENCEU,UNI,660,3.3
"MACARRÃO -",4301245,1400,PERDEU,PCT,4312,3.08
"MACARRÃO INTEGRAL",4301246,100,PERDEU,PCT,386,3.86
"MACARRÃO SEM GLÚTEN",4301247,80,VENCEU,PCT,304,3.8
MAIONESE,4301248,200,PERDEU,UNI,850,4.25
MARGARINA,4301249,350,PERDEU,PCT,1991.5,5.69
"MILHO CANJICA",4301250,100,PERDEU,UNI,217,2.17
"MILHO VERDE",4301251,600,VENCEU,UND,1020,1.7
"ÓLEO DE SOJA NÃO TRANSGÊNICO",4301252,2500,PERDEU,UN,10500,4.2
"OREGANO DESIDRATADO",4301253,400,VENCEU,UNI,2392,5.98
"Pão para cachorro quente",4301254,62000,VENCEU,UNI,31000,0.5
"PÃO SEM GLÚTEN",4301255,200,VENCEU,PCT,2700,13.5
"PÊSSEGO EM CALDA.",4301256,100,PERDEU,LAT,859,8.59
"PRESUNTO FATIADO",4301257,800,VENCEU,KG,17520,21.9
Refrigerante,4301258,1000,VENCEU,LT,5600,5.6
"sal refinado iodado",4301259,550,PERDEU,KG,836,1.52
"SALSICHA VERMELHA;",4301260,300,VENCEU,PCT,5400,18
"tempero pimenta",4301261,100,VENCEU,UNI,270,2.7
"TEMPERO MANJERICÃO",4301262,400,VENCEU,UN,1160,2.9
"SUCO NATURAL",4301263,3750,PERDEU,LT,99975,26.66
"SUCO NATURAL",4301264,1250,PERDEU,LT,33325,26.66
"TEMPERO COMINHO;",4301265,500,VENCEU,PT,1340,2.68
VINAGRE;,4301266,700,PERDEU,UND,1253,1.79
"MILHO PARA PIPOCA.",4301267,700,PERDEU,PCT,2051,2.93
"POLVILHO AZEDO",4301268,150,PERDEU,KG,832.5,5.55
"CARNE - MÚSCULO TRASEIRO BOVINO MOÍDO (Lagartão)",4301269,2500,VENCEU,KG,42200,16.88
"CARNE - PALETA GROSSA EM CUBOS",4301270,1500,VENCEU,KG,25350,16.9
"PERNIL SUÍNO CORTADO EM CUBOS",4301271,1500,PERDEU,KG,21675,14.45
"FILE DE PEIXE CONGELADO (TILÁPIA)",4301272,1200,VENCEU,KG,31260,26.05
"FILÉ DE FRANGO CONGELADO IQF,  SASSAMI",4301273,1000,PERDEU,KG,10250,10.25
"SOBRECOXA DESOSSADA",4301274,1525,PERDEU,KG,13877.5,9.1
"Acém Bovino Moído",4301275,2000,PERDEU,KG,34400,17.2
"Acém Bovino",4301276,1200,PERDEU,KG,21492,17.91
"COXA E SOBRECOXA DE FRANGO",4301277,2000,PERDEU,KG,13240,6.62
"LEITE SEM LACTOSE",4301278,300,PERDEU,LIT,1173,3.91
