descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4376925,93,NAO_COTOU,UND,0,0
"Aparelho telefônico com fio.",4376926,121,DESCLASSIFICADO,UND,0,0
"Apontador sem depósito;",4376927,646,DESCLASSIFICADO,UND,0,0
"Bateria 9 volts no tamanho padrão",4376928,248,DESCLASSIFICADO,CAR,0,0
"Bateria Recarregável 3,5 V Modelo 72300",4376929,15,NAO_COTOU,UND,0,0
"Bobina de saco plástico transparente",4376930,1100,DESCLASSIFICADO,RL,0,0
"Borracha (amarradilha) para dinheiro nº 18",4376931,1465,NAO_COTOU,PCT,0,0
"Borracha apagadora escritas branca escolar",4376932,67,DESCLASSIFICADO,CX,0,0
"Borracha de vinil para grafite",4376933,295,DESCLASSIFICADO,UND,0,0
"Caderno brochura (pequeno) 1/4 capa dura, 48 folhas",4376934,633,DESCLASSIFICADO,UND,0,0
"Caderno espiral (pequeno) 1/4 capa dura 96 folhas",4376935,523,DESCLASSIFICADO,UND,0,0
"Caderno Universitario capa dura 96 folhas",4376936,935,DESCLASSIFICADO,UND,0,0
"Caixa de arquivo morto polionda;",4376937,810,DESCLASSIFICADO,UND,0,0
"Caixa em papelão para arquivo morto;",4376938,3475,DESCLASSIFICADO,UND,0,0
"Caixa para correspondencia em polietielino",4376939,41,DESCLASSIFICADO,UND,0,0
"Calculadora de mesa 12 digitos.",4376940,207,DESCLASSIFICADO,UND,0,0
"Caneta destaca texto.",4376941,224,DESCLASSIFICADO,CX,0,0
"Caneta esferografica azul.",4376942,465,DESCLASSIFICADO,CX,0,0
"Caneta esferografica preta.",4376943,127,DESCLASSIFICADO,UND,0,0
"Caneta esferografica verde.",4376944,24,DESCLASSIFICADO,CX,0,0
"Caneta esferografica vermelha.",4376945,24,DESCLASSIFICADO,UND,0,0
"Cartolina tamanho ofício .",4376946,615,DESCLASSIFICADO,UND,0,0
"CD virgem 700mb de capacidade acompanhado de caixa acrílica.",4376947,48,DESCLASSIFICADO,UND,0,0
"CD virgem, 700mb de capacidade sem capa.",4376948,291,DESCLASSIFICADO,UND,0,0
"CD-R regravavel 24 x midia prata 700 MB 80 mim,sem capa.",4376949,31,DESCLASSIFICADO,UND,0,0
"Clips tamanho 2/0 .",4376950,1765,DESCLASSIFICADO,CX,0,0
"Clips tamanho 3/0.",4376951,409,DESCLASSIFICADO,CX,0,0
"Clips tamanho 6/0 .",4376952,86,DESCLASSIFICADO,CX,0,0
"Clips tamanho 8/0 .",4376953,228,DESCLASSIFICADO,CX,0,0
"Cola Bastão 40 gr.",4376954,334,NAO_COTOU,UND,0,0
"Cola Bastão 8gr.",4376955,334,NAO_COTOU,UND,0,0
"Cola Branca não toxica",4376956,173,DESCLASSIFICADO,UND,0,0
"Cola instantânea",4376957,160,DESCLASSIFICADO,CX,0,0
"Corretivo em fita de 5mm x 5.5 mts .",4376958,348,DESCLASSIFICADO,UND,0,0
"Corretivo líquido .",4376959,103,NAO_COTOU,CX,0,0
"Dispensador de senha .",4376960,17,NAO_COTOU,UND,0,0
"Envelope papel pardo tamanho 29 x 20 cm.",4376961,7980,DESCLASSIFICADO,UND,0,0
"Envelope papel pardo tamanho 34 x 24 cm.",4376962,7550,DESCLASSIFICADO,UND,0,0
"Estilete recarregável.",4376963,31,DESCLASSIFICADO,UND,0,0
"Etiqueta carta para impressoras disk Jet e Laser ref 3180",4376964,46,DESCLASSIFICADO,CX,0,0
"Etiqueta térmica 50x25 cm, ROLOS DE 1.000 M",4376965,500,DESCLASSIFICADO,RL,0,0
"Extrator de grampo de metal.",4376966,53,DESCLASSIFICADO,CX,0,0
"Fita adesiva branca .",4376967,113,DESCLASSIFICADO,UND,0,0
"Fita adesiva marron .",4376968,565,DESCLASSIFICADO,UND,0,0
"Fita adesiva plastica transparente 12mm x 30 mts",4376969,765,DESCLASSIFICADO,UND,0,0
"Fita adesiva plastica transparente 48 mm x 50 mts",4376970,765,DESCLASSIFICADO,UND,0,0
"Fita dupla face emborrachada 19x30",4376971,150,DESCLASSIFICADO,UND,0,0
"Folhas de papel carbono para maquina em caixa com 100 unidad",4376972,16,NAO_COTOU,CX,0,0
"grafite de 0,5 MM para lapiseira tipo B",4376973,12,DESCLASSIFICADO,CX,0,0
"grafite de 0,7 MM para lapiseira tipo B",4376974,24,DESCLASSIFICADO,CX,0,0
"Grampeador para papeis tamanho grande",4376975,118,DESCLASSIFICADO,UND,0,0
"Grampeador para papeis,  tamanho médio",4376976,250,DESCLASSIFICADO,UND,0,0
"Grampo para grampeador galvanizado 23/13",4376977,148,NAO_COTOU,CX,0,0
"Grampo para grampeador galvanizado 26/6",4376978,1043,DESCLASSIFICADO,CX,0,0
"Grampo trilho encadernador .",4376979,195,DESCLASSIFICADO,CX,0,0
"Grampo trilho plastico (macho/Femea)  .",4376980,192,DESCLASSIFICADO,PCT,0,0
"Lápis preto de grafite nº 2 .",4376981,91,DESCLASSIFICADO,CX,0,0
"Lápis preto grafite para desenho número 4B.",4376982,149,DESCLASSIFICADO,UND,0,0
"LAPISEIRA 0,5MM",4376983,91,DESCLASSIFICADO,UND,0,0
"LAPISEIRA 0,7MM",4376984,94,DESCLASSIFICADO,UND,0,0
"Livro Ata pautado com 100 folhas .",4376985,713,DESCLASSIFICADO,UND,0,0
"Livro Ata pautado com 200 folhas.",4376986,543,DESCLASSIFICADO,UND,0,0
"Livro de protocolo capa dura.",4376987,257,DESCLASSIFICADO,UND,0,0
"Livro fiscal ponto.",4376988,242,DESCLASSIFICADO,UND,0,0
"Marcador para quadro branco.",4376989,565,DESCLASSIFICADO,UND,0,0
"Marcador permanente .",4376990,150,DESCLASSIFICADO,UND,0,0
"Papel pardo kraft 40 mt .",4376991,242,DESCLASSIFICADO,RL,0,0
"Papel térmico para fax 30 mts x 21 cm",4376992,18,DESCLASSIFICADO,UND,0,0
"Pasta arquivo de A-Z  tamanho oficio",4376993,200,DESCLASSIFICADO,UND,0,0
"Pasta cartolina plastificada com elastico",4376994,713,DESCLASSIFICADO,UND,0,0
"Pasta catalogo para documentos",4376995,371,DESCLASSIFICADO,UND,0,0
"Pasta plastica de arquivo",4376996,664,DESCLASSIFICADO,UND,0,0
"PASTA SUSPENSA",4376997,126,DESCLASSIFICADO,CX,0,0
"Pen drive de 16 Gb, USB 2.0",4376998,40,DESCLASSIFICADO,UND,0,0
"Pen drive de 4GB, USB 2.0",4376999,44,DESCLASSIFICADO,UND,0,0
"Pen drive de 8 Gb, USB 2.0",4377000,44,DESCLASSIFICADO,UND,0,0
"Perfurador 2 furos para ate 12 folhas de papel .",4377001,98,DESCLASSIFICADO,UND,0,0
"Perfurador 2 furos para ate 20 folhas de papel",4377002,86,DESCLASSIFICADO,UND,0,0
"Pilha grande .",4377003,2032,DESCLASSIFICADO,CAR,0,0
"PILHA MEDIA",4377004,2060,DESCLASSIFICADO,CAR,0,0
"Pilha Palito Comum (AAA) 1,5 Volts",4377005,4211,DESCLASSIFICADO,CAR,0,0
"PILHA PEQUENA COMUM",4377006,3228,DESCLASSIFICADO,CAR,0,0
"Pilhas de Mercúrio, CR 2032, 3V",4377007,228,DESCLASSIFICADO,UND,0,0
"Pincel atomico com pontas facetadas.",4377008,825,DESCLASSIFICADO,UND,0,0
"Plástico autoadesivo de fácil aplicação  estampado",4377009,43,DESCLASSIFICADO,UND,0,0
"Plástico autoadesivo de fácil aplicação transparente",4377010,5,DESCLASSIFICADO,UND,0,0
"Portas canetas",4377011,83,DESCLASSIFICADO,UND,0,0
"Prancha de Madeira",4377012,171,DESCLASSIFICADO,UND,0,0
"Quadro branco Dimensões 120x90cm.",4377013,27,NAO_COTOU,UND,0,0
"Quadro branco Dimensões 90x60cm.",4377014,27,NAO_COTOU,UND,0,0
"Quadro de aviso 60x90cm com moldura em madeira revestido em",4377015,5,NAO_COTOU,UND,0,0
"Régua escritório.",4377016,244,DESCLASSIFICADO,UND,0,0
"Rolo de senha de papel de 2 (dois)digitos",4377017,180,DESCLASSIFICADO,UND,0,0
"Rolo de senha de papel de 3 (tres) digitos",4377018,108,DESCLASSIFICADO,UND,0,0
"Saco plástico transparente na medida 60x80cm",4377019,10,NAO_COTOU,MIL,0,0
"Tesoura Doméstica",4377020,253,DESCLASSIFICADO,UND,0,0
"TINTA PARA CARIMBO",4377021,97,DESCLASSIFICADO,UND,0,0
"Umidificafor de Dedos 12g.",4377022,58,DESCLASSIFICADO,CX,0,0
"Papel Off-set, alcalino, formato A",4377023,242,DESCLASSIFICADO,CX,33855.8,139.9
"Papel Off-set, alcalino, formato A",4377024,728,DESCLASSIFICADO,CX,101847.2,139.9
